                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectRelease (from IOKit)
                 (undefined) external _IOIteratorIsValid (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryCreateIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetChildEntry (from IOKit)
                 (undefined) external _IORegistryEntryGetChildIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetName (from IOKit)
                 (undefined) external _IORegistryGetRootEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceNameMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffb18bc2aa1 (__TEXT,__text) external _NFCalibrationGetData
00007ffb18bc2c73 (__TEXT,__text) external _NFCalibrationGetRFConfigTLVs
00007ffb18bbdb72 (__TEXT,__text) external _NFHardwareDebug
00007ffb18bb7f16 (__TEXT,__text) external _NFHardwareGPIOClose
00007ffb18bb7c91 (__TEXT,__text) external _NFHardwareGPIOConfigureHammerfestSPMI
00007ffb18bb8044 (__TEXT,__text) external _NFHardwareGPIOIsHostWakeCapable
00007ffb18bb7c99 (__TEXT,__text) external _NFHardwareGPIOOpen
00007ffb18bb7c6c (__TEXT,__text) external _NFHardwareGPIOSetDeviceWake
00007ffb18bb7a50 (__TEXT,__text) external _NFHardwareGPIOSetDownloadRequest
00007ffb18bb7b04 (__TEXT,__text) external _NFHardwareGPIOSetIcefallDownloadRequest
00007ffb18bb7bb8 (__TEXT,__text) external _NFHardwareGPIOSetPMUStandbyPowerEnabled
00007ffb18bb75ff (__TEXT,__text) external _NFHardwareGPIOSetPower
00007ffb18bb799c (__TEXT,__text) external _NFHardwareGPIOSetVBAT
00007ffb18bb7c89 (__TEXT,__text) external _NFHardwareGPIOValidateSPMIConfig
00007ffb18bb7c7d (__TEXT,__text) external _NFHardwareGPIOWasItSPMINack
00007ffb18bb75c1 (__TEXT,__text) external _NFHardwareGetCalibration
00007ffb18bb75a3 (__TEXT,__text) external _NFHardwareGetRFConfigTLVs
00007ffb18bb759b (__TEXT,__text) external _NFHardwareGetUARTLogEnabled
00007ffb18bbd7b9 (__TEXT,__text) external _NFHardwareInterfaceClose
00007ffb18bbdada (__TEXT,__text) external _NFHardwareInterfaceFlush
00007ffb18bbdaf5 (__TEXT,__text) external _NFHardwareInterfaceGetFlowControl
00007ffb18bbdd2d (__TEXT,__text) external _NFHardwareInterfaceGetType
00007ffb18bbdbbc (__TEXT,__text) external _NFHardwareInterfaceIsHammerfestAlive
00007ffb18bbdb51 (__TEXT,__text) external _NFHardwareInterfaceIsHostWakeCapable
