                 (undefined) external _OBJC_CLASS_$_CATTransform (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEExecutor (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DialogElement (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionDialog (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocation (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationContext (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationPayload (from SiriKitInvocation)
00000002997f6598 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$__TtC22SiriSuggestionsSupport30SiriSuggestionsServiceDelegate
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000002997f6678 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$__TtC22SiriSuggestionsSupport30SiriSuggestionsServiceDelegate
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
0000000269494cf8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949a0dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949a0fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949a110 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949a140 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949a140 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949a1d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026949f3f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694a0e28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694a0e38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694a0e38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694a0e38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694a0e38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694a2c04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694abb9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694bd554 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694c972c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002694d2b4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
