00000001e6faaca0 (__DATA,__data) external _NDR_record
0000000180424ae4 (__TEXT,__text) non-external __Xexception_raise
00000001804249d0 (__TEXT,__text) non-external __Xexception_raise_state
000000018042486c (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180413078 (__TEXT,__text) external _____sigwait_nocancel
0000000180439908 (__TEXT,__const) external ____kernelVersionNumber
00000001804398d0 (__TEXT,__const) external ____kernelVersionString
00000001804130a4 (__TEXT,__text) external ___abort_with_payload
000000018040eb3c (__TEXT,__text) external ___accept
00000001804130d0 (__TEXT,__text) external ___accept_nocancel
00000001804130fc (__TEXT,__text) external ___access_extended
0000000180413128 (__TEXT,__text) external ___aio_suspend_nocancel
000000018040df8c (__TEXT,__text) external ___bind
0000000180409fb0 (__TEXT,__text) external ___bsdthread_create
0000000180407f4c (__TEXT,__text) external ___bsdthread_ctl
000000018040c098 (__TEXT,__text) external ___bsdthread_register
0000000180409040 (__TEXT,__text) external ___bsdthread_terminate
00000001804128d0 (__TEXT,__text) external ___carbon_delete
0000000180413154 (__TEXT,__text) external ___channel_get_info
0000000180413180 (__TEXT,__text) external ___channel_get_opt
00000001804131ac (__TEXT,__text) external ___channel_open
00000001804131d8 (__TEXT,__text) external ___channel_set_opt
0000000180413204 (__TEXT,__text) external ___channel_sync
0000000180409ef8 (__TEXT,__text) external ___chmod
000000018040bb34 (__TEXT,__text) external ___chmod_extended
0000000180407a30 (__TEXT,__text) external ___close_nocancel
0000000180413230 (__TEXT,__text) external ___coalition
000000018041325c (__TEXT,__text) external ___coalition_info
0000000180413288 (__TEXT,__text) external ___coalition_ledger
00000001804080a4 (__TEXT,__text) external ___commpage_gettimeofday
00000001804080ac (__TEXT,__text) non-external ___commpage_gettimeofday_internal
000000018040a720 (__TEXT,__text) external ___connect
000000018040a588 (__TEXT,__text) external ___connect_nocancel
00000001804132b4 (__TEXT,__text) external ___copyfile
00000001804132e0 (__TEXT,__text) external ___crossarch_trap
0000000180406ca4 (__TEXT,__text) external ___csrctl
000000018041c6b0 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018041330c (__TEXT,__text) external ___debug_syscall_reject
0000000180413338 (__TEXT,__text) external ___debug_syscall_reject_config
00000001804128fc (__TEXT,__text) external ___delete
0000000180409014 (__TEXT,__text) external ___disable_threadsignal
0000000180406bd4 (__TEXT,__text) external ___error
0000000180413364 (__TEXT,__text) external ___execve
000000018040d968 (__TEXT,__text) external ___exit
000000018040a9dc (__TEXT,__text) external ___fchmod
000000018040bc40 (__TEXT,__text) external ___fchmod_extended
0000000180406d54 (__TEXT,__text) external ___fcntl
000000018040a530 (__TEXT,__text) external ___fcntl_nocancel
000000018040dd48 (__TEXT,__text) external ___fork
0000000180413390 (__TEXT,__text) external ___fs_snapshot
0000000180414740 (__TEXT,__text) external ___fstat
000000018040bc14 (__TEXT,__text) external ___fstat64_extended
00000001804133bc (__TEXT,__text) external ___fstat_extended
0000000180414798 (__TEXT,__text) external ___fstatat
00000001804147f0 (__TEXT,__text) external ___fstatfs
00000001804133e8 (__TEXT,__text) external ___fsync_nocancel
000000018040f948 (__TEXT,__text) external ___get_remove_counter
0000000180406bf0 (__TEXT,__text) external ___getattrlist
0000000180407e70 (__TEXT,__text) external ___getdirentries64
00000001804148f8 (__TEXT,__text) external ___getfsstat
000000018040badc (__TEXT,__text) external ___gethostuuid
0000000180412268 (__TEXT,__text) external ___getlogin
000000018040a8b4 (__TEXT,__text) external ___getpeername
000000018040672c (__TEXT,__text) external ___getpid
000000018040857c (__TEXT,__text) external ___getrlimit
0000000180413414 (__TEXT,__text) external ___getsgroups
000000018040de54 (__TEXT,__text) external ___getsockname
