00007ff80f5aa7f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f5aa755 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80f5aa7a4 (__TEXT,__const) non-external _KW_CDATA
00007ff80f5aa738 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80f5aa75d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80f5aa7eb (__TEXT,__const) non-external _KW_EMPTY
00007ff80f5aa7ba (__TEXT,__const) non-external _KW_ENTITIES
00007ff80f5aa74e (__TEXT,__const) non-external _KW_ENTITY
00007ff80f5aa7e5 (__TEXT,__const) non-external _KW_FIXED
00007ff80f5aa7aa (__TEXT,__const) non-external _KW_ID
00007ff80f5aa7ad (__TEXT,__const) non-external _KW_IDREF
00007ff80f5aa7b3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80f5aa776 (__TEXT,__const) non-external _KW_IGNORE
00007ff80f5aa7d4 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80f5aa76e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80f5aaf10 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80f5aa77d (__TEXT,__const) non-external _KW_NDATA
00007ff80f5aa7c3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80f5aa7cb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80f5aa765 (__TEXT,__const) non-external _KW_NOTATION
00007ff80f5aa7f5 (__TEXT,__const) non-external _KW_PCDATA
00007ff80f5aa747 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80f5aa7dc (__TEXT,__const) non-external _KW_REQUIRED
00007ff80f5aa740 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80f5aaf1b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80f5aaf2a (__TEXT,__const) non-external _KW_UTF_16
00007ff80f5aaf31 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80f5aaf3a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80f5aaf24 (__TEXT,__const) non-external _KW_UTF_8
00007ff80f5aaf51 (__TEXT,__const) non-external _KW_encoding
00007ff80f5aaf69 (__TEXT,__const) non-external _KW_no
00007ff80f5aaf5a (__TEXT,__const) non-external _KW_standalone
00007ff80f5aaf49 (__TEXT,__const) non-external _KW_version
00007ff80f5aaf65 (__TEXT,__const) non-external _KW_yes
00007ff80f593d98 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80f593eb3 (__TEXT,__text) external _XML_ErrorString
00007ff80f593ed4 (__TEXT,__text) external _XML_ExpatVersion
00007ff80f593ee1 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80f592422 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80f593d3e (__TEXT,__text) external _XML_FreeContentModel
00007ff80f5931f2 (__TEXT,__text) external _XML_GetBase
00007ff80f5936f1 (__TEXT,__text) external _XML_GetBuffer
00007ff80f593c2d (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80f593c04 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80f593ce8 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80f593c8f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80f593bed (__TEXT,__text) external _XML_GetErrorCode
00007ff80f593ef3 (__TEXT,__text) external _XML_GetFeatureList
00007ff84096a010 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80f59321e (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80f593c56 (__TEXT,__text) external _XML_GetInputContext
00007ff80f593bcc (__TEXT,__text) external _XML_GetParsingStatus
00007ff80f5aa0f4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80f593207 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80f593d83 (__TEXT,__text) external _XML_MemFree
00007ff80f593d53 (__TEXT,__text) external _XML_MemMalloc
00007ff80f593d6a (__TEXT,__text) external _XML_MemRealloc
00007ff80f5934b2 (__TEXT,__text) external _XML_Parse
00007ff80f593926 (__TEXT,__text) external _XML_ParseBuffer
00007ff80f591a74 (__TEXT,__text) external _XML_ParserCreate
00007ff80f591a90 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80f591a84 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80f592d02 (__TEXT,__text) external _XML_ParserFree
00007ff80f591d93 (__TEXT,__text) external _XML_ParserReset
00007ff80f593af6 (__TEXT,__text) external _XML_ResumeParser
00007ff80f593420 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80f59314a (__TEXT,__text) external _XML_SetBase
00007ff80f593f3a (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80f593f00 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80f593299 (__TEXT,__text) external _XML_SetCdataSectionHandler
