0000000182bd3000 (__DATA,__data) external _NDR_record
0000000180acaa7c (__TEXT,__text) non-external __Xexception_raise
0000000180aca968 (__TEXT,__text) non-external __Xexception_raise_state
0000000180aca804 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180ab292c (__TEXT,__text) external _____sigwait_nocancel
0000000180ae47e8 (__TEXT,__const) external ____kernelVersionNumber
0000000180ae47b0 (__TEXT,__const) external ____kernelVersionString
0000000180ab2958 (__TEXT,__text) external ___abort_with_payload
0000000180ab2984 (__TEXT,__text) external ___accept
0000000180ab29b0 (__TEXT,__text) external ___accept_nocancel
0000000180ab29dc (__TEXT,__text) external ___access_extended
0000000180ab2a08 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180ab2a34 (__TEXT,__text) external ___bind
0000000180ab2a60 (__TEXT,__text) external ___bsdthread_create
0000000180ab2a8c (__TEXT,__text) external ___bsdthread_ctl
0000000180ab2ab8 (__TEXT,__text) external ___bsdthread_register
0000000180ab2ae4 (__TEXT,__text) external ___bsdthread_terminate
0000000180ac99f0 (__TEXT,__text) external ___carbon_delete
0000000180ab2b10 (__TEXT,__text) external ___channel_get_info
0000000180ab2b3c (__TEXT,__text) external ___channel_get_opt
0000000180ab2b68 (__TEXT,__text) external ___channel_open
0000000180ab2b94 (__TEXT,__text) external ___channel_set_opt
0000000180ab2bc0 (__TEXT,__text) external ___channel_sync
0000000180ab2bec (__TEXT,__text) external ___chmod
0000000180ab2c18 (__TEXT,__text) external ___chmod_extended
0000000180ab2c44 (__TEXT,__text) external ___close_nocancel
0000000180ab2c70 (__TEXT,__text) external ___coalition
0000000180ab2c9c (__TEXT,__text) external ___coalition_info
0000000180ab2cc8 (__TEXT,__text) external ___coalition_ledger
0000000180abb284 (__TEXT,__text) external ___commpage_gettimeofday
0000000180abb28c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180ab2cf4 (__TEXT,__text) external ___connect
0000000180ab2d20 (__TEXT,__text) external ___connect_nocancel
0000000180ab2d4c (__TEXT,__text) external ___copyfile
0000000180ab2d78 (__TEXT,__text) external ___crossarch_trap
0000000180ab2da4 (__TEXT,__text) external ___csrctl
0000000180ac0d8c (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180ab2dd0 (__TEXT,__text) external ___debug_syscall_reject
0000000180ab2dfc (__TEXT,__text) external ___debug_syscall_reject_config
0000000180ab2e28 (__TEXT,__text) external ___delete
0000000180ab2e54 (__TEXT,__text) external ___disable_threadsignal
0000000180abba5c (__TEXT,__text) external ___error
0000000180ab2e80 (__TEXT,__text) external ___execve
0000000180ab2eac (__TEXT,__text) external ___exit
0000000180ab2ed8 (__TEXT,__text) external ___fchmod
0000000180ab2f04 (__TEXT,__text) external ___fchmod_extended
0000000180ab2f30 (__TEXT,__text) external ___fcntl
0000000180ab2f5c (__TEXT,__text) external ___fcntl_nocancel
0000000180ab2f88 (__TEXT,__text) external ___fork
0000000180ab2fd4 (__TEXT,__text) external ___fs_snapshot
0000000180ab3000 (__TEXT,__text) external ___fstat64_extended
0000000180ab302c (__TEXT,__text) external ___fstat_extended
0000000180ab3058 (__TEXT,__text) external ___fsync_nocancel
0000000180ac7414 (__TEXT,__text) external ___get_remove_counter
0000000180ab3084 (__TEXT,__text) external ___getattrlist
0000000180ab30b0 (__TEXT,__text) external ___getdirentries64
0000000180ab30dc (__TEXT,__text) external ___gethostuuid
0000000180ab3108 (__TEXT,__text) external ___getlogin
0000000180ab3134 (__TEXT,__text) external ___getpeername
0000000180ab3160 (__TEXT,__text) external ___getpid
0000000180ab31b0 (__TEXT,__text) external ___getrlimit
0000000180ab31dc (__TEXT,__text) external ___getsgroups
0000000180ab3208 (__TEXT,__text) external ___getsockname
0000000180ab3234 (__TEXT,__text) external ___gettid
0000000180ab328c (__TEXT,__text) external ___gettimeofday
0000000180ab3260 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180ab32bc (__TEXT,__text) external ___getwgroups
0000000180ab32e8 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180ab3314 (__TEXT,__text) external ___guarded_open_np
0000000180ab3340 (__TEXT,__text) external ___identitysvc
0000000180ac7428 (__TEXT,__text) external ___inc_remove_counter
0000000180ab336c (__TEXT,__text) external ___initgroups
0000000180ab3398 (__TEXT,__text) external ___ioctl
0000000180ab33c4 (__TEXT,__text) external ___iopolicysys
0000000180ab33f0 (__TEXT,__text) external ___kdebug_trace
0000000180ab341c (__TEXT,__text) external ___kdebug_trace64
0000000180ab3448 (__TEXT,__text) external ___kdebug_trace_string
0000000180ab3474 (__TEXT,__text) external ___kdebug_typefilter
0000000180ae4858 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180ae4820 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180ab34a0 (__TEXT,__text) external ___kill
0000000180ab34cc (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180ab34f8 (__TEXT,__text) external ___lchown
0000000180ab7b3c (__TEXT,__text) external ___libkernel_init
0000000180ab7bf0 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180ab7bec (__TEXT,__text) external ___libkernel_init_late
0000000180ab7974 (__TEXT,__text) external ___libkernel_platform_init
0000000180ab79ac (__TEXT,__text) external ___libkernel_voucher_init
0000000180ab3524 (__TEXT,__text) external ___listen
0000000180ab3550 (__TEXT,__text) external ___log_data
0000000180ab357c (__TEXT,__text) external ___lseek
0000000180ab35a8 (__TEXT,__text) external ___lstat64_extended
0000000180ab35d4 (__TEXT,__text) external ___lstat_extended
0000000180ab3600 (__TEXT,__text) external ___mac_execve
0000000180ab362c (__TEXT,__text) external ___mac_get_fd
0000000180ab3658 (__TEXT,__text) external ___mac_get_file
0000000180ab3684 (__TEXT,__text) external ___mac_get_link
0000000180ab36b0 (__TEXT,__text) external ___mac_get_mount
0000000180ab36dc (__TEXT,__text) external ___mac_get_pid
0000000180ab3708 (__TEXT,__text) external ___mac_get_proc
0000000180ab3734 (__TEXT,__text) external ___mac_getfsstat
0000000180ab3760 (__TEXT,__text) external ___mac_mount
0000000180ab378c (__TEXT,__text) external ___mac_set_fd
0000000180ab37b8 (__TEXT,__text) external ___mac_set_file
0000000180ab37e4 (__TEXT,__text) external ___mac_set_link
0000000180ab3810 (__TEXT,__text) external ___mac_set_proc
0000000180ab383c (__TEXT,__text) external ___mac_syscall
0000000180ab3868 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180ab3894 (__TEXT,__text) external ___mach_eventlink_signal
0000000180ab38c0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180ab38ec (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180ab3918 (__TEXT,__text) external ___map_with_linking_np
0000000180ab3944 (__TEXT,__text) external ___memorystatus_available_memory
0000000180ab3970 (__TEXT,__text) external ___microstackshot
0000000180ab399c (__TEXT,__text) external ___mkdir_extended
0000000180ab39c8 (__TEXT,__text) external ___mkfifo_extended
0000000180ab39f4 (__TEXT,__text) external ___mmap
0000000180ab3a20 (__TEXT,__text) external ___mprotect
0000000180ab3a4c (__TEXT,__text) external ___msgctl
0000000180ab3a78 (__TEXT,__text) external ___msgrcv_nocancel
0000000180ab3aa4 (__TEXT,__text) external ___msgsnd_nocancel
0000000180ab3ad0 (__TEXT,__text) external ___msgsys
0000000180ab3afc (__TEXT,__text) external ___msync
0000000180ab3b28 (__TEXT,__text) external ___msync_nocancel
0000000180ab3b54 (__TEXT,__text) external ___munmap
0000000180ab3b80 (__TEXT,__text) external ___nexus_create
0000000180ab3bac (__TEXT,__text) external ___nexus_deregister
0000000180ab3bd8 (__TEXT,__text) external ___nexus_destroy
0000000180ab3c04 (__TEXT,__text) external ___nexus_get_opt
0000000180ab3c30 (__TEXT,__text) external ___nexus_open
0000000180ab3c5c (__TEXT,__text) external ___nexus_register
0000000180ab3c88 (__TEXT,__text) external ___nexus_set_opt
0000000180ab3cb4 (__TEXT,__text) external ___open
0000000180ab3ce0 (__TEXT,__text) external ___open_dprotected_np
0000000180ab3d0c (__TEXT,__text) external ___open_extended
0000000180ab3d38 (__TEXT,__text) external ___open_nocancel
0000000180ab3d64 (__TEXT,__text) external ___openat
0000000180ab3d90 (__TEXT,__text) external ___openat_dprotected_np
0000000180ab3dbc (__TEXT,__text) external ___openat_nocancel
0000000182bd3078 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180ac68f4 (__TEXT,__text) external ___os_nexus_flow_add
0000000180ac6980 (__TEXT,__text) external ___os_nexus_flow_del
0000000180ac6adc (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180ac6700 (__TEXT,__text) external ___os_nexus_ifattach
