0000000182f6aa14 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000182f6a9d8 (__TEXT,__text) external _CreateLSTMData
0000000182f6a884 (__TEXT,__text) external _CreateLSTMDataForScript
0000000182f6abc8 (__TEXT,__text) external _DeleteLSTMData
0000000182f6ac14 (__TEXT,__text) external _LSTMDataName
0000000182f49a98 (__TEXT,__text) external _T_CString_int64ToString
0000000182f499c8 (__TEXT,__text) external _T_CString_integerToString
0000000182f49b6c (__TEXT,__text) external _T_CString_stringToInteger
0000000182f49970 (__TEXT,__text) external _T_CString_toLowerCase
0000000182f4999c (__TEXT,__text) external _T_CString_toUpperCase
0000000182fb5b3c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000182fb58a8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000182fb5780 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000182fb59e8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000182fb60ac (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000182fb6054 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000182fb58a4 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000182fb6078 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000183003118 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
000000018317399c (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000182f40d90 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000182f40cac (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000182f40e54 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000182f40e4c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000182f40ca8 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000182f40ca4 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000182f40ca0 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
