00007ff80b8859c0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b87775c (__TEXT,__text) non-external _alone_decode
00007ff80b877a04 (__TEXT,__text) non-external _alone_decoder_end
00007ff80b877a25 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80b8768f8 (__TEXT,__text) non-external _alone_encode
00007ff80b8769bc (__TEXT,__text) non-external _alone_encoder_end
00007ff80b876799 (__TEXT,__text) non-external _alone_encoder_init
00007ff80b881538 (__TEXT,__text) non-external _arm_code
00007ff80b8815ff (__TEXT,__text) non-external _armthumb_code
00007ff80b877be7 (__TEXT,__text) non-external _auto_decode
00007ff80b877d03 (__TEXT,__text) non-external _auto_decoder_end
00007ff80b877d24 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80b877b08 (__TEXT,__text) non-external _auto_decoder_init
00007ff80b877d3b (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80b877fff (__TEXT,__text) non-external _block_decode
00007ff80b878226 (__TEXT,__text) non-external _block_decoder_end
00007ff80b87191c (__TEXT,__text) non-external _block_encode
00007ff80b875ad3 (__TEXT,__text) non-external _block_encoder_end
00007ff80b86fc8b (__TEXT,__text) non-external _block_encoder_init
00007ff80b876ec9 (__TEXT,__text) non-external _block_encoder_update
00007ff80b874898 (__TEXT,__text) non-external _bt_find_func
00007ff80b8728be (__TEXT,__text) non-external _bt_skip_func
00007ff80b880e5c (__TEXT,__text) non-external _copy_or_code
00007ff80b87bc66 (__TEXT,__text) non-external _decode_buffer
00007ff80b878681 (__TEXT,__text) non-external _decoder_find
00007ff840840e70 (__DATA_CONST,__const) non-external _decoders
00007ff80b8807a4 (__TEXT,__text) non-external _delta_coder_end
00007ff80b88097b (__TEXT,__text) non-external _delta_decode
00007ff80b880816 (__TEXT,__text) non-external _delta_encode
00007ff80b88092a (__TEXT,__text) non-external _delta_encoder_update
00007ff80b870282 (__TEXT,__text) non-external _encoder_find
00007ff840840c70 (__DATA_CONST,__const) non-external _encoders
00007ff80b881840 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80b878459 (__TEXT,__text) non-external _free_properties
00007ff80b8749f1 (__TEXT,__text) non-external _get_literal_price
00007ff80b878f32 (__TEXT,__text) non-external _hash_append
00007ff80b87b1bd (__TEXT,__text) non-external _hc_find_func
00007ff80b8812af (__TEXT,__text) non-external _ia64_code
00007ff80b887c00 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff80b876330 (__TEXT,__text) non-external _index_cat_helper
