00007ffd04f21ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd04f3fa20 (__TEXT,__const) non-external _FunctionNumbers
00007ffd04f3ea6b (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd04f21b84 (__TEXT,__text) non-external _Init_iODBC
00007ffd41a4663c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd04f20265 (__TEXT,__text) external _SQLAllocConnect
00007ffd04f20150 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd04f21b0b (__TEXT,__text) external _SQLAllocEnv
00007ffd04f21958 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd04f2c2e4 (__TEXT,__text) external _SQLAllocHandle
00007ffd04f2c3df (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd04f2c054 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd04f24d8d (__TEXT,__text) external _SQLAllocStmt
00007ffd04f247c4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd04f29ee1 (__TEXT,__text) external _SQLBindCol
00007ffd04f32274 (__TEXT,__text) external _SQLBindParam
00007ffd04f29211 (__TEXT,__text) external _SQLBindParameter
00007ffd04f1ceb5 (__TEXT,__text) external _SQLBrowseConnect
00007ffd04f1d026 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd04f1d197 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd04f1c856 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd04f31d50 (__TEXT,__text) external _SQLBulkOperations
00007ffd04f25c76 (__TEXT,__text) external _SQLCancel
00007ffd04f322a0 (__TEXT,__text) external _SQLCloseCursor
00007ffd04f31790 (__TEXT,__text) external _SQLColAttribute
00007ffd04f3193c (__TEXT,__text) external _SQLColAttributeA
00007ffd04f31ae8 (__TEXT,__text) external _SQLColAttributeW
00007ffd04f31062 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffd04f2bb50 (__TEXT,__text) external _SQLColAttributes
00007ffd04f2bcfc (__TEXT,__text) external _SQLColAttributesA
00007ffd04f2bea8 (__TEXT,__text) external _SQLColAttributesW
00007ffd04f2b65d (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd04f1541c (__TEXT,__text) external _SQLColumnPrivileges
