0000000000003914 (__TEXT,__text) external _OSAtomicAdd32
00000000000039d4 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000000003ab4 (__TEXT,__text) external _OSAtomicAdd64
0000000000003c3c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000000003bc4 (__TEXT,__text) external _OSAtomicAnd32
000000000000464c (__TEXT,__text) external _OSAtomicAnd32Barrier
00000000000045b0 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000000003ad8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000000003900 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000000003994 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000000002914 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000000003980 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000000003b7c (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000000003c6c (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000000003b9c (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000000003ae4 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000000003bb0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000000000039a8 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000000002e24 (__TEXT,__text) external _OSAtomicDecrement32
0000000000003a40 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000000003c2c (__TEXT,__text) external _OSAtomicDecrement64
0000000000003bd4 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000000001150 (__TEXT,__text) external _OSAtomicDequeue
000000000000140c (__TEXT,__text) external _OSAtomicEnqueue
0000000000005468 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000000005458 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000000002e14 (__TEXT,__text) external _OSAtomicIncrement32
0000000000003a30 (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000000000379c (__TEXT,__text) external _OSAtomicIncrement64
0000000000003b6c (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000000003b90 (__TEXT,__text) external _OSAtomicOr32
00000000000039bc (__TEXT,__text) external _OSAtomicOr32Barrier
0000000000003c64 (__TEXT,__text) external _OSAtomicOr32Orig
0000000000005c08 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000000003be4 (__TEXT,__text) external _OSAtomicTestAndClear
0000000000004604 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000000000045bc (__TEXT,__text) external _OSAtomicTestAndSet
0000000000003af8 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000000005c10 (__TEXT,__text) external _OSAtomicXor32
00000000000039c8 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000000005c1c (__TEXT,__text) external _OSAtomicXor32Orig
0000000000005c24 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000000003978 (__TEXT,__text) external _OSMemoryBarrier
0000000000003778 (__TEXT,__text) external _OSSpinLockLock
0000000000003ac0 (__TEXT,__text) external _OSSpinLockTry
0000000000003794 (__TEXT,__text) external _OSSpinLockUnlock
0000000000006620 (__TEXT,__const) non-external _UUID_NULL
000000000000665e (__TEXT,__const) non-external __0x
000000000000675d (__TEXT,__cstring) non-external __H
0000000000005c54 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000000005c2c (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000000003a50 (__TEXT,__text) external __OSSpinLockLockSlow
0000000000005580 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000000002ff0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000000010010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000000002e34 (__TEXT,__text) external ___libplatform_init
0000000000004684 (__TEXT,__text) external ___os_log_simple_offset
00000000000058c8 (__TEXT,__text) external ___os_once_reset
0000000000002e70 (__TEXT,__text) non-external (was a private external) ___pfz_setup
