00007ff80046021a (__TEXT,__text) external _NSAddImage
00007ff8004601e4 (__TEXT,__text) external _NSAddLibrary
00007ff8004601ff (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff800454e01 (__TEXT,__text) external _NSAddressOfSymbol
00007ff80045ffd3 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff800454d7e (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff80045fff1 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff800454dbf (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff8004601d0 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff80046005c (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff8004600cd (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff800460106 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8004600e8 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff800460095 (__TEXT,__text) external _NSLibraryNameForModule
00007ff8004601ac (__TEXT,__text) external _NSLinkEditError
00007ff800454d9f (__TEXT,__text) external _NSLinkModule
00007ff800460124 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff80046013f (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff80046015d (__TEXT,__text) external _NSLookupSymbolInImage
00007ff800454de3 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff800460191 (__TEXT,__text) external _NSModuleForSymbol
00007ff80046007a (__TEXT,__text) external _NSNameOfModule
00007ff80046017d (__TEXT,__text) external _NSNameOfSymbol
00007ff80046000c (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff800460020 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff800460034 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff800460048 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8004600b0 (__TEXT,__text) external _NSUnLinkModule
00007ff800453efe (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff80045413a (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8431ac710 (__DATA_DIRTY,__common) external _NXArgc
00007ff8431ac718 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff800453d40 (__TEXT,__text) external __NSGetExecutablePath
00007ff80047006f (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff80045feb6 (__TEXT,__text) non-external (was a private external) __Z28legacyDyldLookup4OldBinariesPKcPPv
00007ff8004771e1 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
