                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80b64d45f (__TEXT,__text) external ___cmph_dump
00007ff80b64d4bb (__TEXT,__text) external ___cmph_load
00007ff80b64d455 (__TEXT,__text) external ___config_destroy
00007ff80b64d41c (__TEXT,__text) external ___config_new
00007ff80b650264 (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80b643843 (__TEXT,__text) external _bdz_config_destroy
00007ff80b64380c (__TEXT,__text) external _bdz_config_new
00007ff80b643851 (__TEXT,__text) external _bdz_config_set_b
00007ff80b64386c (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80b6447f2 (__TEXT,__text) external _bdz_destroy
00007ff80b6443eb (__TEXT,__text) external _bdz_dump
00007ff80b644ab7 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80b644530 (__TEXT,__text) external _bdz_load
00007ff80b651da0 (__TEXT,__const) external _bdz_lookup_table
00007ff80b643880 (__TEXT,__text) external _bdz_new
00007ff80b64482f (__TEXT,__text) external _bdz_pack
00007ff80b6448d5 (__TEXT,__text) external _bdz_packed_size
00007ff80b644b61 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80b644b3d (__TEXT,__text) external _bdz_ph_config_new
00007ff80b65114c (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80b644b6f (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80b6458d5 (__TEXT,__text) external _bdz_ph_destroy
00007ff80b6455d6 (__TEXT,__text) external _bdz_ph_dump
00007ff80b645af8 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80b6456c2 (__TEXT,__text) external _bdz_ph_load
00007ff80b644b82 (__TEXT,__text) external _bdz_ph_new
00007ff80b645909 (__TEXT,__text) external _bdz_ph_pack
00007ff80b64597f (__TEXT,__text) external _bdz_ph_packed_size
00007ff80b6457cc (__TEXT,__text) external _bdz_ph_search
00007ff80b6459c0 (__TEXT,__text) external _bdz_ph_search_packed
00007ff80b6446ad (__TEXT,__text) external _bdz_search
00007ff80b64491c (__TEXT,__text) external _bdz_search_packed
00007ff80b651ea0 (__TEXT,__const) non-external _bitmask
00007ff80b651ec0 (__TEXT,__const) non-external _bitmask
00007ff80b6523e8 (__TEXT,__const) non-external _bitmask
00007ff80b6523f8 (__TEXT,__const) non-external _bitmask
00007ff80b6525c8 (__TEXT,__const) non-external _bitmask
00007ff80b652670 (__TEXT,__const) non-external _bitmask
00007ff80b652450 (__TEXT,__const) non-external _bitmask32
00007ff80b652540 (__TEXT,__const) non-external _bitmask32
00007ff80b6525d0 (__TEXT,__const) non-external _bitmask32
00007ff80b646ff0 (__TEXT,__text) external _bmz8_config_destroy
00007ff80b646fc5 (__TEXT,__text) external _bmz8_config_new
00007ff80b646ffe (__TEXT,__text) external _bmz8_config_set_hashfuncs
00007ff80b64818e (__TEXT,__text) external _bmz8_destroy
00007ff80b647ec8 (__TEXT,__text) external _bmz8_dump
00007ff80b647fea (__TEXT,__text) external _bmz8_load
00007ff80b647031 (__TEXT,__text) external _bmz8_new
00007ff80b6511b5 (__TEXT,__text) non-external _bmz8_new.cold.1
00007ff80b6481db (__TEXT,__text) external _bmz8_pack
00007ff80b648281 (__TEXT,__text) external _bmz8_packed_size
