                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80a759cc3 (__TEXT,__text) non-external _au_assemble
00007ff80a75b1a8 (__TEXT,__text) external _au_bsm_to_domain
00007ff80a764f00 (__TEXT,__text) external _au_bsm_to_errno
00007ff80a764fae (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80a761343 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80a759f1e (__TEXT,__text) external _au_close
00007ff80a759fca (__TEXT,__text) external _au_close_buffer
00007ff80a75a08b (__TEXT,__text) external _au_close_token
00007ff80a759bfa (__TEXT,__text) external _au_close_with_errors
00007ff8422a9af4 (__DATA,__bss) non-external _au_cond
00007ff80a75b17d (__TEXT,__text) external _au_domain_to_bsm
00007ff80a764ed2 (__TEXT,__text) external _au_errno_to_bsm
00007ff80a764f83 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80a7581af (__TEXT,__text) external _au_fetch_tok
00007ff80a759a11 (__TEXT,__text) external _au_free_token
00007ff80a761242 (__TEXT,__text) external _au_get_state
00007ff80a7611aa (__TEXT,__text) external _au_notify_initialize
00007ff80a76122d (__TEXT,__text) external _au_notify_terminate
00007ff80a759a3b (__TEXT,__text) external _au_open
00007ff8422a8700 (__DATA,__const) non-external _au_polstr
00007ff80a75a51d (__TEXT,__text) external _au_poltostr
00007ff80a760fc4 (__TEXT,__text) external _au_preselect
00007ff80a75bafc (__TEXT,__text) external _au_print_flags_tok
00007ff80a76025c (__TEXT,__text) external _au_print_tok
00007ff80a760276 (__TEXT,__text) external _au_print_tok_xml
00007ff80a75badd (__TEXT,__text) external _au_print_xml_footer
00007ff80a75ba9c (__TEXT,__text) external _au_print_xml_header
00007ff80a760295 (__TEXT,__text) external _au_read_rec
00007ff80a764e92 (__TEXT,__text) external _au_sdev_close
00007ff80a764ec5 (__TEXT,__text) external _au_sdev_fd
00007ff80a757d82 (__TEXT,__text) external _au_sdev_open
00007ff80a757e56 (__TEXT,__text) external _au_sdev_read_aia
00007ff8422a87f0 (__DATA,__const) non-external _au_sflagsstr
00007ff80a75a685 (__TEXT,__text) external _au_sflagstostr
00007ff80a761318 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80a75abf1 (__TEXT,__text) non-external _au_spacetobytes
00007ff80a764f3f (__TEXT,__text) external _au_strerror
00007ff80a75a5be (__TEXT,__text) external _au_strtopol
00007ff80a75a723 (__TEXT,__text) external _au_strtosflags
00007ff80a759e72 (__TEXT,__text) non-external _au_teardown
00007ff80a76151c (__TEXT,__text) external _au_to_arg
00007ff80a76134e (__TEXT,__text) external _au_to_arg32
00007ff80a76141f (__TEXT,__text) external _au_to_arg64
00007ff80a76303d (__TEXT,__text) external _au_to_certificate_hash
00007ff80a761526 (__TEXT,__text) external _au_to_data
00007ff80a762f08 (__TEXT,__text) external _au_to_exec_args
00007ff80a76302e (__TEXT,__text) external _au_to_exec_env
00007ff80a7615fe (__TEXT,__text) external _au_to_exit
00007ff80a761a52 (__TEXT,__text) external _au_to_file
00007ff80a76168d (__TEXT,__text) external _au_to_groups
00007ff80a7636d3 (__TEXT,__text) external _au_to_header
00007ff80a76362d (__TEXT,__text) external _au_to_header32
00007ff80a76359a (__TEXT,__text) external _au_to_header32_ex
00007ff80a76332b (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80a76323c (__TEXT,__text) external _au_to_header32_tm
00007ff80a763680 (__TEXT,__text) external _au_to_header64
00007ff80a76347a (__TEXT,__text) external _au_to_header64_tm
00007ff80a7636dd (__TEXT,__text) external _au_to_header_ex
00007ff80a7630f5 (__TEXT,__text) external _au_to_identity
00007ff80a761739 (__TEXT,__text) external _au_to_in_addr
00007ff80a76178c (__TEXT,__text) external _au_to_in_addr_ex
00007ff80a7617e8 (__TEXT,__text) external _au_to_ip
00007ff80a761844 (__TEXT,__text) external _au_to_ipc
00007ff80a7618bc (__TEXT,__text) external _au_to_ipc_perm
00007ff80a76196c (__TEXT,__text) external _au_to_iport
00007ff80a763755 (__TEXT,__text) external _au_to_kevent
00007ff80a76304c (__TEXT,__text) external _au_to_krb5_principal
