00007ffb0363a040 (__TEXT,__text) external _ARMCompilationCallback
00007ffb0363a050 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffb03d33a70 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffb03d33b50 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffb03d33980 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffb03d33ce0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffb03d34010 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffb03d34410 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffb03d34220 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffb03d34210 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffb43225578 (__DATA,__common) external _EnableARMEHABI
00007ffb432252b8 (__DATA,__common) external _EnableARMLongCalls
00007ffb43225040 (__DATA,__common) external _ForceStackAlign
00007ffb03b45cc0 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb03b45c70 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb039a23e0 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb03b78b90 (__TEXT,__text) external _LLVMAddAlias
00007ffb0335a2d0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb03b49220 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb0335a1e0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb03b79230 (__TEXT,__text) external _LLVMAddAttribute
00007ffb03383db0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffb039a29d0 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb039a2410 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb03b7a6d0 (__TEXT,__text) external _LLVMAddCase
00007ffb03b7a6f0 (__TEXT,__text) external _LLVMAddClause
00007ffb0335a210 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb039a28b0 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffb039a2940 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb0335a240 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb039a2440 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb039a28e0 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb03b7a6e0 (__TEXT,__text) external _LLVMAddDestination
00007ffb039a2970 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb03b78c00 (__TEXT,__text) external _LLVMAddFunction
00007ffb03b78dc0 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffb0335a270 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb0335a2a0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb039a24a0 (__TEXT,__text) external _LLVMAddGVNPass
00007ffb03b78890 (__TEXT,__text) external _LLVMAddGlobal
00007ffb0335a300 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb03b78910 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb034088b0 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffb0335a330 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb0335a360 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffb0335a3c0 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb03b79b90 (__TEXT,__text) external _LLVMAddIncoming
00007ffb039a24d0 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb03b79910 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffb039a2500 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb0335a3f0 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb039a2530 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb039a2560 (__TEXT,__text) external _LLVMAddLICMPass
00007ffb039a2590 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb039a25c0 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb039a2620 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb039a25f0 (__TEXT,__text) external _LLVMAddLoopRotatePass
