00007ff90786f7c4 (__TEXT,__text) external _MarcoAction
00007ff90786f7cc (__TEXT,__text) external _MarcoActionWithUserInfo
00007ff90786f76c (__TEXT,__text) external _MarcoAddCallMetric
00007ff90786f774 (__TEXT,__text) external _MarcoAddCallMetric_Double
00007ff90786f77c (__TEXT,__text) external _MarcoAddCallMetric_Float
00007ff90786f784 (__TEXT,__text) external _MarcoAddCallMetric_Int
00007ff90786f78c (__TEXT,__text) external _MarcoAddCallMetric_Short
00007ff90786f7f4 (__TEXT,__text) external _MarcoAddLogFile
00007ff90786f764 (__TEXT,__text) external _MarcoBeginSession
00007ff90786f86c (__TEXT,__text) external _MarcoCanLogMadridMessageBodies
00007ff90786f864 (__TEXT,__text) external _MarcoCanLogMadridMessageBodiesCF
00007ff90786f718 (__TEXT,__text) external _MarcoConnect
00007ff90786f723 (__TEXT,__text) external _MarcoDiconnect
00007ff90786f708 (__TEXT,__text) external _MarcoEndSession
00007ff90786f7bc (__TEXT,__text) external _MarcoEvent
00007ff90786f7ac (__TEXT,__text) external _MarcoLog
00007ff90786f79c (__TEXT,__text) external _MarcoLogCallInfo
00007ff90786f874 (__TEXT,__text) external _MarcoLogLocalPreview
00007ff90786f893 (__TEXT,__text) external _MarcoLogLocalPreviewEvent
00007ff90786f80c (__TEXT,__text) external _MarcoLogMadrid
00007ff90786f814 (__TEXT,__text) external _MarcoLogMadridCF
00007ff90786f82c (__TEXT,__text) external _MarcoLogMadridCF_V
00007ff90786f6d8 (__TEXT,__text) external _MarcoLogMadridEvent
00007ff90786f81c (__TEXT,__text) external _MarcoLogMadridEventCF
00007ff90786f844 (__TEXT,__text) external _MarcoLogMadridEventCF_V
00007ff90786f6f8 (__TEXT,__text) external _MarcoLogMadridLevel
00007ff90786f834 (__TEXT,__text) external _MarcoLogMadridLevelCF_V
00007ff90786f7fc (__TEXT,__text) external _MarcoLogRegistration
00007ff90786f6e0 (__TEXT,__text) external _MarcoLoggingStringForMessageData
00007ff90786f744 (__TEXT,__text) external _MarcoMadridLogLevel
00007ff90786f7a4 (__TEXT,__text) external _MarcoNoteCheckpoint
00007ff90786f794 (__TEXT,__text) external _MarcoNoteQuality
00007ff90786f7d4 (__TEXT,__text) external _MarcoPerformSnapshot
00007ff90786f7b4 (__TEXT,__text) external _MarcoPulse
00007ff90786f7e4 (__TEXT,__text) external _MarcoSetFailureReason
00007ff90786f7dc (__TEXT,__text) external _MarcoSetInitiator
00007ff90786f7ec (__TEXT,__text) external _MarcoSetRecipient
00007ff90786f6f0 (__TEXT,__text) external _MarcoShouldLog
00007ff90786f74c (__TEXT,__text) external _MarcoShouldLogCallMetric
00007ff90786f710 (__TEXT,__text) external _MarcoShouldLogCheckpoints
00007ff90786f700 (__TEXT,__text) external _MarcoShouldLogLocalPreview
00007ff90786f73c (__TEXT,__text) external _MarcoShouldLogMadrid
00007ff90786f854 (__TEXT,__text) external _MarcoShouldLogMadridCF
00007ff90786f6e8 (__TEXT,__text) external _MarcoShouldLogMadridEvent
00007ff90786f85c (__TEXT,__text) external _MarcoShouldLogMadridEventCF
00007ff90786f6c8 (__TEXT,__text) external _MarcoShouldLogMadridLevel
00007ff90786f83c (__TEXT,__text) external _MarcoShouldLogMadridLevelCF
00007ff90786f754 (__TEXT,__text) external _MarcoShouldLogQuality
00007ff90786f734 (__TEXT,__text) external _MarcoShouldLogRegistration
00007ff90786f75c (__TEXT,__text) external _MarcoStartPing
00007ff90786f72e (__TEXT,__text) external _MarcoSyncLoggingsPreferences
00007ff90786f888 (__TEXT,__text) external _MarcoWarnLocalPreview
00007ff90786f6d0 (__TEXT,__text) external _MarcoWarnMadrid
00007ff90786f824 (__TEXT,__text) external _MarcoWarnMadridCF
00007ff90786f84c (__TEXT,__text) external _MarcoWarnMadridCF_V
00007ff90786f804 (__TEXT,__text) external _MarcoWarnRegistration
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
