00007ffd448a73c8 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd448a73d0 (__DATA,__bss) non-external __ZL13reportGlobals
00007ffd448a73c0 (__DATA,__bss) non-external __ZL15libmallocShadow
00007ffd448a73b8 (__DATA,__bss) non-external __ZL3cfg
00007ffd1c139c82 (__TEXT,__text) non-external __ZL3diev
00007ffd1c13b460 (__TEXT,__const) non-external __ZL5zeros
00007ffd448a73d8 (__DATA,__bss) non-external __ZL6report
00007ffd448a7888 (__DATA,__bss) non-external __ZL6shadow
00007ffd448a73b0 (__DATA,__bss) non-external __ZL7_shadow
00007ffd448a7368 (__DATA,__bss) non-external __ZL9collector
00007ffd1c13a1d0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
00007ffd1c13a1be (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
00007ffd1c13a6c0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
00007ffd1c13a46e (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
00007ffd1c13a708 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
00007ffd1c13b2c8 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
00007ffd1c13b2eb (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
00007ffd1c13b30e (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
00007ffd1c13a756 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
00007ffd1c13a766 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
00007ffd1c13a776 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
00007ffd1c13b331 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
00007ffd1c13a7b4 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
00007ffd1c13b352 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
00007ffd1c13a1e0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
00007ffd1c13b1f8 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
00007ffd1c13a2c2 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
00007ffd1c139142 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
00007ffd1c13b033 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
00007ffd1c13b054 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
00007ffd1c135fc0 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffd1c13acc0 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffd1c13acf0 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffd1c135d80 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm262144EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffd1c13ac00 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm262144EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffd1c13ac30 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm262144EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffd1c135f20 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffd1c13ac60 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
