                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffc0040a57e (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc0040ad90 (__TEXT,__const) external _libopenpam
00007ffc0040a990 (__TEXT,__text) external _misc_conv
00007ffc0040a73f (__TEXT,__text) external _pam_acct_mgmt
00007ffc0040a673 (__TEXT,__text) external _pam_authenticate
00007ffc0040a7a5 (__TEXT,__text) external _pam_chauthtok
00007ffc0040a869 (__TEXT,__text) external _pam_close_session
00007ffc0040a61d (__TEXT,__text) external _pam_end
00007ffc0040ab41 (__TEXT,__text) external _pam_get_data
00007ffc0040a92b (__TEXT,__text) external _pam_get_item
00007ffc0040acfd (__TEXT,__text) external _pam_get_pass
00007ffc0040ac19 (__TEXT,__text) external _pam_get_user
00007ffc0040aaa8 (__TEXT,__text) external _pam_getenv
00007ffc0040aaf7 (__TEXT,__text) external _pam_getenvlist
00007ffc0040a80c (__TEXT,__text) external _pam_open_session
00007ffc0040ac7e (__TEXT,__text) external _pam_prompt
00007ffc0040aa52 (__TEXT,__text) external _pam_putenv
00007ffc0040aba6 (__TEXT,__text) external _pam_set_data
00007ffc0040a8c6 (__TEXT,__text) external _pam_set_item
00007ffc0040a6d9 (__TEXT,__text) external _pam_setcred
00007ffc0040a5aa (__TEXT,__text) external _pam_start
00007ffc0040aa03 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffc0040a50c (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffc0040a521 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffc0040a576 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffc0040a553 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffc0040a536 (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffc0040a546 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
