                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectRelease (from IOKit)
                 (undefined) external _IOIteratorIsValid (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryCreateIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetChildEntry (from IOKit)
                 (undefined) external _IORegistryEntryGetChildIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetName (from IOKit)
                 (undefined) external _IORegistryGetRootEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceNameMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffb185b0aa1 (__TEXT,__text) external _NFCalibrationGetData
00007ffb185b0c73 (__TEXT,__text) external _NFCalibrationGetRFConfigTLVs
00007ffb185abb72 (__TEXT,__text) external _NFHardwareDebug
00007ffb185a5f16 (__TEXT,__text) external _NFHardwareGPIOClose
00007ffb185a5c91 (__TEXT,__text) external _NFHardwareGPIOConfigureHammerfestSPMI
00007ffb185a6044 (__TEXT,__text) external _NFHardwareGPIOIsHostWakeCapable
00007ffb185a5c99 (__TEXT,__text) external _NFHardwareGPIOOpen
00007ffb185a5c6c (__TEXT,__text) external _NFHardwareGPIOSetDeviceWake
00007ffb185a5a50 (__TEXT,__text) external _NFHardwareGPIOSetDownloadRequest
00007ffb185a5b04 (__TEXT,__text) external _NFHardwareGPIOSetIcefallDownloadRequest
00007ffb185a5bb8 (__TEXT,__text) external _NFHardwareGPIOSetPMUStandbyPowerEnabled
00007ffb185a55ff (__TEXT,__text) external _NFHardwareGPIOSetPower
00007ffb185a599c (__TEXT,__text) external _NFHardwareGPIOSetVBAT
00007ffb185a5c89 (__TEXT,__text) external _NFHardwareGPIOValidateSPMIConfig
00007ffb185a5c7d (__TEXT,__text) external _NFHardwareGPIOWasItSPMINack
00007ffb185a55c1 (__TEXT,__text) external _NFHardwareGetCalibration
00007ffb185a55a3 (__TEXT,__text) external _NFHardwareGetRFConfigTLVs
00007ffb185a559b (__TEXT,__text) external _NFHardwareGetUARTLogEnabled
00007ffb185ab7b9 (__TEXT,__text) external _NFHardwareInterfaceClose
00007ffb185abada (__TEXT,__text) external _NFHardwareInterfaceFlush
00007ffb185abaf5 (__TEXT,__text) external _NFHardwareInterfaceGetFlowControl
00007ffb185abd2d (__TEXT,__text) external _NFHardwareInterfaceGetType
00007ffb185abbbc (__TEXT,__text) external _NFHardwareInterfaceIsHammerfestAlive
00007ffb185abb51 (__TEXT,__text) external _NFHardwareInterfaceIsHostWakeCapable
00007ffb185abbe7 (__TEXT,__text) external _NFHardwareInterfaceIsSupported
00007ffb185ab10f (__TEXT,__text) external _NFHardwareInterfaceOpen
00007ffb185ab9d6 (__TEXT,__text) external _NFHardwareInterfaceRead
00007ffb185ababb (__TEXT,__text) external _NFHardwareInterfaceReadAbort
00007ffb185ab806 (__TEXT,__text) external _NFHardwareInterfaceResetSerial
00007ffb185ab9bb (__TEXT,__text) external _NFHardwareInterfaceSetBaudRate
00007ffb185abb13 (__TEXT,__text) external _NFHardwareInterfaceSetCRCEnabled
00007ffb185ab97e (__TEXT,__text) external _NFHardwareInterfaceSetDeviceWake
00007ffb185ab90f (__TEXT,__text) external _NFHardwareInterfaceSetDownloadRequest
00007ffb185ab934 (__TEXT,__text) external _NFHardwareInterfaceSetIcefallDownloadRequest
00007ffb185ab9a0 (__TEXT,__text) external _NFHardwareInterfaceSetLogFunction
00007ffb185abb32 (__TEXT,__text) external _NFHardwareInterfaceSetOnDemandClientMode
00007ffb185ab8c8 (__TEXT,__text) external _NFHardwareInterfaceSetPMUStandbyEnabled
00007ffb185ab959 (__TEXT,__text) external _NFHardwareInterfaceSetPMUStandbyPowerEnabled
00007ffb185ab8a6 (__TEXT,__text) external _NFHardwareInterfaceSetPower
