00000001804642d0 (__TEXT,__text) external _NSAddImage
0000000180464260 (__TEXT,__text) external _NSAddLibrary
0000000180464298 (__TEXT,__text) external _NSAddLibraryWithSearching
00000001804579ac (__TEXT,__text) external _NSAddressOfSymbol
0000000180463df4 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00000001804578c4 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
0000000180463e28 (__TEXT,__text) external _NSDestroyObjectFileImage
0000000180457934 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
0000000180464220 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
0000000180463f58 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
0000000180464020 (__TEXT,__text) external _NSIsSymbolNameDefined
0000000180464084 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
0000000180464050 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
0000000180463fbc (__TEXT,__text) external _NSLibraryNameForModule
00000001804641dc (__TEXT,__text) external _NSLinkEditError
00000001804578fc (__TEXT,__text) external _NSLinkModule
00000001804640b8 (__TEXT,__text) external _NSLookupAndBindSymbol
00000001804640e8 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
0000000180464124 (__TEXT,__text) external _NSLookupSymbolInImage
0000000180457970 (__TEXT,__text) external _NSLookupSymbolInModule
00000001804641a4 (__TEXT,__text) external _NSModuleForSymbol
0000000180463f8c (__TEXT,__text) external _NSNameOfModule
0000000180464164 (__TEXT,__text) external _NSNameOfSymbol
0000000180463e58 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
0000000180463e98 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
0000000180463ed8 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
0000000180463f18 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
0000000180463fec (__TEXT,__text) external _NSUnLinkModule
0000000180456850 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
0000000180456b1c (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001e5575838 (__DATA_DIRTY,__common) external _NXArgc
00000001e5575840 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
