00000001919cf198 (__TEXT,__const) non-external _KW_ANY
00000001919cf11d (__TEXT,__const) non-external _KW_ATTLIST
00000001919cf14b (__TEXT,__const) non-external _KW_CDATA
00000001919cf100 (__TEXT,__const) non-external _KW_DOCTYPE
00000001919cf125 (__TEXT,__const) non-external _KW_ELEMENT
00000001919cf192 (__TEXT,__const) non-external _KW_EMPTY
00000001919cf161 (__TEXT,__const) non-external _KW_ENTITIES
00000001919cf116 (__TEXT,__const) non-external _KW_ENTITY
00000001919cf18c (__TEXT,__const) non-external _KW_FIXED
00000001919cf151 (__TEXT,__const) non-external _KW_ID
00000001919cf154 (__TEXT,__const) non-external _KW_IDREF
00000001919cf15a (__TEXT,__const) non-external _KW_IDREFS
00000001919cf13e (__TEXT,__const) non-external _KW_IGNORE
00000001919cf17b (__TEXT,__const) non-external _KW_IMPLIED
00000001919cf136 (__TEXT,__const) non-external _KW_INCLUDE
00000001919cf8a8 (__TEXT,__const) non-external _KW_ISO_8859_1
00000001919cf145 (__TEXT,__const) non-external _KW_NDATA
00000001919cf16a (__TEXT,__const) non-external _KW_NMTOKEN
00000001919cf172 (__TEXT,__const) non-external _KW_NMTOKENS
00000001919cf12d (__TEXT,__const) non-external _KW_NOTATION
00000001919cf19c (__TEXT,__const) non-external _KW_PCDATA
00000001919cf10f (__TEXT,__const) non-external _KW_PUBLIC
00000001919cf183 (__TEXT,__const) non-external _KW_REQUIRED
00000001919cf108 (__TEXT,__const) non-external _KW_SYSTEM
00000001919cf8b3 (__TEXT,__const) non-external _KW_US_ASCII
00000001919cf8c2 (__TEXT,__const) non-external _KW_UTF_16
00000001919cf8c9 (__TEXT,__const) non-external _KW_UTF_16BE
00000001919cf8d2 (__TEXT,__const) non-external _KW_UTF_16LE
00000001919cf8bc (__TEXT,__const) non-external _KW_UTF_8
00000001919cf8e9 (__TEXT,__const) non-external _KW_encoding
00000001919cf901 (__TEXT,__const) non-external _KW_no
00000001919cf8f2 (__TEXT,__const) non-external _KW_standalone
00000001919cf8e1 (__TEXT,__const) non-external _KW_version
00000001919cf8fd (__TEXT,__const) non-external _KW_yes
00000001919b88a8 (__TEXT,__text) external _XML_DefaultCurrent
00000001919b89d8 (__TEXT,__text) external _XML_ErrorString
00000001919b89fc (__TEXT,__text) external _XML_ExpatVersion
00000001919b8a08 (__TEXT,__text) external _XML_ExpatVersionInfo
00000001919b7024 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00000001919b8854 (__TEXT,__text) external _XML_FreeContentModel
00000001919b7cf0 (__TEXT,__text) external _XML_GetBase
00000001919b8084 (__TEXT,__text) external _XML_GetBuffer
00000001919b8738 (__TEXT,__text) external _XML_GetCurrentByteCount
00000001919b8714 (__TEXT,__text) external _XML_GetCurrentByteIndex
00000001919b87fc (__TEXT,__text) external _XML_GetCurrentColumnNumber
00000001919b87a0 (__TEXT,__text) external _XML_GetCurrentLineNumber
00000001919b8700 (__TEXT,__text) external _XML_GetErrorCode
00000001919b8a18 (__TEXT,__text) external _XML_GetFeatureList
00000001e659e4a8 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00000001919b7d10 (__TEXT,__text) external _XML_GetIdAttributeIndex
00000001919b8760 (__TEXT,__text) external _XML_GetInputContext
00000001919b86dc (__TEXT,__text) external _XML_GetParsingStatus
00000001919cecf8 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00000001919b7cfc (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00000001919b8894 (__TEXT,__text) external _XML_MemFree
00000001919b8868 (__TEXT,__text) external _XML_MemMalloc
00000001919b887c (__TEXT,__text) external _XML_MemRealloc
00000001919b7ee8 (__TEXT,__text) external _XML_Parse
00000001919ceca0 (__TEXT,__text) non-external _XML_Parse.cold.1
00000001919b82bc (__TEXT,__text) external _XML_ParseBuffer
00000001919b65f0 (__TEXT,__text) external _XML_ParserCreate
00000001919b6610 (__TEXT,__text) external _XML_ParserCreateNS
00000001919b6604 (__TEXT,__text) external _XML_ParserCreate_MM
00000001919b770c (__TEXT,__text) external _XML_ParserFree
00000001919b6a0c (__TEXT,__text) external _XML_ParserReset
00000001919b85f0 (__TEXT,__text) external _XML_ResumeParser
00000001919b8aa4 (__TEXT,__text) external _XML_SetAllocTrackerActivationThreshold
00000001919b8a74 (__TEXT,__text) external _XML_SetAllocTrackerMaximumAmplification
00000001919b7e68 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00000001919b7c3c (__TEXT,__text) external _XML_SetBase
00000001919b8a54 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00000001919b8a24 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00000001919b7d6c (__TEXT,__text) external _XML_SetCdataSectionHandler
00000001919b7d48 (__TEXT,__text) external _XML_SetCharacterDataHandler
00000001919b7d60 (__TEXT,__text) external _XML_SetCommentHandler
00000001919b7d90 (__TEXT,__text) external _XML_SetDefaultHandler
00000001919b7da0 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00000001919b7db4 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00000001919b7e5c (__TEXT,__text) external _XML_SetElementDeclHandler
00000001919b7d24 (__TEXT,__text) external _XML_SetElementHandler
00000001919b6f44 (__TEXT,__text) external _XML_SetEncoding
00000001919b7d84 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00000001919b7dcc (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00000001919b7d3c (__TEXT,__text) external _XML_SetEndElementHandler
00000001919b7e08 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00000001919b7e74 (__TEXT,__text) external _XML_SetEntityDeclHandler
00000001919b7e20 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00000001919b7e2c (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00000001919b7eb4 (__TEXT,__text) external _XML_SetHashSalt
00000001919b7df0 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00000001919b7e14 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00000001919b7de4 (__TEXT,__text) external _XML_SetNotationDeclHandler
00000001919b7e8c (__TEXT,__text) external _XML_SetParamEntityParsing
