00000001f874b648 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f874f61c (__TEXT,__text) non-external -[MGDaemon .cxx_destruct]
00000001f874e74c (__TEXT,__text) non-external -[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]
00000001f874bf04 (__TEXT,__text) non-external -[MGDaemon _ingestHomeKitHome:]
00000001f874cfd8 (__TEXT,__text) non-external -[MGDaemon addHomeKitAccessory:fromHome:]
00000001f874c6bc (__TEXT,__text) non-external -[MGDaemon addHomeKitHome:]
00000001f874cef8 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:]
00000001f874cce8 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:fromHome:]
00000001f874cad8 (__TEXT,__text) non-external -[MGDaemon addHomeKitRoom:fromHome:]
00000001f874c8c8 (__TEXT,__text) non-external -[MGDaemon addHomeKitZone:fromHome:]
00000001f874edf4 (__TEXT,__text) non-external -[MGDaemon addMember:group:completion:]
00000001f874f5f4 (__TEXT,__text) non-external -[MGDaemon clients]
00000001f874da40 (__TEXT,__text) non-external -[MGDaemon createGroupWithType:name:members:completion:]
00000001f874e274 (__TEXT,__text) non-external -[MGDaemon deleteGroup:completion:]
00000001f874f5ec (__TEXT,__text) non-external -[MGDaemon dispatchQueue]
00000001f874f5fc (__TEXT,__text) non-external -[MGDaemon groupsMediator]
00000001f874b670 (__TEXT,__text) non-external -[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]
00000001f874aba0 (__TEXT,__text) non-external -[MGDaemon initWithServiceListenerProvider:]
00000001f874b5e8 (__TEXT,__text) non-external -[MGDaemon init]
00000001f874d570 (__TEXT,__text) non-external -[MGDaemon listener:shouldAcceptNewConnection:]
00000001f874f5dc (__TEXT,__text) non-external -[MGDaemon listenerProvider]
00000001f874f5e4 (__TEXT,__text) non-external -[MGDaemon listener]
00000001f874f614 (__TEXT,__text) non-external -[MGDaemon queryAgent]
00000001f874d3d4 (__TEXT,__text) non-external -[MGDaemon removeHomeKitAccessory:fromHome:]
00000001f874c758 (__TEXT,__text) non-external -[MGDaemon removeHomeKitHome:]
00000001f874cf68 (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:]
00000001f874cd84 (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:fromHome:]
00000001f874cb74 (__TEXT,__text) non-external -[MGDaemon removeHomeKitRoom:fromHome:]
00000001f874c964 (__TEXT,__text) non-external -[MGDaemon removeHomeKitZone:fromHome:]
00000001f874ef10 (__TEXT,__text) non-external -[MGDaemon removeMember:group:completion:]
00000001f874ecd8 (__TEXT,__text) non-external -[MGDaemon setName:group:completion:]
00000001f874f60c (__TEXT,__text) non-external -[MGDaemon setTopologyRequestHandler:]
00000001f874f02c (__TEXT,__text) non-external -[MGDaemon startQueryWithPredicate:completion:]
00000001f874f41c (__TEXT,__text) non-external -[MGDaemon stopQuery:completion:]
00000001f874f604 (__TEXT,__text) non-external -[MGDaemon topologyRequestHandler]
00000001f8745d90 (__TEXT,__text) non-external -[MGGroupsActivity .cxx_destruct]
00000001f8745b58 (__TEXT,__text) non-external -[MGGroupsActivity dealloc]
00000001f8745cb4 (__TEXT,__text) non-external -[MGGroupsActivity description]
00000001f8745a24 (__TEXT,__text) non-external -[MGGroupsActivity initWithName:]
00000001f8745d80 (__TEXT,__text) non-external -[MGGroupsActivity name]
00000001f8745d88 (__TEXT,__text) non-external -[MGGroupsActivity when]
00000001f87459d8 (__TEXT,__text) non-external -[MGGroupsMediator .cxx_destruct]
00000001f8743d14 (__TEXT,__text) non-external -[MGGroupsMediator _withLock:]
00000001f87459b8 (__TEXT,__text) non-external -[MGGroupsMediator activities]
00000001f8744768 (__TEXT,__text) non-external -[MGGroupsMediator addGroup:]
00000001f87440b8 (__TEXT,__text) non-external -[MGGroupsMediator currentGroups]
00000001f8743d74 (__TEXT,__text) non-external -[MGGroupsMediator description]
00000001f87444c0 (__TEXT,__text) non-external -[MGGroupsMediator endActivity:]
00000001f8744f9c (__TEXT,__text) non-external -[MGGroupsMediator group:addMember:]
00000001f87453d0 (__TEXT,__text) non-external -[MGGroupsMediator group:removeMember:]
00000001f8744b08 (__TEXT,__text) non-external -[MGGroupsMediator group:renameTo:]
00000001f8743c7c (__TEXT,__text) non-external -[MGGroupsMediator groupsForUpdate_unsafe]
00000001f8743a94 (__TEXT,__text) non-external -[MGGroupsMediator groups_unsafe]
00000001f87459c8 (__TEXT,__text) non-external -[MGGroupsMediator hasPendingChanges]
00000001f87439e8 (__TEXT,__text) non-external -[MGGroupsMediator initWithGroupsQueryAgent:]
00000001f874598c (__TEXT,__text) non-external -[MGGroupsMediator queryAgent]
00000001f8744938 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:]
00000001f8743b8c (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:ifExists_unsafe:]
00000001f8745800 (__TEXT,__text) non-external -[MGGroupsMediator removeGroupWithIdentifier:]
00000001f87459c0 (__TEXT,__text) non-external -[MGGroupsMediator setActivities:]
00000001f87459d0 (__TEXT,__text) non-external -[MGGroupsMediator setPendingChanges:]
00000001f87442e4 (__TEXT,__text) non-external -[MGGroupsMediator startActivityWithName:]
00000001f8743ad0 (__TEXT,__text) non-external -[MGGroupsMediator upsertGroup_unsafe:]
00000001f8748f0c (__TEXT,__text) non-external -[MGGroupsQueryAgent .cxx_destruct]
00000001f87466a0 (__TEXT,__text) non-external -[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]
00000001f87468d4 (__TEXT,__text) non-external -[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]
00000001f8748284 (__TEXT,__text) non-external -[MGGroupsQueryAgent _queryOperation:didFindGroups:]
00000001f8746640 (__TEXT,__text) non-external -[MGGroupsQueryAgent _withLock:]
00000001f8748744 (__TEXT,__text) non-external -[MGGroupsQueryAgent addOutstandingQuery:]
00000001f8748edc (__TEXT,__text) non-external -[MGGroupsQueryAgent containers]
00000001f8748ed4 (__TEXT,__text) non-external -[MGGroupsQueryAgent currentIdentifier]
00000001f8748e88 (__TEXT,__text) non-external -[MGGroupsQueryAgent delegate]
00000001f8748d24 (__TEXT,__text) non-external -[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]
00000001f8748ecc (__TEXT,__text) non-external -[MGGroupsQueryAgent groups]
00000001f87460a8 (__TEXT,__text) non-external -[MGGroupsQueryAgent initWithDelegate:]
00000001f87462e0 (__TEXT,__text) non-external -[MGGroupsQueryAgent init]
00000001f8748ebc (__TEXT,__text) non-external -[MGGroupsQueryAgent operations]
00000001f8748efc (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00000001f8748eb4 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00000001f8748a78 (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00000001f8748ee4 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00000001f8746598 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00000001f8746448 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00000001f87462e8 (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00000001f8748ec4 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00000001f8748f04 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00000001f8748ef4 (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00000001f8748eec (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00000001f8749408 (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00000001f87493c8 (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00000001f87493e8 (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00000001f8748f94 (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00000001f87490bc (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00000001f87493d8 (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00000001f87493f8 (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00000001f874aa90 (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00000001f874a908 (__TEXT,__text) non-external -[MGOutstandingQuery _predicateRequiresCurrentDevice:]
00000001f874aa78 (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00000001f874a85c (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00000001f874aa80 (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00000001f874aa88 (__TEXT,__text) non-external -[MGOutstandingQuery requiresTopology]
00000001f8750178 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00000001f874f92c (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00000001f874fb50 (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00000001f8750154 (__TEXT,__text) non-external -[MGServiceClient connection]
00000001f874f824 (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00000001f874f884 (__TEXT,__text) non-external -[MGServiceClient description]
00000001f874ff70 (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00000001f874f7e4 (__TEXT,__text) non-external -[MGServiceClient hash]
00000001f874f69c (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00000001f874f72c (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00000001f874fdb8 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00000001f875015c (__TEXT,__text) non-external -[MGServiceClient queries]
00000001f874fc88 (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00000001f874f994 (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00000001f875016c (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00000001f8750164 (__TEXT,__text) non-external -[MGServiceClient transaction]
00000001f8750884 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00000001f8750234 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00000001f875043c (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00000001f8750874 (__TEXT,__text) non-external -[MGServiceClientSet clients]
00000001f8750664 (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00000001f87501c8 (__TEXT,__text) non-external -[MGServiceClientSet init]
00000001f8750558 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00000001f875029c (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00000001f875087c (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00000001f8746058 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00000001f8745e7c (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f8746050 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f8745dd4 (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f8745f24 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f8746048 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f8745f94 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f8751370 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f87513ac (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f875125c (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f8751318 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f87513c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f875126c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f8751280 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f8751294 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f87513e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f87512a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f875132c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f87512c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f87513f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f87512d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f8751394 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001f87512f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f8751348 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f8751248 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f8751304 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f8749b9c (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f8749bf4 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f8749f24 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f8749ff0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f874a404 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f874a4ac (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f874a40c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f874a7c0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f874a720 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f874a684 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f874a364 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
