00007ffb0e6952bd (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb0e695517 (__TEXT,__text) external _LLVMExtraDisposeBinary
00007ffb0e69529b (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00007ffb0e6955fa (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00007ffb0e695740 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00007ffb0e69569d (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00007ffb0e695529 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00007ffb0e695256 (__TEXT,__text) external _LLVMExtraMakeSharedModule
00007ffb0e6951b4 (__TEXT,__text) external _MTLArchiveAddMember
00007ffb0e695154 (__TEXT,__text) external _MTLArchiveCreate
00007ffb0e695192 (__TEXT,__text) external _MTLArchiveDestroy
00007ffb0e6985d0 (__TEXT,__text) external _MTLArchiveGetAsObject
00007ffb0e69523c (__TEXT,__text) external _MTLArchiveGetMemberNo
00007ffb0e695224 (__TEXT,__text) external _MTLArchiveGetMembersCount
00007ffb0e69864e (__TEXT,__text) external _MTLCreateScript
00007ffb0e698791 (__TEXT,__text) external _MTLDestroyScript
00007ffb0e68e2a8 (__TEXT,__text) external _MTLDowngradeAIRModule
00007ffb0e692082 (__TEXT,__text) external _MTLFunctionGroupCreate
00007ffb0e69213c (__TEXT,__text) external _MTLFunctionGroupDestroy
00007ffb0e692190 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00007ffb0e692187 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00007ffb0e692170 (__TEXT,__text) external _MTLFunctionGroupGetName
00007ffb0e68d4a0 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00007ffb0e68d39c (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00007ffb0e68da4a (__TEXT,__text) external _MTLGPUArchiverAddTool
00007ffb0e68d292 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00007ffb0e68dc2d (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00007ffb0e68dd0a (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00007ffb0e68cd3e (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00007ffb0e68d05c (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00007ffb0e68ce48 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00007ffb0e68d166 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00007ffb0e68cc34 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00007ffb0e68cf52 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00007ffb0e68d270 (__TEXT,__text) external _MTLGPUArchiverDestroy
00007ffb0e68dedc (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00007ffb0e68dfb9 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00007ffb0e68de12 (__TEXT,__text) external _MTLGPUArchiverFlush
00007ffb0e68e0df (__TEXT,__text) external _MTLGPUArchiverFromId
00007ffb0e68db63 (__TEXT,__text) external _MTLGPUArchiverPackUnits
00007ffb0e68d96c (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
00007ffb0e68d77a (__TEXT,__text) external _MTLGPUArchiverSetInstallName
00007ffb0e68d86f (__TEXT,__text) external _MTLGPUArchiverSetTarget
00007ffb0e68d67c (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
00007ffb0e68d590 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
00007ffb0e68e0c1 (__TEXT,__text) external _MTLGPUArchiverToId
00007ffb0e6909da (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
00007ffb0e690c3f (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
00007ffb0e690e88 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
00007ffb0e68fcda (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
00007ffb0e68ff10 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
00007ffb0e690146 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
00007ffb0e68e7ec (__TEXT,__text) external _MTLGPUCompilerCreate
00007ffb0e68e81a (__TEXT,__text) external _MTLGPUCompilerDestroy
