00007ffc0d9b74ba (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc0d9b7837 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc0d9b68b0 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc0d9b6fc2 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc0d9b70ca (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc0d94a6af (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc0d94a678 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc0d95f1d3 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc0d94a62a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc0d94a610 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc0d94a65e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc0d94a644 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc0d94bc77 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc0d94fa13 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc0d94f94b (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc0d94f88c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc0d94f93a (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc0d9ac8d0 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc0d94fab0 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc0d94fa1e (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc0d950106 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc0d9506f1 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc0d9510fd (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc0d951088 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc0d950bd9 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc0d9be49e (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc0d9be4b3 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc0d9bde8f (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc0d9be33c (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc0d97b4e0 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffc0d9600dd (__TEXT,__text) external _AAByteRangeAdd
00007ffc0d95ffe5 (__TEXT,__text) external _AAByteRangeClone
00007ffc0d95ff49 (__TEXT,__text) external _AAByteRangeCreate
00007ffc0d95ffbf (__TEXT,__text) external _AAByteRangeDestroy
00007ffc0d9602ab (__TEXT,__text) external _AAByteRangeFirst
00007ffc0d9603b8 (__TEXT,__text) external _AAByteRangeNext
00007ffc0d96023d (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc0d9601cb (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffc0d960159 (__TEXT,__text) external _AAByteRangeSub
00007ffc0d9b59ae (__TEXT,__text) external _AAByteStreamCancel
00007ffc0d9b59c3 (__TEXT,__text) external _AAByteStreamClose
00007ffc0d9b59fa (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc0d9b5a43 (__TEXT,__text) external _AAByteStreamFlush
00007ffc0d9b5976 (__TEXT,__text) external _AAByteStreamPRead
00007ffc0d9b5a77 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc0d9b593e (__TEXT,__text) external _AAByteStreamPWrite
00007ffc0d98fa53 (__TEXT,__text) external _AAByteStreamProcess
00007ffc0d9b595a (__TEXT,__text) external _AAByteStreamRead
00007ffc0d9b5992 (__TEXT,__text) external _AAByteStreamSeek
00007ffc0d9b5a5d (__TEXT,__text) external _AAByteStreamTruncate
00007ffc0d9b5893 (__TEXT,__text) external _AAByteStreamWrite
00007ffc0d979963 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffc0d979062 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffc0d98c808 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffc0d9ba322 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffc0d9bac86 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffc0d982b8c (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffc0d94a6c4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffc0d94a73d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffc0d94a733 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffc0d94a72a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffc0d94a765 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffc0d94a75b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffc0d94a751 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffc0d94a747 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffc0d9b680b (__TEXT,__text) external _AACustomByteStreamOpen
00007ffc0d9b68a5 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffc0d9b6869 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffc0d9b6860 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffc0d9b687d (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffc0d9b6891 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffc0d9b6873 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffc0d9b689b (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffc0d9b6887 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffc0d9b4dc9 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffc0d9b6229 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffc0d9bd469 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffc0d9b2f95 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffc0d9ab3f5 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffc0d9ac184 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffc0d9ac173 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffc0d9ac020 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffc0d9ac0e0 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffc0d9ac127 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffc0d9ac086 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffc0d9ac8c4 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffc0d9ac8ba (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffc0d9ac2ce (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffc0d9ac2c6 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffc0d9ac7f2 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffc0d9ac47b (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffc0d9a83f1 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffc0d9a8c16 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffc0d9a8c05 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffc0d9a8ab2 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffc0d9a8b72 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffc0d9a8bb9 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffc0d9a8b18 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffc0d9a924f (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffc0d9a9245 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffc0d9a8d60 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffc0d9a8d58 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffc0d9a917d (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffc0d9a8e94 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffc0d9b2ce6 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffc0d9b2ba4 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffc0d9b2c44 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffc0d9b2c8b (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffc0d9b2c0a (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffc0d9b2f8b (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffc0d9b2f82 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffc0d99f7d0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffc0d99ced4 (__TEXT,__text) external _AAFieldKeySetClear
00007ffc0d99cdb3 (__TEXT,__text) external _AAFieldKeySetClone
00007ffc0d99cee2 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffc0d99ca00 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffc0d99ca66 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffc0d99cd8d (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffc0d99d4c3 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffc0d99d4bb (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffc0d99cf86 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffc0d99d208 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffc0d99d141 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffc0d99d3c4 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffc0d99d457 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffc0d99d4d2 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffc0d9b5a91 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffc0d9b5dde (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffc0d9be8f9 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffc0d9a6487 (__TEXT,__text) external _AAHeaderAssign
00007ffc0d9a6a68 (__TEXT,__text) external _AAHeaderClear
00007ffc0d9a63db (__TEXT,__text) external _AAHeaderClone
00007ffc0d9a62ee (__TEXT,__text) external _AAHeaderCreate
00007ffc0d9a6649 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffc0d9a6690 (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffc0d9a6395 (__TEXT,__text) external _AAHeaderDestroy
00007ffc0d9a7b86 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffc0d9a7b7c (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffc0d9a61de (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffc0d9a617f (__TEXT,__text) external _AAHeaderGetFieldCount
