00007ff8065efd1b (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8065efcb9 (__TEXT,__text) external _CreateLSTMData
00007ff8065efb6e (__TEXT,__text) external _CreateLSTMDataForScript
00007ff8065efec1 (__TEXT,__text) external _DeleteLSTMData
00007ff8065efef2 (__TEXT,__text) external _LSTMDataName
00007ff8065d279e (__TEXT,__text) external _T_CString_int64ToString
00007ff806569b4a (__TEXT,__text) external _T_CString_integerToString
00007ff8065d2852 (__TEXT,__text) external _T_CString_stringToInteger
00007ff8065cb118 (__TEXT,__text) external _T_CString_toLowerCase
00007ff8065876fe (__TEXT,__text) external _T_CString_toUpperCase
00007ff80662b077 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80662ae18 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff8065b1c93 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80662af51 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff80662b625 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff80662b5d3 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff80656ef9f (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff80662b5f5 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80664814e (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff80664eab6 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff80664eb5b (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff80664ffec (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80664e9c8 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80664ea61 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00007ff80664db41 (__TEXT,__text) external __Z17ulocimp_getRegionNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff80664da92 (__TEXT,__text) external __Z17ulocimp_getScriptNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff806650128 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff80664dc9d (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu10CharStringES6_S6_S6_PPKcR10UErrorCode
00007ff80664de48 (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu8ByteSinkES6_S6_S6_PPKcR10UErrorCode
00007ff80664dbef (__TEXT,__text) external __Z18ulocimp_getVariantNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff80664f45e (__TEXT,__text) external __Z19ulocimp_getBaseNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff80664f506 (__TEXT,__text) external __Z19ulocimp_getBaseNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff80664c6e7 (__TEXT,__text) external __Z19ulocimp_getKeywordsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEcRN3icu8ByteSinkEbR10UErrorCode
00007ff80664c636 (__TEXT,__text) external __Z19ulocimp_getKeywordsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEcbR10UErrorCode
00007ff80664d9e3 (__TEXT,__text) external __Z19ulocimp_getLanguageNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff80665008a (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80664f519 (__TEXT,__text) external __Z20ulocimp_canonicalizeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff80664f5c1 (__TEXT,__text) external __Z20ulocimp_canonicalizeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff80665037d (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806651f33 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff806651e8f (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
00007ff80665321f (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
00007ff8066532c6 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
00007ff80664ca65 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
00007ff80664cb0c (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff8065e8e3d (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
00007ff8065e8ed6 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff80664d825 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
00007ff80664d026 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
00007ff8065e89ee (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
00007ff8065e8a87 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcRN3icu8ByteSinkER10UErrorCode
00007ff80664facf (__TEXT,__text) external __Z28ulocimp_toBcpKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80664fbc9 (__TEXT,__text) external __Z29ulocimp_toBcpTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff80666bea5 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff80664fc9f (__TEXT,__text) external __Z31ulocimp_toLegacyKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff80678653b (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
