                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffc03d6a275 (__TEXT,__text) external _DRBufferAsResource
00007ffc03d6a482 (__TEXT,__text) external _DRBufferCopyDescriptor
00007ffc03d6a3af (__TEXT,__text) external _DRBufferCreateUnmanaged
00007ffc03d6a30c (__TEXT,__text) external _DRBufferDescriptorCreate
00007ffc03d6a35b (__TEXT,__text) external _DRBufferDescriptorGetCapacity
00007ffc03d6a385 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
00007ffc03d6a370 (__TEXT,__text) external _DRBufferDescriptorSetCapacity
00007ffc03d6a39a (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
00007ffc03d6a4e6 (__TEXT,__text) external _DRBufferGetBytesUsed
00007ffc03d6a510 (__TEXT,__text) external _DRBufferRead
00007ffc03d6a54f (__TEXT,__text) external _DRBufferReadUsing
00007ffc03d6a525 (__TEXT,__text) external _DRBufferReplace
00007ffc03d6a596 (__TEXT,__text) external _DRBufferReplaceUsing
00007ffc03d6a4fb (__TEXT,__text) external _DRBufferSetBytesUsed
00007ffc03d6a53a (__TEXT,__text) external _DRBufferUpdate
00007ffc03d6a84a (__TEXT,__text) external _DRClientConnectionConfigCreate
00007ffc03d6a8a5 (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
00007ffc03d6a890 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
00007ffc03d6a9d6 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
00007ffc03d6a9f1 (__TEXT,__text) external _DRClientConnectionReceive
00007ffc03d6aa0e (__TEXT,__text) external _DRClientConnectionTearDown
00007ffc03d6ac44 (__TEXT,__text) external _DRCommitQueueApplyAll
00007ffc03d6ab92 (__TEXT,__text) external _DRCommitQueueApplyThrough
00007ffc03d6acc2 (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
00007ffc03d6accb (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
00007ffc03d6aaee (__TEXT,__text) external _DRCommitQueueEnumerate
00007ffc03d6ac58 (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
00007ffc03d6ac6d (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
00007ffc03d6ac82 (__TEXT,__text) external _DRCommitQueueTakeFrom
