00000002004f6998 (__TEXT,__text) non-external _Done_iODBC
0000000200515a90 (__TEXT,__const) non-external _FunctionNumbers
0000000200514908 (__TEXT,__text) non-external _GetPrivateProfileString
00000002004f6814 (__TEXT,__text) non-external _Init_iODBC
000000020e307d3c (__DATA,__common) non-external _ODBCSharedTraceFlag
00000002004f4f54 (__TEXT,__text) external _SQLAllocConnect
00000002004f4e68 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000002004f6784 (__TEXT,__text) external _SQLAllocEnv
00000002004f65e0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000200500810 (__TEXT,__text) external _SQLAllocHandle
0000000200500928 (__TEXT,__text) non-external _SQLAllocHandleStd
000000020050056c (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000002004f9464 (__TEXT,__text) external _SQLAllocStmt
00000002004f8fa8 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000002004fe4c8 (__TEXT,__text) external _SQLBindCol
0000000200506510 (__TEXT,__text) external _SQLBindParam
00000002004fd934 (__TEXT,__text) external _SQLBindParameter
00000002004f1dc4 (__TEXT,__text) external _SQLBrowseConnect
00000002004f1f0c (__TEXT,__text) external _SQLBrowseConnectA
00000002004f2054 (__TEXT,__text) external _SQLBrowseConnectW
00000002004f1880 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020050601c (__TEXT,__text) external _SQLBulkOperations
00000002004fa39c (__TEXT,__text) external _SQLCancel
0000000200506554 (__TEXT,__text) external _SQLCloseCursor
0000000200505a60 (__TEXT,__text) external _SQLColAttribute
0000000200505c08 (__TEXT,__text) external _SQLColAttributeA
0000000200505db0 (__TEXT,__text) external _SQLColAttributeW
0000000200505374 (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000200500074 (__TEXT,__text) external _SQLColAttributes
000000020050021c (__TEXT,__text) external _SQLColAttributesA
00000002005003c4 (__TEXT,__text) external _SQLColAttributesW
00000002004ffbc0 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000002004eab4c (__TEXT,__text) external _SQLColumnPrivileges
00000002004ead30 (__TEXT,__text) external _SQLColumnPrivilegesA
00000002004eaf14 (__TEXT,__text) external _SQLColumnPrivilegesW
00000002004ea8b8 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000002004eb38c (__TEXT,__text) external _SQLColumns
00000002004eb570 (__TEXT,__text) external _SQLColumnsA
00000002004eb754 (__TEXT,__text) external _SQLColumnsW
00000002004eb0f8 (__TEXT,__text) non-external _SQLColumns_Internal
00000002004ef04c (__TEXT,__text) external _SQLConnect
00000002004ef7dc (__TEXT,__text) external _SQLConnectA
00000002004ef93c (__TEXT,__text) external _SQLConnectW
00000002004ef1ac (__TEXT,__text) non-external _SQLConnect_Internal
000000020051552c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002005051f8 (__TEXT,__text) external _SQLCopyDesc
00000002004faec8 (__TEXT,__text) external _SQLDataSources
00000002004fb010 (__TEXT,__text) external _SQLDataSourcesA
