                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000190c33ed4 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000190c30738 (__TEXT,__text) external _FSp_profile_init
0000000190c30740 (__TEXT,__text) external _FSp_profile_init_path
0000000190c33edc (__TEXT,__text) external _FSp_put_svc_key
0000000190c33ee4 (__TEXT,__text) external _FSp_read_service_key
00000001d67d6888 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001d67d68a0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001d67d6860 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001d67d6848 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001d67d6818 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001d67d6830 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001d67d6800 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001d67d6928 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001d67d68f8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001d67d68c0 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001d67d6908 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001d67d68e8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
0000000190c34018 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
0000000190c34010 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
0000000190c33f74 (__TEXT,__text) external _KClientAddCredentialsDeprecated
0000000190c33f0c (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000190c33f2c (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000190c34180 (__TEXT,__text) external _KClientAddServiceKey
0000000190c33eec (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
0000000190c341c8 (__TEXT,__text) external _KClientDecrypt
0000000190c34078 (__TEXT,__text) external _KClientDecryptCompat
0000000190c33f7c (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
0000000190c33f14 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
0000000190c33f34 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
0000000190c33f64 (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000190c34200 (__TEXT,__text) external _KClientDisposePrincipal
0000000190c340f8 (__TEXT,__text) external _KClientDisposeSession
0000000190c34030 (__TEXT,__text) external _KClientDisposeSessionCompat
0000000190c341c0 (__TEXT,__text) external _KClientEncrypt
0000000190c34070 (__TEXT,__text) external _KClientEncryptCompat
0000000190c34190 (__TEXT,__text) external _KClientGetAuthenticatorForService
0000000190c341e0 (__TEXT,__text) external _KClientGetCCacheReference
0000000190c34100 (__TEXT,__text) external _KClientGetClientPrincipal
0000000190c33f6c (__TEXT,__text) external _KClientGetCredentialsDeprecated
0000000190c341b0 (__TEXT,__text) external _KClientGetEncryptedServiceReply
0000000190c33f9c (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000190c34148 (__TEXT,__text) external _KClientGetExpirationTime
0000000190c34120 (__TEXT,__text) external _KClientGetLocalAddress
0000000190c33ef4 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000190c33f8c (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000190c33f1c (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
0000000190c33f24 (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000190c33f3c (__TEXT,__text) external _KClientGetNthServerMapDeprecated
0000000190c33f44 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000190c33f5c (__TEXT,__text) external _KClientGetNthSessionDeprecated
0000000190c33f84 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
0000000190c33f54 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
0000000190c341b8 (__TEXT,__text) external _KClientGetProtectedServiceReply
0000000190c33f04 (__TEXT,__text) external _KClientGetRealmDeprecated
0000000190c34130 (__TEXT,__text) external _KClientGetRemoteAddress
0000000190c34110 (__TEXT,__text) external _KClientGetServerPrincipal
0000000190c34178 (__TEXT,__text) external _KClientGetServiceKey
0000000190c34140 (__TEXT,__text) external _KClientGetSessionKey
0000000190c34068 (__TEXT,__text) external _KClientGetSessionKeyCompat
0000000190c340c0 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000190c34188 (__TEXT,__text) external _KClientGetTicketForService
0000000190c34038 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000190c34040 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
0000000190c33f94 (__TEXT,__text) external _KClientGetUserNameDeprecated
0000000190c340e0 (__TEXT,__text) external _KClientGetVersion
0000000190c34168 (__TEXT,__text) external _KClientKeyFileLogin
0000000190c34158 (__TEXT,__text) external _KClientLogin
0000000190c34048 (__TEXT,__text) external _KClientLoginCompat
0000000190c34170 (__TEXT,__text) external _KClientLogout
0000000190c34058 (__TEXT,__text) external _KClientLogoutCompat
0000000190c340c8 (__TEXT,__text) external _KClientMakeSendAuthCompat
0000000190c340e8 (__TEXT,__text) external _KClientNewClientSession
0000000190c340f0 (__TEXT,__text) external _KClientNewServerSession
0000000190c34028 (__TEXT,__text) external _KClientNewSessionCompat
0000000190c34160 (__TEXT,__text) external _KClientPasswordLogin
0000000190c34050 (__TEXT,__text) external _KClientPasswordLoginCompat
0000000190c341f0 (__TEXT,__text) external _KClientPrincipalToV4String
0000000190c341f8 (__TEXT,__text) external _KClientPrincipalToV4Triplet
0000000190c341d0 (__TEXT,__text) external _KClientProtectIntegrity
0000000190c34080 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000190c34108 (__TEXT,__text) external _KClientSetClientPrincipal
0000000190c34150 (__TEXT,__text) external _KClientSetKeyFile
0000000190c34128 (__TEXT,__text) external _KClientSetLocalAddress
0000000190c33efc (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000190c33f4c (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000190c34138 (__TEXT,__text) external _KClientSetRemoteAddress
0000000190c34118 (__TEXT,__text) external _KClientSetServerPrincipal
0000000190c34060 (__TEXT,__text) external _KClientStatusCompat
0000000190c341e8 (__TEXT,__text) external _KClientV4StringToPrincipal
0000000190c341a8 (__TEXT,__text) external _KClientVerifyAuthenticator
0000000190c34198 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
0000000190c341d8 (__TEXT,__text) external _KClientVerifyIntegrity
0000000190c34088 (__TEXT,__text) external _KClientVerifyIntegrityCompat
0000000190c341a0 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
0000000190c340d0 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
0000000190c340d8 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000190c34020 (__TEXT,__text) external _KClientVersionCompat
0000000190c2e090 (__TEXT,__text) external _KLAcquireInitialTickets
0000000190c2e2b4 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000190c2ea4c (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000190c2e1cc (__TEXT,__text) external _KLAcquireNewInitialTickets
