00007ffe08189289 (__TEXT,__text) non-external +[NSDateFormatter(StocksUI) su_localizedYearFormat]
00007ffe0818b099 (__TEXT,__text) non-external +[SUAdParameters setStocksAdEnabled:]
00007ffe08189177 (__TEXT,__text) non-external +[SULaunchPad launchSettings]
00007ffe08189200 (__TEXT,__text) non-external +[SULaunchPad openStocksSettings]
00007ffe08189072 (__TEXT,__text) non-external +[UIVisualEffect(StocksUI) su_visualEffectsForBarWithBackgroundColor:]
00007ffe0818ae06 (__TEXT,__text) non-external -[NSAttributedString(StocksUICoreText) su_containsExcessiveLineHeightCharacter]
00007ffe0818ae80 (__TEXT,__text) non-external -[NSAttributedString(StocksUICoreText) su_languageAwareOutsetsAtScale:]
00007ffe0818acf5 (__TEXT,__text) non-external -[NSObject(Bridge) su_setAccessibilityActivateBlock:]
00007ffe0818ad07 (__TEXT,__text) non-external -[NSObject(Bridge) su_setAccessibilityAdditionalTraitsBlock:]
00007ffe08189153 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_finishedTest:]
00007ffe08189165 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_launchTestName]
00007ffe08189141 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_performBlockAfterCATransactionCommits:]
00007ffe0818ad59 (__TEXT,__text) non-external -[UIFont(StocksUICoreText) su_languageAwareOutsetsAtScale:]
00007ffe08188f5d (__TEXT,__text) non-external -[UIScrollView(StocksUI) su_performScrollTestWithLength:completion:]
00007ffe08188f40 (__TEXT,__text) non-external -[UIViewController(StocksUI) su_isAppeared]
00007ffe08507658 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ffe08507674 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffe08507688 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffe085076a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00007ffe085076bc (__TEXT,__gcc_except_tab) non-external GCC_except_table4
                 (undefined) external _AXTechnologyAutomation (from Accessibility)
                 (undefined) external _AXTechnologyHoverText (from Accessibility)
                 (undefined) external _AXTechnologySwitchControl (from Accessibility)
                 (undefined) external _AXTechnologyVoiceOver (from Accessibility)
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxX (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectInset (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIntersectsRect (from CoreGraphics)
                 (undefined) external _CGRectIsEmpty (from CoreGraphics)
                 (undefined) external _CGRectUnion (from CoreGraphics)
                 (undefined) external _CPDateFormatStringForFormatType (from AppSupport)
                 (undefined) external _CPDatePickerYearFormat (from AppSupport)
                 (undefined) external _CTFontCopySystemUIFontExcessiveLineHeightCharacterSet (from CoreText)
                 (undefined) external _CTFontGetLanguageAwareOutsets (from CoreText)
                 (undefined) external _FCEntitlementPaidBundleViaOfferId (from NewsCore)
                 (undefined) external _FCLengthOfCloudKitID (from NewsCore)
                 (undefined) external _FCOperationPurposeStockSymbolFeed (from NewsCore)
                 (undefined) external _FCOperationPurposeTodayFeed (from NewsCore)
                 (undefined) external _FCStoreFrontID_AU (from NewsCore)
                 (undefined) external _FCStoreFrontID_CA (from NewsCore)
                 (undefined) external _FCStoreFrontID_UK (from NewsCore)
                 (undefined) external _FCStoreFrontID_US (from NewsCore)
                 (undefined) external _NSBaselineOffsetAttributeName (from AppKit)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
                 (undefined) external _NSKernAttributeName (from AppKit)
                 (undefined) external _NSLinkAttributeName (from AppKit)
                 (undefined) external _NSLocaleCountryCode (from CoreFoundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleLanguageCode (from CoreFoundation)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSTrackingAttributeName (from AppKit)
                 (undefined) external _NSUnderlineStyleAttributeName (from AppKit)
                 (undefined) external _NSUserActivityTypeBrowsingWeb (from Foundation)
                 (undefined) external _NewsCoreUserDefaults (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_ADAttribution (from AdPlatforms)
                 (undefined) external _OBJC_CLASS_$_ADTrackingTransparency (from LimitAdTracking)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItem (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSUIBubbleTipViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AXRequest (from Accessibility)
                 (undefined) external _OBJC_CLASS_$_CALayer (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CAMediaTimingFunction (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CAShapeLayer (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CATransaction (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CSSearchableItemAttributeSet (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventEditViewController (from EventKitUI)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_FCAVAsset (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCAppleAccount (from NewsCore)
