                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191d58e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000191d555dc (__TEXT,__text) external _FSp_profile_init
0000000191d555e4 (__TEXT,__text) external _FSp_profile_init_path
0000000191d58e6c (__TEXT,__text) external _FSp_put_svc_key
0000000191d58e74 (__TEXT,__text) external _FSp_read_service_key
00000001e2e4b468 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001e2e4b480 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001e2e4b440 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001e2e4b428 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001e2e4b3f8 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001e2e4b410 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001e2e4b3e0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001e2e4b508 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001e2e4b4d8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001e2e4b4a0 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001e2e4b4e8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001e2e4b4c8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
0000000191d58fa8 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
0000000191d58fa0 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
0000000191d58f04 (__TEXT,__text) external _KClientAddCredentialsDeprecated
0000000191d58e9c (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000191d58ebc (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000191d59110 (__TEXT,__text) external _KClientAddServiceKey
0000000191d58e7c (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
0000000191d59158 (__TEXT,__text) external _KClientDecrypt
0000000191d59008 (__TEXT,__text) external _KClientDecryptCompat
0000000191d58f0c (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
0000000191d58ea4 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
0000000191d58ec4 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
0000000191d58ef4 (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000191d59190 (__TEXT,__text) external _KClientDisposePrincipal
0000000191d59088 (__TEXT,__text) external _KClientDisposeSession
0000000191d58fc0 (__TEXT,__text) external _KClientDisposeSessionCompat
0000000191d59150 (__TEXT,__text) external _KClientEncrypt
0000000191d59000 (__TEXT,__text) external _KClientEncryptCompat
0000000191d59120 (__TEXT,__text) external _KClientGetAuthenticatorForService
0000000191d59170 (__TEXT,__text) external _KClientGetCCacheReference
0000000191d59090 (__TEXT,__text) external _KClientGetClientPrincipal
0000000191d58efc (__TEXT,__text) external _KClientGetCredentialsDeprecated
0000000191d59140 (__TEXT,__text) external _KClientGetEncryptedServiceReply
0000000191d58f2c (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000191d590d8 (__TEXT,__text) external _KClientGetExpirationTime
0000000191d590b0 (__TEXT,__text) external _KClientGetLocalAddress
0000000191d58e84 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000191d58f1c (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000191d58eac (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
0000000191d58eb4 (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000191d58ecc (__TEXT,__text) external _KClientGetNthServerMapDeprecated
0000000191d58ed4 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000191d58eec (__TEXT,__text) external _KClientGetNthSessionDeprecated
0000000191d58f14 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
0000000191d58ee4 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
0000000191d59148 (__TEXT,__text) external _KClientGetProtectedServiceReply
0000000191d58e94 (__TEXT,__text) external _KClientGetRealmDeprecated
0000000191d590c0 (__TEXT,__text) external _KClientGetRemoteAddress
0000000191d590a0 (__TEXT,__text) external _KClientGetServerPrincipal
0000000191d59108 (__TEXT,__text) external _KClientGetServiceKey
0000000191d590d0 (__TEXT,__text) external _KClientGetSessionKey
0000000191d58ff8 (__TEXT,__text) external _KClientGetSessionKeyCompat
0000000191d59050 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000191d59118 (__TEXT,__text) external _KClientGetTicketForService
0000000191d58fc8 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000191d58fd0 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
0000000191d58f24 (__TEXT,__text) external _KClientGetUserNameDeprecated
0000000191d59070 (__TEXT,__text) external _KClientGetVersion
0000000191d590f8 (__TEXT,__text) external _KClientKeyFileLogin
0000000191d590e8 (__TEXT,__text) external _KClientLogin
0000000191d58fd8 (__TEXT,__text) external _KClientLoginCompat
0000000191d59100 (__TEXT,__text) external _KClientLogout
0000000191d58fe8 (__TEXT,__text) external _KClientLogoutCompat
0000000191d59058 (__TEXT,__text) external _KClientMakeSendAuthCompat
0000000191d59078 (__TEXT,__text) external _KClientNewClientSession
0000000191d59080 (__TEXT,__text) external _KClientNewServerSession
0000000191d58fb8 (__TEXT,__text) external _KClientNewSessionCompat
0000000191d590f0 (__TEXT,__text) external _KClientPasswordLogin
0000000191d58fe0 (__TEXT,__text) external _KClientPasswordLoginCompat
0000000191d59180 (__TEXT,__text) external _KClientPrincipalToV4String
0000000191d59188 (__TEXT,__text) external _KClientPrincipalToV4Triplet
0000000191d59160 (__TEXT,__text) external _KClientProtectIntegrity
0000000191d59010 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000191d59098 (__TEXT,__text) external _KClientSetClientPrincipal
0000000191d590e0 (__TEXT,__text) external _KClientSetKeyFile
0000000191d590b8 (__TEXT,__text) external _KClientSetLocalAddress
0000000191d58e8c (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000191d58edc (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000191d590c8 (__TEXT,__text) external _KClientSetRemoteAddress
0000000191d590a8 (__TEXT,__text) external _KClientSetServerPrincipal
0000000191d58ff0 (__TEXT,__text) external _KClientStatusCompat
0000000191d59178 (__TEXT,__text) external _KClientV4StringToPrincipal
0000000191d59138 (__TEXT,__text) external _KClientVerifyAuthenticator
0000000191d59128 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
0000000191d59168 (__TEXT,__text) external _KClientVerifyIntegrity
0000000191d59018 (__TEXT,__text) external _KClientVerifyIntegrityCompat
0000000191d59130 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
0000000191d59060 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
0000000191d59068 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000191d58fb0 (__TEXT,__text) external _KClientVersionCompat
0000000191d52efc (__TEXT,__text) external _KLAcquireInitialTickets
0000000191d53120 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000191d538bc (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000191d53038 (__TEXT,__text) external _KLAcquireNewInitialTickets
0000000191d538dc (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000191d5323c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
0000000191d52fb0 (__TEXT,__text) external _KLAcquireNewTickets
0000000191d531c8 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000191d52e8c (__TEXT,__text) external _KLAcquireTickets
0000000191d530ac (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000191d533c0 (__TEXT,__text) external _KLCacheHasValidTickets
0000000191d540c8 (__TEXT,__text) external _KLCancelAllDialogs
0000000191d538b4 (__TEXT,__text) external _KLChangePassword
0000000191d540d0 (__TEXT,__text) external _KLChangePasswordWithPasswords
0000000191d54650 (__TEXT,__text) external _KLComparePrincipal
0000000191d541f0 (__TEXT,__text) external _KLCountKerberosRealms
0000000191d5471c (__TEXT,__text) external _KLCreateLoginOptions
0000000191d5433c (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
0000000191d54388 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
0000000191d5426c (__TEXT,__text) external _KLCreatePrincipalFromString
