00007ff8400a4bd0 (__DATA,__data) external _NDR_record
00007ff800af25bf (__TEXT,__text) non-external __Xexception_raise
00007ff800af2667 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800af2759 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800adf5f0 (__TEXT,__text) external _____sigwait_nocancel
00007ff800b08928 (__TEXT,__const) external ____kernelVersionNumber
00007ff800b088f0 (__TEXT,__const) external ____kernelVersionString
00007ff800adf608 (__TEXT,__text) external ___abort_with_payload
00007ff800adf620 (__TEXT,__text) external ___accept
00007ff800adf638 (__TEXT,__text) external ___accept_nocancel
00007ff800adf650 (__TEXT,__text) external ___access_extended
00007ff800adf668 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800adf680 (__TEXT,__text) external ___bind
00007ff800adf698 (__TEXT,__text) external ___bsdthread_create
00007ff800adf6b0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800adf6c8 (__TEXT,__text) external ___bsdthread_register
00007ff800adf6e0 (__TEXT,__text) external ___bsdthread_terminate
00007ff800af1904 (__TEXT,__text) external ___carbon_delete
00007ff800adf6f8 (__TEXT,__text) external ___channel_get_info
00007ff800adf710 (__TEXT,__text) external ___channel_get_opt
00007ff800adf728 (__TEXT,__text) external ___channel_open
00007ff800adf740 (__TEXT,__text) external ___channel_set_opt
00007ff800adf758 (__TEXT,__text) external ___channel_sync
00007ff800adf770 (__TEXT,__text) external ___chmod
00007ff800adf788 (__TEXT,__text) external ___chmod_extended
00007ff800adf7a0 (__TEXT,__text) external ___close_nocancel
00007ff800adf7b8 (__TEXT,__text) external ___coalition
00007ff800adf7d0 (__TEXT,__text) external ___coalition_info
00007ff800adf7e8 (__TEXT,__text) external ___coalition_ledger
00007ff800ae5362 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800ae5369 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800adf800 (__TEXT,__text) external ___connect
00007ff800adf818 (__TEXT,__text) external ___connect_nocancel
00007ff800adf830 (__TEXT,__text) external ___copyfile
00007ff800adf848 (__TEXT,__text) external ___crossarch_trap
00007ff800adf860 (__TEXT,__text) external ___csrctl
00007ff800ae9ef4 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800adf878 (__TEXT,__text) external ___debug_syscall_reject
00007ff800adf890 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800adf8a8 (__TEXT,__text) external ___delete
00007ff800adf8c0 (__TEXT,__text) external ___disable_threadsignal
00007ff800ae5a73 (__TEXT,__text) external ___error
00007ff800adf8d8 (__TEXT,__text) external ___execve
00007ff800adf8f0 (__TEXT,__text) external ___exit
00007ff800adf908 (__TEXT,__text) external ___fchmod
00007ff800adf920 (__TEXT,__text) external ___fchmod_extended
00007ff800adf938 (__TEXT,__text) external ___fcntl
00007ff800adf950 (__TEXT,__text) external ___fcntl_nocancel
00007ff800adf968 (__TEXT,__text) external ___fork
00007ff800adf9a0 (__TEXT,__text) external ___fs_snapshot
00007ff800adf9b8 (__TEXT,__text) external ___fstat64_extended
00007ff800adf9d0 (__TEXT,__text) external ___fstat_extended
00007ff800adf9e8 (__TEXT,__text) external ___fsync_nocancel
00007ff800aef521 (__TEXT,__text) external ___get_remove_counter
00007ff800adfa00 (__TEXT,__text) external ___getattrlist
00007ff800adfa18 (__TEXT,__text) external ___getdirentries64
00007ff800adfa30 (__TEXT,__text) external ___gethostuuid
00007ff800adfa48 (__TEXT,__text) external ___getlogin
00007ff800adfa60 (__TEXT,__text) external ___getpeername
00007ff800adfa78 (__TEXT,__text) external ___getpid
00007ff800adfaac (__TEXT,__text) external ___getrlimit
00007ff800adfac4 (__TEXT,__text) external ___getsgroups
00007ff800adfadc (__TEXT,__text) external ___getsockname
00007ff800adfaf4 (__TEXT,__text) external ___gettid
00007ff800adfb21 (__TEXT,__text) external ___gettimeofday
00007ff800adfb0c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800adfb4c (__TEXT,__text) external ___getwgroups
00007ff800adfb64 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800adfb7c (__TEXT,__text) external ___guarded_open_np
00007ff800adfb94 (__TEXT,__text) external ___identitysvc
00007ff800aef52c (__TEXT,__text) external ___inc_remove_counter
00007ff800adfbac (__TEXT,__text) external ___initgroups
00007ff800adfbc4 (__TEXT,__text) external ___ioctl
00007ff800adfbdc (__TEXT,__text) external ___iopolicysys
00007ff800adfbf4 (__TEXT,__text) external ___kdebug_trace
00007ff800adfc0c (__TEXT,__text) external ___kdebug_trace64
00007ff800adfc24 (__TEXT,__text) external ___kdebug_trace_string
00007ff800adfc3c (__TEXT,__text) external ___kdebug_typefilter
00007ff800b08998 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800b08960 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800adfc54 (__TEXT,__text) external ___kill
00007ff800adfc6c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800adfc84 (__TEXT,__text) external ___lchown
00007ff800ae220a (__TEXT,__text) external ___libkernel_init
00007ff800ae223d (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800ae223c (__TEXT,__text) external ___libkernel_init_late
00007ff800ae2093 (__TEXT,__text) external ___libkernel_platform_init
00007ff800ae20ba (__TEXT,__text) external ___libkernel_voucher_init
00007ff800adfc9c (__TEXT,__text) external ___listen
00007ff800adfcb4 (__TEXT,__text) external ___log_data
00007ff800adfccc (__TEXT,__text) external ___lseek
00007ff800adfce4 (__TEXT,__text) external ___lstat64_extended
00007ff800adfcfc (__TEXT,__text) external ___lstat_extended
00007ff800adfd14 (__TEXT,__text) external ___mac_execve
00007ff800adfd2c (__TEXT,__text) external ___mac_get_fd
00007ff800adfd44 (__TEXT,__text) external ___mac_get_file
00007ff800adfd5c (__TEXT,__text) external ___mac_get_link
00007ff800adfd74 (__TEXT,__text) external ___mac_get_mount
00007ff800adfd8c (__TEXT,__text) external ___mac_get_pid
00007ff800adfda4 (__TEXT,__text) external ___mac_get_proc
00007ff800adfdbc (__TEXT,__text) external ___mac_getfsstat
00007ff800adfdd4 (__TEXT,__text) external ___mac_mount
00007ff800adfdec (__TEXT,__text) external ___mac_set_fd
00007ff800adfe04 (__TEXT,__text) external ___mac_set_file
00007ff800adfe1c (__TEXT,__text) external ___mac_set_link
00007ff800adfe34 (__TEXT,__text) external ___mac_set_proc
00007ff800adfe4c (__TEXT,__text) external ___mac_syscall
00007ff800adfe64 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800adfe7c (__TEXT,__text) external ___mach_eventlink_signal
00007ff800adfe94 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800adfeac (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800adfec4 (__TEXT,__text) external ___map_with_linking_np
00007ff800adfedc (__TEXT,__text) external ___memorystatus_available_memory
00007ff800adfef4 (__TEXT,__text) external ___microstackshot
00007ff800adff0c (__TEXT,__text) external ___mkdir_extended
00007ff800adff24 (__TEXT,__text) external ___mkfifo_extended
00007ff800adff3c (__TEXT,__text) external ___mmap
00007ff800adff54 (__TEXT,__text) external ___mprotect
00007ff800adff6c (__TEXT,__text) external ___msgctl
00007ff800adff84 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800adff9c (__TEXT,__text) external ___msgsnd_nocancel
00007ff800adffb4 (__TEXT,__text) external ___msgsys
00007ff800adffcc (__TEXT,__text) external ___msync
00007ff800adffe4 (__TEXT,__text) external ___msync_nocancel
00007ff800adfffc (__TEXT,__text) external ___munmap
00007ff800ae0014 (__TEXT,__text) external ___nexus_create
00007ff800ae002c (__TEXT,__text) external ___nexus_deregister
00007ff800ae0044 (__TEXT,__text) external ___nexus_destroy
00007ff800ae005c (__TEXT,__text) external ___nexus_get_opt
00007ff800ae0074 (__TEXT,__text) external ___nexus_open
00007ff800ae008c (__TEXT,__text) external ___nexus_register
00007ff800ae00a4 (__TEXT,__text) external ___nexus_set_opt
00007ff800ae00bc (__TEXT,__text) external ___open
00007ff800ae00d4 (__TEXT,__text) external ___open_dprotected_np
00007ff800ae00ec (__TEXT,__text) external ___open_extended
00007ff800ae0104 (__TEXT,__text) external ___open_nocancel
00007ff800ae011c (__TEXT,__text) external ___openat
00007ff800ae0134 (__TEXT,__text) external ___openat_dprotected_np
00007ff800ae014c (__TEXT,__text) external ___openat_nocancel
00007ff8400a5300 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
