00007ff80b594510 (__TEXT,__const) non-external _A1_Table
00007ff80ad98e00 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff80ad98d00 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff80aa77550 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff80aa80b60 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff840c67350 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff840c673d0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff80ad9a6a0 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff80ad9a640 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff80ad9a700 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff80ad84010 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff80ad83ff0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff80ad83fd0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff80ad83fb0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff80ad84060 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff80ad84030 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff80aa65cb0 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff80b5945b0 (__TEXT,__const) non-external _Ainv
00007ff80ad8b850 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff80b597654 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff80b59764c (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840c6a6c0 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff80aa68820 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff80aa688f0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff80b594560 (__TEXT,__const) non-external _B
00007ff80aae13f0 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80ab872f0 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff80ab864a0 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff80ab86fa0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff843d5b970 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff80ab86150 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff843d5b968 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff80aa65ce0 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff843934e28 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff843934d48 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff843934d40 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff843934e30 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff843934e38 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff843934d60 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff843934e20 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff840c6a700 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff80aa64bc0 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff843934d50 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff843934d58 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff843d5c630 (__DATA,__common) non-external (was a private external) _CGInterfaces_loaded
00007ff80acdf450 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff843934d80 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff843934df8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff843934dd8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff843934d78 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff843934d70 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff843934de0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff843934da0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
00007ff843934df0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff843934da8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff843934dc0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff843934db0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff843934dd0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff843934d98 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff843934e00 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff843934e10 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff843934e18 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff843934d90 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff843934d88 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff843934de8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff843934dc8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff843934db8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007ff843934e08 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007ff80aa88780 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007ff843d5b2b0 (__DATA,__bss) non-external _CacheTable_GetCache.gCacheTable
00007ff843d5b2b8 (__DATA,__bss) non-external _CacheTable_GetCache.predicate
00007ff80aa75520 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007ff80b5d5e90 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007ff80aa75810 (__TEXT,__text) non-external _CacheTable_key_hash
00007ff80aa772d0 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007ff80b5082b0 (__TEXT,__text) non-external _CacheTable_key_release
00007ff80aa77280 (__TEXT,__text) non-external _CacheTable_key_retain
00007ff80aa75770 (__TEXT,__text) non-external _CacheTable_setup
00007ff80aaa45e0 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007ff80aa9bfc0 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007ff80b5082c0 (__TEXT,__text) non-external _CacheTable_value_release
00007ff843d5b2a0 (__DATA,__bss) non-external _CalculateNumThreads.cpuCount
00007ff80ad98e90 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007ff80aa6e680 (__TEXT,__text) non-external _ChunkyToPlanar8
00007ff80ad99180 (__TEXT,__text) non-external _ChunkyToPlanarF
00007ff80ad887e0 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
