                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectGetRetainCount (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00007ffa42d74958 (__DATA,__const) external _MTRArrayValueType
00007ffa42d748d0 (__DATA,__const) external _MTRAttributePathKey
00007ffa42d74920 (__DATA,__const) external _MTRBooleanValueType
00007ffa42d748d8 (__DATA,__const) external _MTRCommandPathKey
00007ffa42d74908 (__DATA,__const) external _MTRContextTagKey
00007ffa42d748e8 (__DATA,__const) external _MTRDataKey
00007ffa42d74940 (__DATA,__const) external _MTRDoubleValueType
00007ffa42db7d58 (__DATA,__const) external _MTRErrorDomain
00007ffa42d748f0 (__DATA,__const) external _MTRErrorKey
00007ffa42d74960 (__DATA,__const) external _MTREventNumberKey
00007ffa42d748e0 (__DATA,__const) external _MTREventPathKey
00007ffa42d74968 (__DATA,__const) external _MTREventPriorityKey
00007ffa42d74978 (__DATA,__const) external _MTREventSystemUpTimeKey
00007ffa42d74970 (__DATA,__const) external _MTREventTimeTypeKey
00007ffa42d74980 (__DATA,__const) external _MTREventTimestampDateKey
00007ffa42d74938 (__DATA,__const) external _MTRFloatValueType
00007ffa42db7d60 (__DATA,__const) external _MTRInteractionErrorDomain
00007ffa42d74948 (__DATA,__const) external _MTRNullValueType
00007ffa42d74930 (__DATA,__const) external _MTROctetStringValueType
00007ffa1dc845d0 (__TEXT,__text) external _MTRSetLogCallback
00007ffa42d74910 (__DATA,__const) external _MTRSignedIntegerValueType
00007ffa1e01c498 (__TEXT,__const) external _MTRSizeThreadExtendedPANID
00007ffa1e01c4a0 (__TEXT,__const) external _MTRSizeThreadExtendedPanId
00007ffa1e01c4a8 (__TEXT,__const) external _MTRSizeThreadMasterKey
00007ffa1e01c490 (__TEXT,__const) external _MTRSizeThreadNetworkName
00007ffa1e01c4b8 (__TEXT,__const) external _MTRSizeThreadPANID
00007ffa1e01c4b0 (__TEXT,__const) external _MTRSizeThreadPSKc
00007ffa42d74950 (__DATA,__const) external _MTRStructureValueType
00007ffa42d748f8 (__DATA,__const) external _MTRTypeKey
00007ffa42d74928 (__DATA,__const) external _MTRUTF8StringValueType
00007ffa42d74918 (__DATA,__const) external _MTRUnsignedIntegerValueType
00007ffa42d74900 (__DATA,__const) external _MTRValueKey
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
00007ffa42e2e3b0 (__DATA,__objc_data) external _OBJC_CLASS_$_AttestationInfo
                 (undefined) external _OBJC_CLASS_$_CBCentralManager (from CoreBluetooth)
                 (undefined) external _OBJC_CLASS_$_CBUUID (from CoreBluetooth)
00007ffa42e2c510 (__DATA,__objc_data) external _OBJC_CLASS_$_CSRInfo
00007ffa42e28de8 (__DATA,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntry
00007ffa42e28eb0 (__DATA,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntryChangedEvent
00007ffa42e28d70 (__DATA,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntryStruct
00007ffa42e28f00 (__DATA,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlExtensionChangedEvent
