00007ff800444910 (__TEXT,__text) external _NSAddImage
00007ff8004448da (__TEXT,__text) external _NSAddLibrary
00007ff8004448f5 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff80044444d (__TEXT,__text) external _NSAddressOfSymbol
00007ff8004446c9 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff8004443ca (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff8004446e7 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff80044440b (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff8004448c6 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff800444752 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff8004447c3 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff8004447fc (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff8004447de (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff80044478b (__TEXT,__text) external _NSLibraryNameForModule
00007ff8004448a2 (__TEXT,__text) external _NSLinkEditError
00007ff8004443eb (__TEXT,__text) external _NSLinkModule
00007ff80044481a (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff800444835 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff800444853 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff80044442f (__TEXT,__text) external _NSLookupSymbolInModule
00007ff800444887 (__TEXT,__text) external _NSModuleForSymbol
00007ff800444770 (__TEXT,__text) external _NSNameOfModule
00007ff800444873 (__TEXT,__text) external _NSNameOfSymbol
00007ff800444702 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff800444716 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff80044472a (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff80044473e (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff8004447a6 (__TEXT,__text) external _NSUnLinkModule
00007ff800443532 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff80044377e (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff843810380 (__DATA_DIRTY,__common) external _NXArgc
00007ff843810388 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff800443364 (__TEXT,__text) external __NSGetExecutablePath
00007ff80045b6b2 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00007ff800455463 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff800461c95 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
00007ff800462026 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
00007ff8004445e2 (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00007ff800444e99 (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
00007ff840032470 (__DATA_CONST,__const) non-external __ZL8sHelpers
00007ff800444484 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff8004444e4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff8004444a8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcP13__va_list_tag
00007ff800443d9c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff800442f08 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00007ff80044308e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff800455370 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff8004552e6 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff8004552d2 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff80045544e (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff800445cff (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff800453f48 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff80045432c (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff800455a4a (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff80045653e (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff80045708a (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800455b04 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
00007ff8004557b2 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
00007ff8004558ee (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
00007ff800455e90 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800456162 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff800455670 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyyyPKc
00007ff8004555ac (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjPiy
00007ff80045555a (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
00007ff8004554dc (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_baseC2Ejjjm
00007ff800463b7e (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.1
00007ff800463ba1 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.2
00007ff8004617a6 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base10disconnectEv
00007ff8004614e4 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base11handleEventEv
00007ff800461496 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base17teardownMachPortsEv
00007ff8004618c6 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base23replyToMonitoredProcessER17mach_msg_header_t
00007ff80046183a (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base7releaseEv
00007ff8004612dc (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi
00007ff800464bd2 (__TEXT,__text) non-external __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi.cold.1
00007ff80046173a (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseD2Ev
00007ff80044a2b0 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process19ProcessUpdateRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
00007ff80044a552 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process21ProcessNotifierRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
00007ff800458dc0 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIyNS_4UUIDENSt3__14lessIyEEE6insertEONS2_4pairIKyS1_EE
00007ff80044bb18 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EEE6insertEOS5_
00007ff800447d0c (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertERKS2_
00007ff800445c36 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIiNSt3__14lessIiEEE6insertERKi
00007ff80045b39c (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17vm_allocate_bytesEy
00007ff800463f58 (__TEXT,__text) non-external __ZN3lsl13MemoryManager17vm_allocate_bytesEy.cold.1
00007ff80045522a (__TEXT,__text) non-external (was a private external) __ZN3lsl14readPVLEUInt64ERNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff80045b5ae (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata10freeObjectEv
00007ff80045b5a4 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata13getForPointerEPv
00007ff80045b690 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata17decrementRefCountEv
00007ff80045b686 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata17incrementRefCountEv
00007ff80045b586 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata7setTypeENS0_4TypeE
00007ff8004653b0 (__TEXT,__const) non-external (was a private external) __ZN3lsl18AllocationMetadata8granulesE
00007ff80045b4f6 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadataC2EPNS_9AllocatorEy
00007ff80045b268 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator15allocate_bufferEyyy
00007ff800463f12 (__TEXT,__text) non-external __ZN3lsl18EphemeralAllocator15allocate_bufferEyyy.cold.1
00007ff800463f35 (__TEXT,__text) non-external __ZN3lsl18EphemeralAllocator15allocate_bufferEyyy.cold.2
00007ff80045b48a (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator17deallocate_bufferENS_13MemoryManager6BufferE
00007ff80045b0f0 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator5resetEv
00007ff80045b4f0 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator7destroyEv
00007ff80045b050 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC1Ev
00007ff80045b05a (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC2EPvy
00007ff80045af24 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC2Ev
00007ff80045b246 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorD1Ev
00007ff80045c2ca (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator12reserveRangeERNS_5BTreeINS_13MemoryManager6BufferENS0_17RegionSizeCompareELb0EE14const_iteratorES3_
00007ff8004640ff (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator12reserveRangeERNS_5BTreeINS_13MemoryManager6BufferENS0_17RegionSizeCompareELb0EE14const_iteratorES3_.cold.1
00007ff80045bb04 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator13memoryManagerEv
00007ff80045cdcc (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator14reloadMagazineEv
00007ff800464168 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator14reloadMagazineEv.cold.1
00007ff80046418b (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator14reloadMagazineEv.cold.2
00007ff80045ca3a (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator15allocate_bufferEyyy
00007ff80045e4b8 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE15allocate_bufferEyyy
00007ff800464217 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE15allocate_bufferEyyy.cold.1
00007ff80045e518 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE17deallocate_bufferENS_13MemoryManager6BufferE
00007ff80045bd7c (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE6refillENS_13MemoryManager6BufferE
00007ff800464073 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE6refillENS_13MemoryManager6BufferE.cold.1
00007ff800464096 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE6refillENS_13MemoryManager6BufferE.cold.2
00007ff80045e4a2 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE7destroyEv
00007ff80045d87c (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17deallocate_bufferENS_13MemoryManager6BufferE
00007ff80045d1c0 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator19addToFreeBlockTreesENS_13MemoryManager6BufferE
00007ff80045d12e (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator20processDeallocationsEPNS_13MemoryManager6BufferES3_
00007ff80045dae6 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator7destroyEv
00007ff80045bb12 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocatorC2ERKNS_13MemoryManager6BufferEOS1_
00007ff800464050 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocatorC2ERKNS_13MemoryManager6BufferEOS1_.cold.1
00007ff80045aeba (__TEXT,__text) non-external (was a private external) __ZN3lsl4Lock4lockEv
00007ff80045aef0 (__TEXT,__text) non-external (was a private external) __ZN3lsl4Lock6unlockEv
00007ff80045f304 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv
00007ff80046446a (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv.cold.1
00007ff80046448d (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv.cold.2
00007ff8004644b0 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator19prepareForInsertionEv.cold.3
00007ff80045fba4 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv
00007ff800464631 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.1
00007ff800464654 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.2
00007ff800464677 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.3
00007ff80046469a (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.4
00007ff8004646bd (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.5
00007ff8004646e0 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.6
00007ff800464703 (__TEXT,__text) non-external __ZN3lsl5BTreeINS_13MemoryManager6BufferENS_19PersistentAllocator17RegionSizeCompareELb0EE14const_iterator20rebalanceFromErasureEv.cold.7
