00000001838ba708 (__TEXT,__text) external _CreateLSTMBreakEngine
00000001838ba6cc (__TEXT,__text) external _CreateLSTMData
00000001838ba578 (__TEXT,__text) external _CreateLSTMDataForScript
00000001838ba8bc (__TEXT,__text) external _DeleteLSTMData
00000001838ba908 (__TEXT,__text) external _LSTMDataName
0000000183898c80 (__TEXT,__text) external _T_CString_int64ToString
0000000183898ba8 (__TEXT,__text) external _T_CString_integerToString
0000000183898d5c (__TEXT,__text) external _T_CString_stringToInteger
0000000183898b50 (__TEXT,__text) external _T_CString_toLowerCase
0000000183898b7c (__TEXT,__text) external _T_CString_toUpperCase
0000000183905670 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00000001839053dc (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00000001839052b4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
000000018390551c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000183905be0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000183905b88 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00000001839053d8 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000183905bac (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00000001839229fc (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000183954438 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
0000000183accb48 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000183acd200 (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
000000018388faf8 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
