00000001d548ffd0 (__DATA,__data) external _NDR_record
0000000180416b54 (__TEXT,__text) non-external __Xexception_raise
0000000180416a40 (__TEXT,__text) non-external __Xexception_raise_state
00000001804168dc (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180405738 (__TEXT,__text) external _____sigwait_nocancel
000000018042b978 (__TEXT,__const) external ____kernelVersionNumber
000000018042b940 (__TEXT,__const) external ____kernelVersionString
0000000180405764 (__TEXT,__text) external ___abort_with_payload
00000001804011f8 (__TEXT,__text) external ___accept
0000000180405790 (__TEXT,__text) external ___accept_nocancel
00000001804057bc (__TEXT,__text) external ___access_extended
00000001804057e8 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180400648 (__TEXT,__text) external ___bind
00000001803fc670 (__TEXT,__text) external ___bsdthread_create
00000001803fa60c (__TEXT,__text) external ___bsdthread_ctl
00000001803fe758 (__TEXT,__text) external ___bsdthread_register
00000001803fb700 (__TEXT,__text) external ___bsdthread_terminate
0000000180404f8c (__TEXT,__text) external ___carbon_delete
0000000180405814 (__TEXT,__text) external ___channel_get_info
0000000180405840 (__TEXT,__text) external ___channel_get_opt
000000018040586c (__TEXT,__text) external ___channel_open
0000000180405898 (__TEXT,__text) external ___channel_set_opt
00000001804058c4 (__TEXT,__text) external ___channel_sync
00000001803fc5b8 (__TEXT,__text) external ___chmod
00000001803fe1f4 (__TEXT,__text) external ___chmod_extended
00000001803fa0f0 (__TEXT,__text) external ___close_nocancel
00000001804058f0 (__TEXT,__text) external ___coalition
000000018040591c (__TEXT,__text) external ___coalition_info
0000000180405948 (__TEXT,__text) external ___coalition_ledger
00000001803fa764 (__TEXT,__text) external ___commpage_gettimeofday
00000001803fa76c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001803fcde0 (__TEXT,__text) external ___connect
00000001803fcc48 (__TEXT,__text) external ___connect_nocancel
0000000180405974 (__TEXT,__text) external ___copyfile
00000001804059a0 (__TEXT,__text) external ___crossarch_trap
00000001803f9364 (__TEXT,__text) external ___csrctl
000000018040e714 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001804059cc (__TEXT,__text) external ___debug_syscall_reject
00000001804059f8 (__TEXT,__text) external ___debug_syscall_reject_config
0000000180404fb8 (__TEXT,__text) external ___delete
00000001803fb6d4 (__TEXT,__text) external ___disable_threadsignal
00000001803f9294 (__TEXT,__text) external ___error
0000000180405a24 (__TEXT,__text) external ___execve
0000000180400024 (__TEXT,__text) external ___exit
00000001803fd09c (__TEXT,__text) external ___fchmod
