000000026f2d1130 (__DATA,__bss) non-external __ZL12reportShadow
000000026f2d1138 (__DATA,__bss) non-external __ZL13reportGlobals
000000026f2d1128 (__DATA,__bss) non-external __ZL15libmallocShadow
000000026f2d1120 (__DATA,__bss) non-external __ZL3cfg
0000000259f032f4 (__TEXT,__text) non-external __ZL3diev
0000000259f045c0 (__TEXT,__const) non-external __ZL5zeros
000000026f2d1140 (__DATA,__bss) non-external __ZL6report
000000026f2d15f0 (__DATA,__bss) non-external __ZL6shadow
000000026f2d1118 (__DATA,__bss) non-external __ZL7_shadow
000000026f2d10e8 (__DATA,__bss) non-external __ZL9collector.0
000000026f2d10f0 (__DATA,__bss) non-external __ZL9collector.1
000000026f2d10f8 (__DATA,__bss) non-external __ZL9collector.2
0000000259f03684 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
0000000259f03674 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
0000000259f03b7c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
0000000259f03910 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
0000000259f03bd0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
0000000259f0434c (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
0000000259f04378 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
0000000259f043a4 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
0000000259f03c30 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
0000000259f03c38 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
0000000259f03c40 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
0000000259f04244 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
0000000259f03c9c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
0000000259f04244 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
0000000259f03690 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
0000000259f04244 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
0000000259f03770 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
0000000259f01804 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReader4readEmm
0000000259f03fa0 (__TEXT,__text) non-external __ZN12MemoryReader4readEmm.cold.1
0000000259f02624 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
0000000259f0407c (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
0000000259f03e90 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
0000000259f00fe0 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
0000000259f03ebc (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
0000000259f03e90 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
0000000259f00f30 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
0000000259f03e58 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
0000000259f03e90 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
0000000259f035b8 (__TEXT,__text) non-external (was a private external) __ZN4asan10initShadowEv
0000000259f04210 (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.1
0000000259f03e90 (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.2
0000000259f02ca4 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeEP6ShadowPNS_15GlobalsRegistryE
