                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000190cc2ed4 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000190cbf738 (__TEXT,__text) external _FSp_profile_init
0000000190cbf740 (__TEXT,__text) external _FSp_profile_init_path
0000000190cc2edc (__TEXT,__text) external _FSp_put_svc_key
0000000190cc2ee4 (__TEXT,__text) external _FSp_read_service_key
00000001d5ce1a38 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001d5ce1a50 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001d5ce1a10 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001d5ce19f8 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001d5ce19c8 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001d5ce19e0 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001d5ce19b0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001d5ce1ad8 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001d5ce1aa8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001d5ce1a70 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001d5ce1ab8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001d5ce1a98 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
0000000190cc3018 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
0000000190cc3010 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
0000000190cc2f74 (__TEXT,__text) external _KClientAddCredentialsDeprecated
