000000018ab74d58 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018ab73ca4 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018ab7505c (__TEXT,__text) external _BZ2_bzCompress
000000018ab751e8 (__TEXT,__text) external _BZ2_bzCompressEnd
000000018ab74e6c (__TEXT,__text) external _BZ2_bzCompressInit
000000018ab73e90 (__TEXT,__text) external _BZ2_bzDecompress
000000018ab74cd4 (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018ab73db8 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018ab7b7e0 (__TEXT,__text) external _BZ2_bzRead
000000018ab7b738 (__TEXT,__text) external _BZ2_bzReadClose
000000018ab7b9e8 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018ab7b5ac (__TEXT,__text) external _BZ2_bzReadOpen
000000018ab7b248 (__TEXT,__text) external _BZ2_bzWrite
000000018ab7b390 (__TEXT,__text) external _BZ2_bzWriteClose
000000018ab7b3a0 (__TEXT,__text) external _BZ2_bzWriteClose64
000000018ab7b0f8 (__TEXT,__text) external _BZ2_bzWriteOpen
000000018ab7bd64 (__TEXT,__text) external _BZ2_bzclose
000000018ab7bcac (__TEXT,__text) external _BZ2_bzdopen
000000018ab7be28 (__TEXT,__text) external _BZ2_bzerror
000000018ab7bd5c (__TEXT,__text) external _BZ2_bzflush
000000018ab7ac8c (__TEXT,__text) external _BZ2_bzlibVersion
000000018ab7ba5c (__TEXT,__text) external _BZ2_bzopen
000000018ab7bcc0 (__TEXT,__text) external _BZ2_bzread
000000018ab7bd10 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
