                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018e362f50 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018e35f6d0 (__TEXT,__text) external _FSp_profile_init
000000018e35f6d8 (__TEXT,__text) external _FSp_profile_init_path
000000018e362f58 (__TEXT,__text) external _FSp_put_svc_key
000000018e362f60 (__TEXT,__text) external _FSp_read_service_key
00000001d6a31078 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001d6a31090 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001d6a31050 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001d6a31038 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001d6a31008 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001d6a31020 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001d6a30ff0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001d6a31118 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001d6a310e8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001d6a310b0 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001d6a310f8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001d6a310d8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
000000018e363088 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
000000018e363080 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000018e362ff0 (__TEXT,__text) external _KClientAddCredentialsDeprecated
000000018e362f88 (__TEXT,__text) external _KClientAddRealmMapDeprecated
000000018e362fa8 (__TEXT,__text) external _KClientAddServerMapDeprecated
000000018e3631f0 (__TEXT,__text) external _KClientAddServiceKey
000000018e362f68 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
000000018e363238 (__TEXT,__text) external _KClientDecrypt
000000018e3630e8 (__TEXT,__text) external _KClientDecryptCompat
000000018e362ff8 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
000000018e362f90 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
000000018e362fb0 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
000000018e362fe0 (__TEXT,__text) external _KClientDeleteSessionDeprecated
000000018e363270 (__TEXT,__text) external _KClientDisposePrincipal
000000018e363168 (__TEXT,__text) external _KClientDisposeSession
000000018e3630a0 (__TEXT,__text) external _KClientDisposeSessionCompat
000000018e363230 (__TEXT,__text) external _KClientEncrypt
000000018e3630e0 (__TEXT,__text) external _KClientEncryptCompat
000000018e363200 (__TEXT,__text) external _KClientGetAuthenticatorForService
000000018e363250 (__TEXT,__text) external _KClientGetCCacheReference
000000018e363170 (__TEXT,__text) external _KClientGetClientPrincipal
000000018e362fe8 (__TEXT,__text) external _KClientGetCredentialsDeprecated
000000018e363220 (__TEXT,__text) external _KClientGetEncryptedServiceReply
000000018e363018 (__TEXT,__text) external _KClientGetErrorTextDeprecated
000000018e3631b8 (__TEXT,__text) external _KClientGetExpirationTime
000000018e363190 (__TEXT,__text) external _KClientGetLocalAddress
000000018e362f70 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
000000018e363008 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
000000018e362f98 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
000000018e362fa0 (__TEXT,__text) external _KClientGetNthServerDeprecated
000000018e362fb8 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
000000018e362fc0 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
000000018e362fd8 (__TEXT,__text) external _KClientGetNthSessionDeprecated
000000018e363000 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
000000018e362fd0 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
000000018e363228 (__TEXT,__text) external _KClientGetProtectedServiceReply
000000018e362f80 (__TEXT,__text) external _KClientGetRealmDeprecated
000000018e3631a0 (__TEXT,__text) external _KClientGetRemoteAddress
000000018e363180 (__TEXT,__text) external _KClientGetServerPrincipal
000000018e3631e8 (__TEXT,__text) external _KClientGetServiceKey
000000018e3631b0 (__TEXT,__text) external _KClientGetSessionKey
000000018e3630d8 (__TEXT,__text) external _KClientGetSessionKeyCompat
000000018e363130 (__TEXT,__text) external _KClientGetSessionUserNameCompat
000000018e3631f8 (__TEXT,__text) external _KClientGetTicketForService
000000018e3630a8 (__TEXT,__text) external _KClientGetTicketForServiceCompat
000000018e3630b0 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
000000018e363010 (__TEXT,__text) external _KClientGetUserNameDeprecated
000000018e363150 (__TEXT,__text) external _KClientGetVersion
000000018e3631d8 (__TEXT,__text) external _KClientKeyFileLogin
000000018e3631c8 (__TEXT,__text) external _KClientLogin
000000018e3630b8 (__TEXT,__text) external _KClientLoginCompat
000000018e3631e0 (__TEXT,__text) external _KClientLogout
000000018e3630c8 (__TEXT,__text) external _KClientLogoutCompat
000000018e363138 (__TEXT,__text) external _KClientMakeSendAuthCompat
000000018e363158 (__TEXT,__text) external _KClientNewClientSession
000000018e363160 (__TEXT,__text) external _KClientNewServerSession
000000018e363098 (__TEXT,__text) external _KClientNewSessionCompat
000000018e3631d0 (__TEXT,__text) external _KClientPasswordLogin
000000018e3630c0 (__TEXT,__text) external _KClientPasswordLoginCompat
000000018e363260 (__TEXT,__text) external _KClientPrincipalToV4String
