00007ff841e9f718 (__DATA,__data) non-external _C
00007ff841ea1670 (__DATA,__bss) non-external _CF6464
00007ff800317c60 (__TEXT,__const) non-external _CIFP
00007ff841ea23ac (__DATA,__bss) non-external _EMSG
00007ff841ea23ad (__DATA,__bss) non-external _EMSG
00007ff800317c30 (__TEXT,__const) non-external _ExpandTr
00007ff841ea1660 (__DATA,__bss) non-external _IE3264
00007ff800317bf0 (__TEXT,__const) non-external _IP
00007ff841ea15d0 (__DATA,__bss) non-external _KS
00007ff843a39c00 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff843a39bf8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff800317ca0 (__TEXT,__const) non-external _P32Tr
00007ff800317bb0 (__TEXT,__const) non-external _PC1
00007ff841ea15c8 (__DATA,__bss) non-external _PC1ROT
00007ff800317b70 (__TEXT,__const) non-external _PC2
00007ff841ea1650 (__DATA,__bss) non-external _PC2ROT
00007ff800317b60 (__TEXT,__const) non-external _Rotates
00007ff800317cc0 (__TEXT,__const) non-external _S
00007ff841ea1668 (__DATA,__bss) non-external _SPE
00007ff8002eb87a (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff8002eb8b1 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff8002eb9b8 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff8002eb979 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff841e9f850 (__DATA,__data) non-external __C_lconv
00007ff840026db0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840026dd0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840026e78 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840027090 (__DATA_CONST,__const) non-external __C_time_locale
00007ff841e9f9a0 (__DATA,__data) external __CurrentRuneLocale
00007ff841e9fc18 (__DATA,__constrw) external __DefaultRuneLocale
00007ff841ea08a0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff8002ed77d (__TEXT,__text) non-external __EUC_free_extra
00007ff8002ecb13 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff8002ecc99 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff8002ed763 (__TEXT,__text) non-external __EUC_mbsinit
00007ff8002ece46 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800302dda (__TEXT,__text) external __Exit
00007ff8002ed7af (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff8002ed7e6 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff8002eda14 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff8002ed931 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff8002eda2d (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff8002eda64 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff8002edb92 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff8002edb53 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff8002edbab (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff8002edbe2 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff8002edce9 (__TEXT,__text) non-external __GBK_mbsinit
00007ff8002edcaa (__TEXT,__text) non-external __GBK_wcrtomb
00007ff8002ee10c (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff8002ee143 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff8002ee39a (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff8002ee21c (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff80029cd6e (__TEXT,__text) external __NSGetArgc
00007ff80029cd61 (__TEXT,__text) external __NSGetArgv
00007ff80029662d (__TEXT,__text) external __NSGetEnviron
00007ff8002966b6 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff80029c14f (__TEXT,__text) external __NSGetProgname
00007ff841ea24c8 (__DATA,__common) external __PathLocale
00007ff8002bdec8 (__TEXT,__text) external __Read_RuneMagi
00007ff800302762 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff8003027af (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800302991 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff8003029ab (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff80030290b (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800302b32 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff8002be459 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff8002bfe9d (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff8002eeaad (__TEXT,__text) non-external __UTF8_mbsinit
