                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
000000019258cb8c (__TEXT,__text) external __cg_jcopy_block_row
000000019258cb30 (__TEXT,__text) external __cg_jcopy_sample_rows
00000001925a7ef4 (__TEXT,__text) external __cg_jinit_1pass_quantizer
0000000192583c2c (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000019258bf70 (__TEXT,__text) external __cg_jinit_c_coef_controller
000000019258cba0 (__TEXT,__text) external __cg_jinit_c_main_controller
0000000192596f6c (__TEXT,__text) external __cg_jinit_c_master_control
000000019258cdd8 (__TEXT,__text) external __cg_jinit_c_prep_controller
0000000192582c18 (__TEXT,__text) external __cg_jinit_color_converter
000000019258b4a8 (__TEXT,__text) external __cg_jinit_color_deconverter
0000000192582aa0 (__TEXT,__text) external __cg_jinit_compress_master
0000000192595f98 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000019259894c (__TEXT,__text) external __cg_jinit_d_main_controller
000000019259961c (__TEXT,__text) external __cg_jinit_d_post_controller
000000019259fd28 (__TEXT,__text) external __cg_jinit_downsampler
000000019258aa50 (__TEXT,__text) external __cg_jinit_forward_dct
00000001925a11a0 (__TEXT,__text) external __cg_jinit_huff_decoder
00000001925a4f8c (__TEXT,__text) external __cg_jinit_huff_encoder
000000019258df78 (__TEXT,__text) external __cg_jinit_input_controller
0000000192583500 (__TEXT,__text) external __cg_jinit_inverse_dct
0000000192585254 (__TEXT,__text) external __cg_jinit_marker_reader
00000001925a3af4 (__TEXT,__text) external __cg_jinit_marker_writer
0000000192598350 (__TEXT,__text) external __cg_jinit_master_decompress
00000001925a9178 (__TEXT,__text) external __cg_jinit_memory_mgr
00000001925a0af8 (__TEXT,__text) external __cg_jinit_merged_upsampler
0000000192599098 (__TEXT,__text) external __cg_jinit_upsampler
000000019259f86c (__TEXT,__text) external __cg_jpeg_CreateCompress
000000019258d52c (__TEXT,__text) external __cg_jpeg_CreateDecompress
0000000192587608 (__TEXT,__text) external __cg_jpeg_abort
000000019259f998 (__TEXT,__text) external __cg_jpeg_abort_compress
000000019258d634 (__TEXT,__text) external __cg_jpeg_abort_decompress
0000000192595180 (__TEXT,__text) external __cg_jpeg_add_quant_table
00000001925876c8 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000019258769c (__TEXT,__text) external __cg_jpeg_alloc_quant_table
0000000192597fa4 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000019258d6d0 (__TEXT,__text) external __cg_jpeg_consume_input
00000001925a35b4 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00000001925957cc (__TEXT,__text) external __cg_jpeg_default_colorspace
0000000192587660 (__TEXT,__text) external __cg_jpeg_destroy
000000019259f994 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000019258d630 (__TEXT,__text) external __cg_jpeg_destroy_decompress
00000001925a8b98 (__TEXT,__text) external __cg_jpeg_fdct_float
00000001925a31c0 (__TEXT,__text) external __cg_jpeg_fdct_ifast
0000000192599fb4 (__TEXT,__text) external __cg_jpeg_fdct_islow
000000019259f9ec (__TEXT,__text) external __cg_jpeg_finish_compress
000000019258da38 (__TEXT,__text) external __cg_jpeg_finish_decompress
00000001925a4ed4 (__TEXT,__text) external __cg_jpeg_finish_output
0000000192588dbc (__TEXT,__text) external __cg_jpeg_free_large
0000000192588da4 (__TEXT,__text) external __cg_jpeg_free_small
0000000192588dac (__TEXT,__text) external __cg_jpeg_get_large
0000000192588d94 (__TEXT,__text) external __cg_jpeg_get_small
000000019258d9e0 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000019258f91c (__TEXT,__text) external __cg_jpeg_idct_1x1
000000019258f880 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000019258f568 (__TEXT,__text) external __cg_jpeg_idct_4x4
0000000192599c14 (__TEXT,__text) external __cg_jpeg_idct_float
000000019258a63c (__TEXT,__text) external __cg_jpeg_idct_ifast
000000019258e8d8 (__TEXT,__text) external __cg_jpeg_idct_islow
000000019258d988 (__TEXT,__text) external __cg_jpeg_input_complete
0000000192588dc4 (__TEXT,__text) external __cg_jpeg_mem_available
000000019258908c (__TEXT,__text) external __cg_jpeg_mem_init
0000000192589098 (__TEXT,__text) external __cg_jpeg_mem_term
00000001925aab80 (__TEXT,__const) external __cg_jpeg_natural_order
00000001925982a0 (__TEXT,__text) external __cg_jpeg_new_colormap
0000000192588dd4 (__TEXT,__text) external __cg_jpeg_open_backing_store
000000019259555c (__TEXT,__text) external __cg_jpeg_quality_scaling
0000000192599a64 (__TEXT,__text) external __cg_jpeg_read_coefficients
000000019258d638 (__TEXT,__text) external __cg_jpeg_read_header
00000001925a4d48 (__TEXT,__text) external __cg_jpeg_read_raw_data
00000001925a4c68 (__TEXT,__text) external __cg_jpeg_read_scanlines
0000000192584fc8 (__TEXT,__text) external __cg_jpeg_resync_to_restart
0000000192586b54 (__TEXT,__text) external __cg_jpeg_save_markers
0000000192595870 (__TEXT,__text) external __cg_jpeg_set_colorspace
0000000192595638 (__TEXT,__text) external __cg_jpeg_set_defaults
00000001925954ec (__TEXT,__text) external __cg_jpeg_set_linear_quality
0000000192586e98 (__TEXT,__text) external __cg_jpeg_set_marker_processor
0000000192595594 (__TEXT,__text) external __cg_jpeg_set_quality
0000000192595c24 (__TEXT,__text) external __cg_jpeg_simple_progression
0000000192594eb4 (__TEXT,__text) external __cg_jpeg_start_compress
00000001925a4a38 (__TEXT,__text) external __cg_jpeg_start_decompress
00000001925a4e44 (__TEXT,__text) external __cg_jpeg_start_output
00000001925a0858 (__TEXT,__text) external __cg_jpeg_std_error
00000001925876f4 (__TEXT,__text) external __cg_jpeg_std_huff_table
00000001925aa98d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
00000001925aa8da (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
00000001925aa8bd (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
00000001925aa8a0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
00000001925aa99e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
00000001925aa8eb (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
00000001925aa8ce (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
00000001925aa8b1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001e74f1dc8 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00000001925a8dbc (__TEXT,__text) external __cg_jpeg_stdio_dest
000000019258909c (__TEXT,__text) external __cg_jpeg_stdio_src
000000019259f99c (__TEXT,__text) external __cg_jpeg_suppress_tables
00000001925a33f4 (__TEXT,__text) external __cg_jpeg_write_coefficients
000000019259fc7c (__TEXT,__text) external __cg_jpeg_write_m_byte
000000019259fbf0 (__TEXT,__text) external __cg_jpeg_write_m_header
000000019259fb4c (__TEXT,__text) external __cg_jpeg_write_marker
000000019259506c (__TEXT,__text) external __cg_jpeg_write_raw_data
0000000192594f64 (__TEXT,__text) external __cg_jpeg_write_scanlines
000000019259fc88 (__TEXT,__text) external __cg_jpeg_write_tables
000000019258cb1c (__TEXT,__text) external __cg_jround_up
000000019258bf4c (__TEXT,__text) external __cg_switch_color_deconverter
00000001925a9c6c (__TEXT,__text) non-external _access_virt_barray
00000001925a9a8c (__TEXT,__text) non-external _access_virt_sarray
00000001925a9654 (__TEXT,__text) non-external _alloc_barray
00000001925a868c (__TEXT,__text) non-external _alloc_fs_workspace
00000001925a9460 (__TEXT,__text) non-external _alloc_large
00000001925a9560 (__TEXT,__text) non-external _alloc_sarray
00000001925a92c0 (__TEXT,__text) non-external _alloc_small
