00007ffa00df2cb3 (__TEXT,__text) non-external -[OS_axr_data copy]
00007ffa00df2ab7 (__TEXT,__text) non-external -[OS_axr_data dealloc]
00007ffa00df2b17 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00007ffa00e965e7 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00007ffa00e96636 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00007ffa00e96685 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00007ffa00df2af2 (__TEXT,__text) non-external -[OS_axr_data description]
00007ffa00df2ce3 (__TEXT,__text) non-external -[OS_axr_data hash]
00007ffa00df2cbe (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00007ffa00e84db8 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00007ffa00e84d78 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00007ffa00e84af0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00007ffa00e84d6b (__TEXT,__text) non-external -[OS_axr_decoder description]
00007ffa00e7f265 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00007ffa00e7f250 (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00007ffa00e7f258 (__TEXT,__text) non-external -[OS_axr_encoder description]
00007ffa00e7dac6 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00007ffa00e7da03 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00007ffa00e7dab9 (__TEXT,__text) non-external -[OS_axr_part description]
00007ffa00eb9b48 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ffa00eb9b74 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ffa00eb9c4c (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00007ffa00eb9bf8 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffa00eb9c6c (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00007ffa00eb9c5c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffa00eb9c98 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00007ffa00eb9b84 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00007ffa00eb9b94 (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00007ffa00eb9b64 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ffa00eb9bbc (__TEXT,__gcc_except_tab) non-external GCC_except_table35
