00000001db1e5740 (__TEXT,__text) non-external +[NFPromise new]
00000001db1e7090 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001db1e6e5c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001db1e6e44 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001db1e6e2c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001db1e6d24 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001db1e6dcc (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001db1e6d64 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001db1e87dc (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001db1e8274 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001db1eb434 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00000001db1e3988 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001db1e4f60 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001db1e4ff0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001db1e5084 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001db1e5130 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001db1e7314 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001db1e7288 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001db1eab88 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001db1eaacc (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001db1e361c (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001db1e3824 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001db1e33ac (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001db1e2e78 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001db1e339c (__TEXT,__text) non-external -[NFEventManager events]
00000001db1e27f0 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001db1eae6c (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001db1e31dc (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001db1e2fd8 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
