00007ffa14f7678b (__TEXT,__text) non-external +[NFPromise new]
00007ffa14f77c7e (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa14f77aa2 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa14f77a7f (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa14f77a5c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa14f77992 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa14f77a0f (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa14f779bf (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa14f79190 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa14f78da5 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa14f7c054 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa14f74992 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa14f76071 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa14f760fd (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa14f7618b (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa14f76234 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa14f77eb9 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa14f77e35 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa14f7b32c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa14f7b2ab (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa14f74621 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa14f7482b (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa14f744bc (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa14f73d75 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa14f744a8 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa14f7358e (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa14f7b598 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa14f74234 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa14f73f59 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa14f73519 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa14f737d2 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa14f7b75a (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa14f73bd5 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa14f7b9fd (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa14f73b04 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa14f7b91c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa14f73639 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa14f7b679 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa14f73968 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa14f7b83b (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa14f744b2 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa14f745ee (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa14f745d0 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa14f745c6 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa14f745e4 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa14f745da (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa14f744e4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa14f745bc (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa14f7603e (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa14f7602a (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa14f75e24 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa14f76034 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa14f75f9e (__TEXT,__text) non-external -[NFLazy reset]
00007ffa14f75ed0 (__TEXT,__text) non-external -[NFLazy value]
00007ffa14f7b182 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa14f7a90e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa14f7b153 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa14f7ab39 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa14f7b15d (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa14f7a905 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa14f7af6d (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
