00007ff8150a2c05 (__TEXT,__const) non-external _KW_ANY
00007ff8150a2b69 (__TEXT,__const) non-external _KW_ATTLIST
00007ff8150a2bb8 (__TEXT,__const) non-external _KW_CDATA
00007ff8150a2b4c (__TEXT,__const) non-external _KW_DOCTYPE
00007ff8150a2b71 (__TEXT,__const) non-external _KW_ELEMENT
00007ff8150a2bff (__TEXT,__const) non-external _KW_EMPTY
00007ff8150a2bce (__TEXT,__const) non-external _KW_ENTITIES
00007ff8150a2b62 (__TEXT,__const) non-external _KW_ENTITY
00007ff8150a2bf9 (__TEXT,__const) non-external _KW_FIXED
00007ff8150a2bbe (__TEXT,__const) non-external _KW_ID
00007ff8150a2bc1 (__TEXT,__const) non-external _KW_IDREF
00007ff8150a2bc7 (__TEXT,__const) non-external _KW_IDREFS
00007ff8150a2b8a (__TEXT,__const) non-external _KW_IGNORE
00007ff8150a2be8 (__TEXT,__const) non-external _KW_IMPLIED
00007ff8150a2b82 (__TEXT,__const) non-external _KW_INCLUDE
00007ff8150a3320 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff8150a2b91 (__TEXT,__const) non-external _KW_NDATA
00007ff8150a2bd7 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff8150a2bdf (__TEXT,__const) non-external _KW_NMTOKENS
00007ff8150a2b79 (__TEXT,__const) non-external _KW_NOTATION
00007ff8150a2c09 (__TEXT,__const) non-external _KW_PCDATA
00007ff8150a2b5b (__TEXT,__const) non-external _KW_PUBLIC
00007ff8150a2bf0 (__TEXT,__const) non-external _KW_REQUIRED
00007ff8150a2b54 (__TEXT,__const) non-external _KW_SYSTEM
00007ff8150a332b (__TEXT,__const) non-external _KW_US_ASCII
00007ff8150a333a (__TEXT,__const) non-external _KW_UTF_16
00007ff8150a3341 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff8150a334a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff8150a3334 (__TEXT,__const) non-external _KW_UTF_8
00007ff8150a3361 (__TEXT,__const) non-external _KW_encoding
00007ff8150a3379 (__TEXT,__const) non-external _KW_no
00007ff8150a336a (__TEXT,__const) non-external _KW_standalone
00007ff8150a3359 (__TEXT,__const) non-external _KW_version
00007ff8150a3375 (__TEXT,__const) non-external _KW_yes
00007ff81508acfa (__TEXT,__text) external _XML_DefaultCurrent
00007ff81508ae15 (__TEXT,__text) external _XML_ErrorString
00007ff81508ae36 (__TEXT,__text) external _XML_ExpatVersion
00007ff81508ae43 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff815089200 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff81508ac9f (__TEXT,__text) external _XML_FreeContentModel
00007ff81508a0dd (__TEXT,__text) external _XML_GetBase
00007ff81508a535 (__TEXT,__text) external _XML_GetBuffer
00007ff81508ab8e (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff81508ab65 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff81508ac49 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff81508abf0 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff81508ab4d (__TEXT,__text) external _XML_GetErrorCode
00007ff81508ae58 (__TEXT,__text) external _XML_GetFeatureList
