00000001905072e0 (__TEXT,__const) non-external _DOWNCASE_TBL
0000000190507150 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
0000000190507de0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00000001905078e0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00000001905073e0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
0000000190507ce0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00000001905077e0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001904f3bec (__TEXT,__text) non-external _active_outbound_item_reset
00000001904f8698 (__TEXT,__text) non-external _add_hd_table_incremental
00000001904fbd6c (__TEXT,__text) non-external _bubble_down
00000001904fbcec (__TEXT,__text) non-external _bubble_up
00000001904f3b0c (__TEXT,__text) non-external _buf_chain_new
00000001904fca98 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
00000001904f3a44 (__TEXT,__text) non-external _default_calloc
00000001904f3db8 (__TEXT,__text) non-external _default_free
00000001904f3a50 (__TEXT,__text) non-external _default_malloc
00000001904f3be0 (__TEXT,__text) non-external _default_realloc
00000001904f80f0 (__TEXT,__text) non-external _emit_indname_block
00000001904f827c (__TEXT,__text) non-external _emit_string
00000001904fabb4 (__TEXT,__text) non-external _emit_table_size
00000001904fe188 (__TEXT,__text) non-external _find_stream_on_goaway_func
00000001904f89d0 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00000001904fdcac (__TEXT,__text) non-external _free_streams
00000001904fe43c (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00000001904faa10 (__TEXT,__text) non-external _hd_context_free
00000001904f9290 (__TEXT,__text) non-external _hd_context_shrink_table_size
00000001904fba0c (__TEXT,__text) non-external _hd_get_table_entry
00000001904fa120 (__TEXT,__text) non-external _hd_inflate_commit_indname
00000001904fa1e0 (__TEXT,__text) non-external _hd_inflate_commit_newname
00000001904fa04c (__TEXT,__text) non-external _hd_inflate_read_huff
00000001904f9f48 (__TEXT,__text) non-external _hd_inflate_read_len
00000001904faaa0 (__TEXT,__text) non-external _hd_ringbuf_get
0000000190502f88 (__TEXT,__const) non-external _huff_decode_table
0000000190502780 (__TEXT,__const) non-external _huff_sym_table
00000001904f7328 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00000001904fb1e4 (__TEXT,__text) non-external _map_insert
00000001904fb0e4 (__TEXT,__text) non-external _map_resize
00000001ec3f8a20 (__DATA_DIRTY,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001904f4674 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00000001904f3f34 (__TEXT,__text) non-external _nghttp2_bufs_add
00000001904f8970 (__TEXT,__text) non-external _nghttp2_bufs_addb
00000001904fab48 (__TEXT,__text) non-external _nghttp2_bufs_free
0000000190502554 (__TEXT,__text) external _nghttp2_check_authority
00000001904f3158 (__TEXT,__text) external _nghttp2_check_header_name
00000001904f31a0 (__TEXT,__text) external _nghttp2_check_header_value
000000019050248c (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00000001905024f4 (__TEXT,__text) external _nghttp2_check_method
0000000190502524 (__TEXT,__text) external _nghttp2_check_path
00000001904fbc48 (__TEXT,__text) external _nghttp2_extpri_parse_priority
00000001904f8b90 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00000001904f6c64 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00000001904fb358 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00000001904f6c34 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00000001904f9248 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00000001904fb880 (__TEXT,__text) external _nghttp2_hd_deflate_del
00000001904fba6c (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00000001904fba74 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00000001904fb9fc (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00000001904fba08 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00000001904fb504 (__TEXT,__text) external _nghttp2_hd_deflate_hd
00000001904fb508 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
00000001904f6d88 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00000001904fb60c (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00000001904fb610 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
00000001904fb7a0 (__TEXT,__text) external _nghttp2_hd_deflate_new
00000001904fb7a8 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00000001904fb4a8 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00000001904fb9b8 (__TEXT,__text) external _nghttp2_hd_inflate_del
00000001904fa28c (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00000001904faaf0 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00000001904fba8c (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00000001904fba94 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00000001904fba7c (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00000001904fba88 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00000001904fb8c4 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00000001904fb92c (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00000001904fb8c8 (__TEXT,__text) external _nghttp2_hd_inflate_hd3
00000001904f98d4 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00000001904f3a5c (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00000001904fb930 (__TEXT,__text) external _nghttp2_hd_inflate_new
00000001904fb938 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00000001904f8560 (__TEXT,__text) non-external _nghttp2_hd_table_get
0000000190502584 (__TEXT,__text) external _nghttp2_http2_strerror
00000001904fcde0 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00000001904fa2cc (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00000001904fcb84 (__TEXT,__text) non-external _nghttp2_http_parse_priority
00000001904f6b44 (__TEXT,__text) non-external _nghttp2_http_record_request_method
0000000190502194 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00000001904fda14 (__TEXT,__text) external _nghttp2_is_fatal
00000001904f432c (__TEXT,__text) non-external _nghttp2_iv_check
00000001904f45f0 (__TEXT,__text) non-external _nghttp2_map_find
00000001904f49a0 (__TEXT,__text) non-external _nghttp2_nv_array_copy
00000001904fb438 (__TEXT,__text) external _nghttp2_nv_compare_name
00000001904f2908 (__TEXT,__text) external _nghttp2_option_del
00000001904f2808 (__TEXT,__text) external _nghttp2_option_new
00000001904fafd4 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00000001904fb0d0 (__TEXT,__text) external _nghttp2_option_set_glitch_rate_limit
00000001904fb0bc (__TEXT,__text) external _nghttp2_option_set_max_continuations
00000001904fb044 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00000001904fb058 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00000001904faf88 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00000001904fb030 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00000001904fb06c (__TEXT,__text) external _nghttp2_option_set_max_settings
00000001904fb01c (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00000001904f2854 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00000001904f28a0 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00000001904f2878 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00000001904f288c (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00000001904faf74 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00000001904fb094 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00000001904f2868 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00000001904fb080 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00000001904fb0a8 (__TEXT,__text) external _nghttp2_option_set_stream_reset_rate_limit
00000001904faf9c (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00000001904f3cb4 (__TEXT,__text) non-external _nghttp2_outbound_item_free
00000001904fd8a4 (__TEXT,__text) external _nghttp2_pack_settings_payload
00000001904fd8a8 (__TEXT,__text) external _nghttp2_pack_settings_payload2
00000001904fbc4c (__TEXT,__text) non-external _nghttp2_pq_push
00000001904fbe14 (__TEXT,__text) non-external _nghttp2_pq_remove
00000001904fbf2c (__TEXT,__text) external _nghttp2_priority_spec_check_default
00000001904f498c (__TEXT,__text) external _nghttp2_priority_spec_default_init
00000001904f3490 (__TEXT,__text) external _nghttp2_priority_spec_init
00000001904fceb0 (__TEXT,__text) non-external _nghttp2_ratelim_update
