                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectRelease (from IOKit)
                 (undefined) external _IOIteratorIsValid (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryCreateIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetChildEntry (from IOKit)
                 (undefined) external _IORegistryEntryGetChildIterator (from IOKit)
                 (undefined) external _IORegistryEntryGetName (from IOKit)
                 (undefined) external _IORegistryGetRootEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceNameMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffb18bccaa1 (__TEXT,__text) external _NFCalibrationGetData
00007ffb18bccc73 (__TEXT,__text) external _NFCalibrationGetRFConfigTLVs
00007ffb18bc7b72 (__TEXT,__text) external _NFHardwareDebug
00007ffb18bc1f16 (__TEXT,__text) external _NFHardwareGPIOClose
00007ffb18bc1c91 (__TEXT,__text) external _NFHardwareGPIOConfigureHammerfestSPMI
00007ffb18bc2044 (__TEXT,__text) external _NFHardwareGPIOIsHostWakeCapable
00007ffb18bc1c99 (__TEXT,__text) external _NFHardwareGPIOOpen
00007ffb18bc1c6c (__TEXT,__text) external _NFHardwareGPIOSetDeviceWake
00007ffb18bc1a50 (__TEXT,__text) external _NFHardwareGPIOSetDownloadRequest
00007ffb18bc1b04 (__TEXT,__text) external _NFHardwareGPIOSetIcefallDownloadRequest
00007ffb18bc1bb8 (__TEXT,__text) external _NFHardwareGPIOSetPMUStandbyPowerEnabled
00007ffb18bc15ff (__TEXT,__text) external _NFHardwareGPIOSetPower
00007ffb18bc199c (__TEXT,__text) external _NFHardwareGPIOSetVBAT
00007ffb18bc1c89 (__TEXT,__text) external _NFHardwareGPIOValidateSPMIConfig
00007ffb18bc1c7d (__TEXT,__text) external _NFHardwareGPIOWasItSPMINack
00007ffb18bc15c1 (__TEXT,__text) external _NFHardwareGetCalibration
00007ffb18bc15a3 (__TEXT,__text) external _NFHardwareGetRFConfigTLVs
00007ffb18bc159b (__TEXT,__text) external _NFHardwareGetUARTLogEnabled
00007ffb18bc77b9 (__TEXT,__text) external _NFHardwareInterfaceClose
00007ffb18bc7ada (__TEXT,__text) external _NFHardwareInterfaceFlush
00007ffb18bc7af5 (__TEXT,__text) external _NFHardwareInterfaceGetFlowControl
00007ffb18bc7d2d (__TEXT,__text) external _NFHardwareInterfaceGetType
00007ffb18bc7bbc (__TEXT,__text) external _NFHardwareInterfaceIsHammerfestAlive
00007ffb18bc7b51 (__TEXT,__text) external _NFHardwareInterfaceIsHostWakeCapable
00007ffb18bc7be7 (__TEXT,__text) external _NFHardwareInterfaceIsSupported
00007ffb18bc710f (__TEXT,__text) external _NFHardwareInterfaceOpen
00007ffb18bc79d6 (__TEXT,__text) external _NFHardwareInterfaceRead
00007ffb18bc7abb (__TEXT,__text) external _NFHardwareInterfaceReadAbort
00007ffb18bc7806 (__TEXT,__text) external _NFHardwareInterfaceResetSerial
00007ffb18bc79bb (__TEXT,__text) external _NFHardwareInterfaceSetBaudRate
00007ffb18bc7b13 (__TEXT,__text) external _NFHardwareInterfaceSetCRCEnabled
00007ffb18bc797e (__TEXT,__text) external _NFHardwareInterfaceSetDeviceWake
00007ffb18bc790f (__TEXT,__text) external _NFHardwareInterfaceSetDownloadRequest
00007ffb18bc7934 (__TEXT,__text) external _NFHardwareInterfaceSetIcefallDownloadRequest
00007ffb18bc79a0 (__TEXT,__text) external _NFHardwareInterfaceSetLogFunction
00007ffb18bc7b32 (__TEXT,__text) external _NFHardwareInterfaceSetOnDemandClientMode
00007ffb18bc78c8 (__TEXT,__text) external _NFHardwareInterfaceSetPMUStandbyEnabled
00007ffb18bc7959 (__TEXT,__text) external _NFHardwareInterfaceSetPMUStandbyPowerEnabled
00007ffb18bc78a6 (__TEXT,__text) external _NFHardwareInterfaceSetPower
00007ffb18bc7b9b (__TEXT,__text) external _NFHardwareInterfaceSetSPMIConfig
00007ffb18bc78ea (__TEXT,__text) external _NFHardwareInterfaceSetVBAT
00007ffb18bc7b7a (__TEXT,__text) external _NFHardwareInterfaceValidateSPMIConfig
00007ffb18bc7bc6 (__TEXT,__text) external _NFHardwareInterfaceWasItNACK
00007ffb18bc7aa0 (__TEXT,__text) external _NFHardwareInterfaceWrite
00007ffb18bc15df (__TEXT,__text) external _NFHardwareLoad
00007ffb18bc02b9 (__TEXT,__text) external _NFHardwareRelayClose
00007ffb18bbe55a (__TEXT,__text) external _NFHardwareRelayDataClose
00007ffb18bbecea (__TEXT,__text) external _NFHardwareRelayDataFlush
00007ffb18bbe4e0 (__TEXT,__text) external _NFHardwareRelayDataOpen
00007ffb18bbe8c1 (__TEXT,__text) external _NFHardwareRelayDataRead
00007ffb18bbea8e (__TEXT,__text) external _NFHardwareRelayDataReadAbort
