0000000000007e0d (__TEXT,__text) external _InitVM_ripper
0000000000006cb9 (__TEXT,__text) external _Init_ripper
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _rb_ary_new_from_values (from libruby.2)
                 (undefined) external _rb_ary_push (from libruby.2)
                 (undefined) external _rb_ary_unshift (from libruby.2)
                 (undefined) external _rb_ascii8bit_encindex (from libruby.2)
                 (undefined) external _rb_ascii8bit_encoding (from libruby.2)
                 (undefined) external _rb_assoc_new (from libruby.2)
                 (undefined) external _rb_bug (from libruby.2)
                 (undefined) external _rb_cObject (from libruby.2)
                 (undefined) external _rb_char_to_option_kcode (from libruby.2)
                 (undefined) external _rb_check_typeddata (from libruby.2)
                 (undefined) external _rb_compile_warning (from libruby.2)
                 (undefined) external _rb_complex_raw (from libruby.2)
                 (undefined) external _rb_cstr_to_inum (from libruby.2)
                 (undefined) external _rb_data_typed_object_zalloc (from libruby.2)
                 (undefined) external _rb_define_alloc_func (from libruby.2)
                 (undefined) external _rb_define_class (from libruby.2)
                 (undefined) external _rb_define_const (from libruby.2)
                 (undefined) external _rb_define_method (from libruby.2)
                 (undefined) external _rb_define_private_method (from libruby.2)
                 (undefined) external _rb_define_singleton_method (from libruby.2)
                 (undefined) external _rb_eArgError (from libruby.2)
                 (undefined) external _rb_eRuntimeError (from libruby.2)
                 (undefined) external _rb_enc_associate (from libruby.2)
                 (undefined) external _rb_enc_codelen (from libruby.2)
                 (undefined) external _rb_enc_dummy_p (from libruby.2)
                 (undefined) external _rb_enc_find_index (from libruby.2)
                 (undefined) external _rb_enc_from_encoding (from libruby.2)
                 (undefined) external _rb_enc_from_index (from libruby.2)
                 (undefined) external _rb_enc_get (from libruby.2)
                 (undefined) external _rb_enc_precise_mbclen (from libruby.2)
                 (undefined) external _rb_enc_str_buf_cat (from libruby.2)
                 (undefined) external _rb_enc_str_coderange (from libruby.2)
                 (undefined) external _rb_enc_str_new (from libruby.2)
                 (undefined) external _rb_enc_str_new_static (from libruby.2)
                 (undefined) external _rb_ensure (from libruby.2)
                 (undefined) external _rb_exc_raise (from libruby.2)
                 (undefined) external _rb_fix2int (from libruby.2)
                 (undefined) external _rb_float_new_in_heap (from libruby.2)
                 (undefined) external _rb_freeze_singleton_class (from libruby.2)
