00000001e78fba98 (__DATA,__data) non-external _C
00000001e78fcd40 (__DATA,__bss) non-external _CF6464
000000018035ab38 (__TEXT,__const) non-external _CIFP
00000001e78fda64 (__DATA,__bss) non-external _EMSG
00000001e78fda65 (__DATA,__bss) non-external _EMSG
000000018035ab08 (__TEXT,__const) non-external _ExpandTr
00000001e78fcd30 (__DATA,__bss) non-external _IE3264
000000018035aac8 (__TEXT,__const) non-external _IP
00000001e78fcca0 (__DATA,__bss) non-external _KS
00000001e9d33c90 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001e9d33c88 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00000001803224fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180349854 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180322528 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180322544 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180322560 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018032257c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180322598 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001803225b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001803225c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018035ab78 (__TEXT,__const) non-external _P32Tr
000000018035aa90 (__TEXT,__const) non-external _PC1
00000001e78fcc98 (__DATA,__bss) non-external _PC1ROT
000000018035aa50 (__TEXT,__const) non-external _PC2
00000001e78fcd20 (__DATA,__bss) non-external _PC2ROT
000000018035aa40 (__TEXT,__const) non-external _Rotates
000000018035ab98 (__TEXT,__const) non-external _S
00000001e78fcd38 (__DATA,__bss) non-external _SPE
00000001803346dc (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180334720 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180334844 (__TEXT,__text) non-external __BIG5_mbsinit
00000001803347f0 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001e78fbc80 (__DATA,__data) non-external __C_lconv
00000001e3d71518 (__DATA_CONST,__const) non-external __C_messages_locale
00000001e3d71538 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001e3d715e0 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001e3d71830 (__DATA_CONST,__const) non-external __C_time_locale
00000001e78fbdd0 (__DATA,__data) external __CurrentRuneLocale
00000001e78fbfd8 (__DATA,__constrw) external __DefaultRuneLocale
00000001ea1c40a0 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180336118 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180336188 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00000001803361d0 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00000001803361bc (__TEXT,__text) non-external __EUC_CN_wcrtomb
00000001803361d4 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00000001803362b4 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180336324 (__TEXT,__text) non-external __EUC_JP_mbrtowc
