0000000246ff3fa4 (__TEXT,__text) external _GCLBufferBase
0000000246ff3f94 (__TEXT,__text) external _GCLBufferData
0000000246ff3f64 (__TEXT,__text) external _GCLBufferElementType
0000000246ff2584 (__TEXT,__text) external _GCLBufferForBufferListIter
0000000246ff237c (__TEXT,__text) external _GCLBufferId
0000000246ff3524 (__TEXT,__text) external _GCLBufferListAppendNew
0000000246ff2568 (__TEXT,__text) external _GCLBufferListBegin
0000000246ff2574 (__TEXT,__text) external _GCLBufferListEnd
0000000246ff32d0 (__TEXT,__text) external _GCLBufferListFromSource
0000000246ff343c (__TEXT,__text) external _GCLBufferListGetBuffer
0000000246ff34f0 (__TEXT,__text) external _GCLBufferListGetBufferById
0000000246ff2578 (__TEXT,__text) external _GCLBufferListIterNext
0000000246ff33a0 (__TEXT,__text) external _GCLBufferListNew
0000000246ff33fc (__TEXT,__text) external _GCLBufferListRelease
0000000246ff3f7c (__TEXT,__text) external _GCLBufferNumRows
0000000246ff3fbc (__TEXT,__text) external _GCLBufferOffset
0000000246ff2078 (__TEXT,__text) external _GCLBufferProperty
0000000246ff2110 (__TEXT,__text) external _GCLBufferPropertyString
0000000246ff2058 (__TEXT,__text) external _GCLBufferSemanticName
0000000246ff3fb0 (__TEXT,__text) external _GCLBufferSetBase
0000000246ff3f70 (__TEXT,__text) external _GCLBufferSetElementType
0000000246ff3fc8 (__TEXT,__text) external _GCLBufferSetOffset
0000000246ff21b4 (__TEXT,__text) external _GCLBufferSetProperty
0000000246ff2280 (__TEXT,__text) external _GCLBufferSetPropertyString
0000000246ff3ff4 (__TEXT,__text) external _GCLBufferSetStrideElements
0000000246ff3fd4 (__TEXT,__text) external _GCLBufferStrideBytes
0000000246ff3fe8 (__TEXT,__text) external _GCLBufferStrideElements
0000000246ff3f88 (__TEXT,__text) external _GCLBufferTupleWidth
0000000246fedae0 (__TEXT,__text) external _GCLDecodeMeshFromSource
0000000246fedc3c (__TEXT,__text) external _GCLDecodeMeshFromSourceWithOptions
0000000246ff5efc (__TEXT,__text) external _GCLEncodeMeshFromBufferList
0000000246ff2f74 (__TEXT,__text) external _GCLOptionsGet
0000000246ff30d8 (__TEXT,__text) external _GCLOptionsGetString
0000000246ff2ecc (__TEXT,__text) external _GCLOptionsNew
0000000246ff2f30 (__TEXT,__text) external _GCLOptionsRelease
0000000246ff300c (__TEXT,__text) external _GCLOptionsSet
0000000246ff3184 (__TEXT,__text) external _GCLOptionsSetString
0000000246fed840 (__TEXT,__text) external _GCLSourceFromData
0000000246fed99c (__TEXT,__text) external _GCLSourceOptionSet
0000000246fed924 (__TEXT,__text) external _GCLSourceRelease
0000000247018168 (__TEXT,__const) external _GeometryCompressionVersionNumber
0000000247018120 (__TEXT,__const) external _GeometryCompressionVersionString
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNKSt3__16locale9use_facetERNS0_2idE (from libc++)
                 (undefined) external __ZNKSt3__18ios_base6getlocEv (from libc++)
                 (undefined) external __ZNSt11logic_errorC2EPKc (from libc++)
                 (undefined) external __ZNSt12length_errorD1Ev (from libc++)
                 (undefined) external __ZNSt12out_of_rangeD1Ev (from libc++)
                 (undefined) external __ZNSt13runtime_errorC1EPKc (from libc++)
                 (undefined) external __ZNSt13runtime_errorD1Ev (from libc++)
                 (undefined) external __ZNSt19bad_optional_accessD1Ev (from libc++)
                 (undefined) external __ZNSt20bad_array_new_lengthC1Ev (from libc++)
                 (undefined) external __ZNSt20bad_array_new_lengthD1Ev (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE21__grow_by_and_replaceEmmmmmmPKc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6resizeEmc (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE3putEc (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE5flushEv (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE6sentryC1ERS3_ (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEE6sentryD1Ev (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEi (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEj (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEm (from libc++)
                 (undefined) external __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEx (from libc++)
                 (undefined) external __ZNSt3__114basic_iostreamIcNS_11char_traitsIcEEED2Ev (from libc++)
                 (undefined) external __ZNSt3__117bad_function_callD1Ev (from libc++)
                 (undefined) external __ZNSt3__15ctypeIcE2idE (from libc++)
                 (undefined) external __ZNSt3__16localeC1Ev (from libc++)
                 (undefined) external __ZNSt3__16localeD1Ev (from libc++)
                 (undefined) external __ZNSt3__18ios_base33__set_badbit_and_consider_rethrowEv (from libc++)
                 (undefined) external __ZNSt3__18ios_base4initEPv (from libc++)
                 (undefined) external __ZNSt3__18ios_base5clearEj (from libc++)
                 (undefined) external __ZNSt3__19basic_iosIcNS_11char_traitsIcEEED2Ev (from libc++)
                 (undefined) external __ZSt9terminatev (from libc++)
                 (undefined) external __ZTTNSt3__118basic_stringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv117__class_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv120__si_class_type_infoE (from libc++)
                 (undefined) external __ZTVNSt3__115basic_streambufIcNS_11char_traitsIcEEEE (from libc++)
                 (undefined) external __ZTVNSt3__115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTVNSt3__117bad_function_callE (from libc++)
                 (undefined) external __ZTVNSt3__118basic_stringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTVSt12length_error (from libc++)
                 (undefined) external __ZTVSt12out_of_range (from libc++)
                 (undefined) external __ZTVSt19bad_optional_access (from libc++)
                 (undefined) external __ZdaPv (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __Znam (from libc++)
                 (undefined) external __Znwm (from libc++)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_begin_catch (from libc++)
                 (undefined) external ___cxa_end_catch (from libc++)
                 (undefined) external ___cxa_free_exception (from libc++)
                 (undefined) external ___cxa_guard_abort (from libc++)
                 (undefined) external ___cxa_guard_acquire (from libc++)
                 (undefined) external ___cxa_guard_release (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_signpost_id_generate (from libSystem)
                 (undefined) external _strlen (from libSystem)
