                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff812e0ab83 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff812e0799a (__TEXT,__text) external _FSp_profile_init
00007ff812e079a7 (__TEXT,__text) external _FSp_profile_init_path
00007ff812e0ab8e (__TEXT,__text) external _FSp_put_svc_key
00007ff812e0ab99 (__TEXT,__text) external _FSp_read_service_key
00007ff84381b0c0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff84381b0e0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff84381b090 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff84381b070 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff84381b030 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff84381b050 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff84381b010 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff84381b170 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff84381b138 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff84381b100 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff84381b148 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff84381b128 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff812e0acea (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff812e0acdf (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff812e0ac5f (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff812e0abd0 (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff812e0abfc (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff812e0aed9 (__TEXT,__text) external _KClientAddServiceKey
00007ff812e0aba4 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff812e0af3c (__TEXT,__text) external _KClientDecrypt
00007ff812e0ad6e (__TEXT,__text) external _KClientDecryptCompat
00007ff812e0ac6a (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff812e0abdb (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff812e0ac07 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff812e0ac49 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff812e0af89 (__TEXT,__text) external _KClientDisposePrincipal
00007ff812e0ae1e (__TEXT,__text) external _KClientDisposeSession
00007ff812e0ad0b (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff812e0af31 (__TEXT,__text) external _KClientEncrypt
00007ff812e0ad63 (__TEXT,__text) external _KClientEncryptCompat
00007ff812e0aeef (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff812e0af5d (__TEXT,__text) external _KClientGetCCacheReference
00007ff812e0ae29 (__TEXT,__text) external _KClientGetClientPrincipal
