                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020cea3b48 (__TEXT,__text) external __crypt_blowfish_rn
000000020cea5f0c (__TEXT,__text) external __crypt_gensalt_blowfish_rn
000000020cea3af4 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000020cea8934 (__TEXT,__text) external _apr_base64_decode
000000020cea895c (__TEXT,__text) external _apr_base64_decode_binary
000000020cea88f0 (__TEXT,__text) external _apr_base64_decode_len
000000020cea8ab0 (__TEXT,__text) external _apr_base64_encode
000000020cea8ab4 (__TEXT,__text) external _apr_base64_encode_binary
000000020cea8a88 (__TEXT,__text) external _apr_base64_encode_len
000000020cea2a54 (__TEXT,__text) external _apr_bcrypt_encode
000000020ce9e66c (__TEXT,__text) external _apr_brigade_cleanup
000000020ce9e740 (__TEXT,__text) external _apr_brigade_create
000000020ce9e6dc (__TEXT,__text) external _apr_brigade_destroy
000000020ce9ea9c (__TEXT,__text) external _apr_brigade_flatten
000000020ce9f5ec (__TEXT,__text) external _apr_brigade_insert_file
000000020ce9e9e8 (__TEXT,__text) external _apr_brigade_length
000000020ce9e8bc (__TEXT,__text) external _apr_brigade_partition
000000020ce9eb74 (__TEXT,__text) external _apr_brigade_pflatten
000000020ce9f490 (__TEXT,__text) external _apr_brigade_printf
000000020ce9f3d8 (__TEXT,__text) external _apr_brigade_putc
000000020ce9f404 (__TEXT,__text) external _apr_brigade_puts
000000020ce9f464 (__TEXT,__text) external _apr_brigade_putstrs
000000020ce9e8b4 (__TEXT,__text) external _apr_brigade_split
000000020ce9e7bc (__TEXT,__text) external _apr_brigade_split_ex
000000020ce9ebf0 (__TEXT,__text) external _apr_brigade_split_line
000000020ce9ef34 (__TEXT,__text) external _apr_brigade_to_iovec
000000020ce9f4bc (__TEXT,__text) external _apr_brigade_vprintf
000000020ce9efe0 (__TEXT,__text) external _apr_brigade_vputstrs
000000020ce9ed80 (__TEXT,__text) external _apr_brigade_write
000000020ce9f0dc (__TEXT,__text) external _apr_brigade_writev
000000020ce9f7c0 (__TEXT,__text) external _apr_bucket_alloc
000000020ce9f674 (__TEXT,__text) external _apr_bucket_alloc_create
000000020ce9f6fc (__TEXT,__text) external _apr_bucket_alloc_create_ex
000000020ce9f768 (__TEXT,__text) external _apr_bucket_alloc_destroy
000000020ce9f664 (__TEXT,__text) external _apr_bucket_copy_notimpl
000000020ce9f670 (__TEXT,__text) external _apr_bucket_destroy_noop
000000020ce9f8bc (__TEXT,__text) external _apr_bucket_eos_create
000000020ce9f8a8 (__TEXT,__text) external _apr_bucket_eos_make
000000020ce9f998 (__TEXT,__text) external _apr_bucket_file_create
000000020ce9fa38 (__TEXT,__text) external _apr_bucket_file_enable_mmap
000000020ce9f920 (__TEXT,__text) external _apr_bucket_file_make
000000020ce9fd94 (__TEXT,__text) external _apr_bucket_flush_create
000000020ce9fd80 (__TEXT,__text) external _apr_bucket_flush_make
000000020ce9f878 (__TEXT,__text) external _apr_bucket_free
000000020ce9feb8 (__TEXT,__text) external _apr_bucket_heap_create
000000020ce9fdf8 (__TEXT,__text) external _apr_bucket_heap_make
000000020cea0830 (__TEXT,__text) external _apr_bucket_immortal_create
000000020cea081c (__TEXT,__text) external _apr_bucket_immortal_make
000000020cea0048 (__TEXT,__text) external _apr_bucket_mmap_create
000000020ce9ffa0 (__TEXT,__text) external _apr_bucket_mmap_make
000000020cea0248 (__TEXT,__text) external _apr_bucket_pipe_create
000000020cea0230 (__TEXT,__text) external _apr_bucket_pipe_make
000000020cea054c (__TEXT,__text) external _apr_bucket_pool_create
000000020cea0448 (__TEXT,__text) external _apr_bucket_pool_make
000000020ce9f644 (__TEXT,__text) external _apr_bucket_setaside_noop
000000020ce9f64c (__TEXT,__text) external _apr_bucket_setaside_notimpl
000000020cea06d0 (__TEXT,__text) external _apr_bucket_shared_copy
000000020cea0704 (__TEXT,__text) external _apr_bucket_shared_destroy
000000020cea0718 (__TEXT,__text) external _apr_bucket_shared_make
000000020cea069c (__TEXT,__text) external _apr_bucket_shared_split
000000020cea072c (__TEXT,__text) external _apr_bucket_simple_copy
000000020cea0784 (__TEXT,__text) external _apr_bucket_simple_split
000000020cea0974 (__TEXT,__text) external _apr_bucket_socket_create
000000020cea095c (__TEXT,__text) external _apr_bucket_socket_make
000000020ce9f658 (__TEXT,__text) external _apr_bucket_split_notimpl
000000020cea08a8 (__TEXT,__text) external _apr_bucket_transient_create
000000020cea0894 (__TEXT,__text) external _apr_bucket_transient_make
000000021f659f08 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000021f659f40 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000021f659f78 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000021f659fb0 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000021f65a090 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000021f659fe8 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000021f65a020 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000021f65a058 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000021f65a100 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000021f65a0c8 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
000000021ba85780 (__DATA,__common) external _apr_current_hooking_module
000000020ceac0bc (__TEXT,__text) external _apr_date_checkmask
000000020ceac208 (__TEXT,__text) external _apr_date_parse_http
000000020ceac5dc (__TEXT,__text) external _apr_date_parse_rfc
000000020cea6818 (__TEXT,__text) external _apr_dbd_check_conn
000000020cea6838 (__TEXT,__text) external _apr_dbd_close
000000020cea6fe8 (__TEXT,__text) external _apr_dbd_datum_get
000000020cea6828 (__TEXT,__text) external _apr_dbd_error
000000020cea69cc (__TEXT,__text) external _apr_dbd_escape
000000020cea6730 (__TEXT,__text) external _apr_dbd_get_driver
000000020cea69ac (__TEXT,__text) external _apr_dbd_get_entry
000000020cea69bc (__TEXT,__text) external _apr_dbd_get_name
000000020cea6994 (__TEXT,__text) external _apr_dbd_get_row
000000020cea660c (__TEXT,__text) external _apr_dbd_init
000000020cea65f4 (__TEXT,__text) external _apr_dbd_mutex_lock
000000020cea6600 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000020cea6924 (__TEXT,__text) external _apr_dbd_name
000000020cea692c (__TEXT,__text) external _apr_dbd_native_handle
000000020cea697c (__TEXT,__text) external _apr_dbd_num_cols
000000020cea6988 (__TEXT,__text) external _apr_dbd_num_tuples
000000020cea6844 (__TEXT,__text) external _apr_dbd_open
000000020cea6774 (__TEXT,__text) external _apr_dbd_open_ex
000000020cea6f20 (__TEXT,__text) external _apr_dbd_pbquery
000000020cea6f3c (__TEXT,__text) external _apr_dbd_pbselect
000000020cea6e58 (__TEXT,__text) external _apr_dbd_pquery
000000020cea69e0 (__TEXT,__text) external _apr_dbd_prepare
000000020cea6e74 (__TEXT,__text) external _apr_dbd_pselect
000000020cea6f5c (__TEXT,__text) external _apr_dbd_pvbquery
000000020cea6fa0 (__TEXT,__text) external _apr_dbd_pvbselect
000000020cea6e94 (__TEXT,__text) external _apr_dbd_pvquery
000000020cea6ed8 (__TEXT,__text) external _apr_dbd_pvselect
000000020cea694c (__TEXT,__text) external _apr_dbd_query
000000020cea6960 (__TEXT,__text) external _apr_dbd_select
000000020cea6938 (__TEXT,__text) external _apr_dbd_set_dbname
000000021f65a190 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
000000020cea68bc (__TEXT,__text) external _apr_dbd_transaction_end
000000020cea6908 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000020cea6914 (__TEXT,__text) external _apr_dbd_transaction_mode_set
000000020cea684c (__TEXT,__text) external _apr_dbd_transaction_start
000000020cea71c8 (__TEXT,__text) external _apr_dbm_close
000000020cea71ec (__TEXT,__text) external _apr_dbm_delete
000000020cea71f8 (__TEXT,__text) external _apr_dbm_exists
000000020cea71d4 (__TEXT,__text) external _apr_dbm_fetch
000000020cea7204 (__TEXT,__text) external _apr_dbm_firstkey
000000020cea721c (__TEXT,__text) external _apr_dbm_freedatum
000000020cea72ec (__TEXT,__text) external _apr_dbm_get_usednames
000000020cea7274 (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000020cea7228 (__TEXT,__text) external _apr_dbm_geterror
000000020cea7210 (__TEXT,__text) external _apr_dbm_nextkey
000000020cea7124 (__TEXT,__text) external _apr_dbm_open
000000020cea7000 (__TEXT,__text) external _apr_dbm_open_ex
000000020cea71e0 (__TEXT,__text) external _apr_dbm_store
000000021f65a138 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
000000021ba85778 (__DATA,__common) external _apr_debug_module_hooks
000000020cea9450 (__TEXT,__text) external _apr_dynamic_fn_register
000000020cea93f4 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
000000021ba85770 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
000000021ba85768 (__DATA,__common) external _apr_hook_debug_current
000000021ba85760 (__DATA,__common) external _apr_hook_debug_enabled
000000020cea916c (__TEXT,__text) external _apr_hook_debug_show
000000020cea9118 (__TEXT,__text) external _apr_hook_deregister_all
000000021ba85758 (__DATA,__common) external _apr_hook_global_pool
000000020cea8c2c (__TEXT,__text) external _apr_hook_sort_all
000000020cea8bd4 (__TEXT,__text) external _apr_hook_sort_register
000000020ceb2f94 (__TEXT,__text) external _apr_ldap_get_option
000000020ceb2f54 (__TEXT,__text) external _apr_ldap_info
000000020ceb2e98 (__TEXT,__text) external _apr_ldap_init
