00007ff80b4cdf18 (__TEXT,__text) external _CCAESCmac
00007ff80b4cdf65 (__TEXT,__text) external _CCAESCmacCreate
00007ff80b4ce01b (__TEXT,__text) external _CCAESCmacDestroy
00007ff80b4ce006 (__TEXT,__text) external _CCAESCmacFinal
00007ff80b4ce040 (__TEXT,__text) external _CCAESCmacOutputSizeFromContext
00007ff80b4cdff0 (__TEXT,__text) external _CCAESCmacUpdate
00007ff80b4cdd03 (__TEXT,__text) external _CCBigNumAdd
00007ff80b4cdd10 (__TEXT,__text) external _CCBigNumAddI
00007ff80b4cda1f (__TEXT,__text) external _CCBigNumBitCount
00007ff80b4cda33 (__TEXT,__text) external _CCBigNumByteCount
00007ff80b4cd9cc (__TEXT,__text) external _CCBigNumClear
00007ff80b4cdc0b (__TEXT,__text) external _CCBigNumCompare
00007ff80b4cdc15 (__TEXT,__text) external _CCBigNumCompareI
00007ff80b4cd9f5 (__TEXT,__text) external _CCBigNumCopy
00007ff80b4cdc8e (__TEXT,__text) external _CCBigNumCreateRandom
00007ff80b4cdd51 (__TEXT,__text) external _CCBigNumDiv
00007ff80b4cd9d9 (__TEXT,__text) external _CCBigNumFree
00007ff80b4cda3d (__TEXT,__text) external _CCBigNumFromData
00007ff80b4cdb5c (__TEXT,__text) external _CCBigNumFromDecimalString
00007ff80b4cdaad (__TEXT,__text) external _CCBigNumFromHexString
00007ff80b4cdc39 (__TEXT,__text) external _CCBigNumGetI
00007ff80b4cde87 (__TEXT,__text) external _CCBigNumIsNegative
00007ff80b4cde52 (__TEXT,__text) external _CCBigNumIsPrime
00007ff80b4cde6f (__TEXT,__text) external _CCBigNumIsZero
00007ff80b4cde34 (__TEXT,__text) external _CCBigNumLeftShift
00007ff80b4cdd5e (__TEXT,__text) external _CCBigNumMod
00007ff80b4cde1f (__TEXT,__text) external _CCBigNumModExp
00007ff80b4cdd6b (__TEXT,__text) external _CCBigNumModI
00007ff80b4cdd37 (__TEXT,__text) external _CCBigNumMul
00007ff80b4cdd44 (__TEXT,__text) external _CCBigNumMulI
00007ff80b4cde12 (__TEXT,__text) external _CCBigNumMulMod
00007ff80b4cde43 (__TEXT,__text) external _CCBigNumRightShift
00007ff80b4cdc2c (__TEXT,__text) external _CCBigNumSetI
00007ff80b4cdc1f (__TEXT,__text) external _CCBigNumSetNegative
00007ff80b4cdd1d (__TEXT,__text) external _CCBigNumSub
00007ff80b4cdd2a (__TEXT,__text) external _CCBigNumSubI
00007ff80b4cda76 (__TEXT,__text) external _CCBigNumToData
00007ff80b4cdbbc (__TEXT,__text) external _CCBigNumToDecimalString
00007ff80b4cdb0d (__TEXT,__text) external _CCBigNumToHexString
00007ff80b4cda29 (__TEXT,__text) external _CCBigNumZeroLSBCount
00007ff80b4ce1bd (__TEXT,__text) non-external _CCCKGContextCreate
00007ff80b4ce2f1 (__TEXT,__text) external _CCCKGContributorCommit
00007ff80b4ce156 (__TEXT,__text) external _CCCKGContributorCreate
00007ff80b4ce2b3 (__TEXT,__text) external _CCCKGContributorDestroy
00007ff80b4ce3bb (__TEXT,__text) external _CCCKGContributorFinish
00007ff80b4ce509 (__TEXT,__text) non-external _CCCKGConvertNativeToECCryptor
00007ff80b4ce060 (__TEXT,__text) external _CCCKGGetCommitmentSize
00007ff80b4ce104 (__TEXT,__text) external _CCCKGGetOpeningSize
00007ff80b4ce0b2 (__TEXT,__text) external _CCCKGGetShareSize
00007ff80b4ce24c (__TEXT,__text) external _CCCKGOwnerCreate
00007ff80b4ce2d2 (__TEXT,__text) external _CCCKGOwnerDestroy
00007ff80b4ce5a9 (__TEXT,__text) external _CCCKGOwnerFinish
00007ff80b4ce34f (__TEXT,__text) external _CCCKGOwnerGenerateShare
00007ff80b4d0573 (__TEXT,__text) external _CCCalibratePBKDF
00007ff80b4cd97a (__TEXT,__text) external _CCCreateBigNum
00007ff80b4cb4c9 (__TEXT,__text) external _CCCrypt
00007ff80b4ceb24 (__TEXT,__text) external _CCCryptorAddParameter
00007ff80b4cce3c (__TEXT,__text) external _CCCryptorChaCha20
00007ff80b4ccf28 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotDecrypt
00007ff80b4cce96 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotEncrypt
00007ff80b4cadc4 (__TEXT,__text) external _CCCryptorCreate
00007ff80b4ce6fc (__TEXT,__text) external _CCCryptorCreateFromData
00007ff80b4ce7a0 (__TEXT,__text) external _CCCryptorCreateFromDataWithMode
00007ff80b4c9df4 (__TEXT,__text) external _CCCryptorCreateWithMode
00007ff80b4cea63 (__TEXT,__text) external _CCCryptorDecryptDataBlock
00007ff80b4ce9a2 (__TEXT,__text) external _CCCryptorEncryptDataBlock
00007ff80b4cb678 (__TEXT,__text) external _CCCryptorFinal
00007ff80b4c9d38 (__TEXT,__text) external _CCCryptorGCM
00007ff80b4caa12 (__TEXT,__text) external _CCCryptorGCMAddAAD
00007ff80b4d0110 (__TEXT,__text) external _CCCryptorGCMAddADD
00007ff80b4ca9c3 (__TEXT,__text) external _CCCryptorGCMAddIV
00007ff80b4ccc4d (__TEXT,__text) external _CCCryptorGCMDecrypt
00007ff80b4cccc8 (__TEXT,__text) external _CCCryptorGCMEncrypt
00007ff80b4caac3 (__TEXT,__text) external _CCCryptorGCMFinal
00007ff80b4d0124 (__TEXT,__text) external _CCCryptorGCMFinalize
00007ff80b4d030d (__TEXT,__text) external _CCCryptorGCMOneshotDecrypt
00007ff80b4d0238 (__TEXT,__text) external _CCCryptorGCMOneshotEncrypt
00007ff80b4d01f5 (__TEXT,__text) external _CCCryptorGCMReset
00007ff80b4d00c0 (__TEXT,__text) external _CCCryptorGCMSetIV
00007ff80b4d011a (__TEXT,__text) external _CCCryptorGCMaddAAD
00007ff80b4ce908 (__TEXT,__text) external _CCCryptorGetIV
00007ff80b4cb5ca (__TEXT,__text) external _CCCryptorGetOutputLength
00007ff80b4cecc0 (__TEXT,__text) external _CCCryptorGetParameter
00007ff80b4cab0c (__TEXT,__text) external _CCCryptorRelease
00007ff80b4cb34a (__TEXT,__text) external _CCCryptorReset
00007ff80b4ce81a (__TEXT,__text) external _CCCryptorReset_binary_compatibility
00007ff80b4cae7f (__TEXT,__text) external _CCCryptorUpdate
00007ff80b4cedd6 (__TEXT,__text) external _CCDHComputeKey
00007ff80b4ced20 (__TEXT,__text) external _CCDHCreate
00007ff80b4ced60 (__TEXT,__text) external _CCDHGenerateKey
00007ff80b4ced56 (__TEXT,__text) external _CCDHRelease
00007ff80b4cd36c (__TEXT,__text) external _CCDeriveKey
00007ff80b4d21d0 (__TEXT,__text) external _CCDesCBCCksum
00007ff80b4ccc9e (__TEXT,__text) external _CCDesIsWeakKey
00007ff80b4ccc94 (__TEXT,__text) external _CCDesSetOddParity
00007ff80b4c9690 (__TEXT,__text) external _CCDigest
00007ff80b4cef3a (__TEXT,__text) external _CCDigestBlockSize
00007ff80b4cac79 (__TEXT,__text) external _CCDigestCreate
00007ff80b4cefa0 (__TEXT,__text) external _CCDigestCreateByOID
00007ff80b4cad9a (__TEXT,__text) external _CCDigestDestroy
00007ff80b4cad5d (__TEXT,__text) external _CCDigestFinal
00007ff80b4ceee6 (__TEXT,__text) external _CCDigestGetBlockSize
00007ff80b4cef1f (__TEXT,__text) external _CCDigestGetBlockSizeFromRef
00007ff80b4c9020 (__TEXT,__text) non-external (was a private external) _CCDigestGetDigestInfo
00007ff80b4d2a19 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.1
