00007ffd00569ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd00587a20 (__TEXT,__const) non-external _FunctionNumbers
00007ffd00586a6b (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd00569b84 (__TEXT,__text) non-external _Init_iODBC
00007ffd415807dc (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd00568265 (__TEXT,__text) external _SQLAllocConnect
00007ffd00568150 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd00569b0b (__TEXT,__text) external _SQLAllocEnv
00007ffd00569958 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd005742e4 (__TEXT,__text) external _SQLAllocHandle
00007ffd005743df (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd00574054 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd0056cd8d (__TEXT,__text) external _SQLAllocStmt
00007ffd0056c7c4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd00571ee1 (__TEXT,__text) external _SQLBindCol
00007ffd0057a274 (__TEXT,__text) external _SQLBindParam
00007ffd00571211 (__TEXT,__text) external _SQLBindParameter
00007ffd00564eb5 (__TEXT,__text) external _SQLBrowseConnect
00007ffd00565026 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd00565197 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd00564856 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd00579d50 (__TEXT,__text) external _SQLBulkOperations
00007ffd0056dc76 (__TEXT,__text) external _SQLCancel
00007ffd0057a2a0 (__TEXT,__text) external _SQLCloseCursor
00007ffd00579790 (__TEXT,__text) external _SQLColAttribute
00007ffd0057993c (__TEXT,__text) external _SQLColAttributeA
00007ffd00579ae8 (__TEXT,__text) external _SQLColAttributeW
00007ffd00579062 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffd00573b50 (__TEXT,__text) external _SQLColAttributes
00007ffd00573cfc (__TEXT,__text) external _SQLColAttributesA
00007ffd00573ea8 (__TEXT,__text) external _SQLColAttributesW
00007ffd0057365d (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd0055d41c (__TEXT,__text) external _SQLColumnPrivileges
00007ffd0055d613 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd0055d80a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffd0055d160 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffd0055dcbd (__TEXT,__text) external _SQLColumns
00007ffd0055deb4 (__TEXT,__text) external _SQLColumnsA
00007ffd0055e0ab (__TEXT,__text) external _SQLColumnsW
00007ffd0055da01 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffd00561ca7 (__TEXT,__text) external _SQLConnect
00007ffd005625e8 (__TEXT,__text) external _SQLConnectA
00007ffd0056277f (__TEXT,__text) external _SQLConnectW
00007ffd00561e3e (__TEXT,__text) non-external _SQLConnect_Internal
00007ffd0058777f (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffd00578ee2 (__TEXT,__text) external _SQLCopyDesc
00007ffd0056e784 (__TEXT,__text) external _SQLDataSources
00007ffd0056e8ac (__TEXT,__text) external _SQLDataSourcesA
00007ffd0056e9d4 (__TEXT,__text) external _SQLDataSourcesW
00007ffd0056e310 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffd41580760 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffd41580780 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffd41580788 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffd00573096 (__TEXT,__text) external _SQLDescribeCol
00007ffd00573283 (__TEXT,__text) external _SQLDescribeColA
00007ffd00573470 (__TEXT,__text) external _SQLDescribeColW
00007ffd00572de9 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffd00566fbc (__TEXT,__text) external _SQLDescribeParam
00007ffd00565308 (__TEXT,__text) external _SQLDisconnect
00007ffd00564373 (__TEXT,__text) external _SQLDriverConnect
00007ffd00564514 (__TEXT,__text) external _SQLDriverConnectA
