00007ff802d7809b (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff802d78059 (__TEXT,__text) external _CreateLSTMData
00007ff802d77f0e (__TEXT,__text) external _CreateLSTMDataForScript
00007ff802d78234 (__TEXT,__text) external _DeleteLSTMData
00007ff802d78265 (__TEXT,__text) external _LSTMDataName
00007ff802d593cc (__TEXT,__text) external _T_CString_int64ToString
00007ff802d5932d (__TEXT,__text) external _T_CString_integerToString
00007ff802d5946b (__TEXT,__text) external _T_CString_stringToInteger
00007ff802d592cd (__TEXT,__text) external _T_CString_toLowerCase
00007ff802d592fd (__TEXT,__text) external _T_CString_toUpperCase
00007ff802dbcf1e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff802dbccd6 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff802dbcbd7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff802dbcdf4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff802dbd4bc (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff802dbd46a (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff802dbccd0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff802dbd48c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff802e089dd (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff802f59e85 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff802d517f0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff802d51786 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff802d5186e (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff802d51862 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff802d51780 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff802d5177a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff802d51770 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff802e30334 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff802e30424 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff802e3026e (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff802e302be (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff802e302ee (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff802e302e8 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff802e302de (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff802e302f4 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff802d58cf2 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff802d58efc (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff802d58954 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff802d58dd6 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff802d58e74 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff802d58e36 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff802d58f68 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff802d58b7a (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff802d58b34 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff802d5890a (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff802d58b12 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff802d587c8 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff802d5876a (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
