                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff811ca0bcd (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff811c9da59 (__TEXT,__text) external _FSp_profile_init
00007ff811c9da66 (__TEXT,__text) external _FSp_profile_init_path
00007ff811ca0bd8 (__TEXT,__text) external _FSp_put_svc_key
00007ff811ca0be3 (__TEXT,__text) external _FSp_read_service_key
00007ff84272cac0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff84272cae0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff84272ca90 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff84272ca70 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff84272ca30 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff84272ca50 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff84272ca10 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff84272cb70 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff84272cb38 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff84272cb00 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff84272cb48 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff84272cb28 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff811ca0d34 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff811ca0d29 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff811ca0ca9 (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff811ca0c1a (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff811ca0c46 (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff811ca0f23 (__TEXT,__text) external _KClientAddServiceKey
00007ff811ca0bee (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff811ca0f86 (__TEXT,__text) external _KClientDecrypt
00007ff811ca0db8 (__TEXT,__text) external _KClientDecryptCompat
00007ff811ca0cb4 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff811ca0c25 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff811ca0c51 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff811ca0c93 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff811ca0fd3 (__TEXT,__text) external _KClientDisposePrincipal
00007ff811ca0e68 (__TEXT,__text) external _KClientDisposeSession
00007ff811ca0d55 (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff811ca0f7b (__TEXT,__text) external _KClientEncrypt
00007ff811ca0dad (__TEXT,__text) external _KClientEncryptCompat
00007ff811ca0f39 (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff811ca0fa7 (__TEXT,__text) external _KClientGetCCacheReference
00007ff811ca0e73 (__TEXT,__text) external _KClientGetClientPrincipal
00007ff811ca0c9e (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff811ca0f65 (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff811ca0ce0 (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007ff811ca0ed6 (__TEXT,__text) external _KClientGetExpirationTime
00007ff811ca0e9f (__TEXT,__text) external _KClientGetLocalAddress
00007ff811ca0bf9 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007ff811ca0cca (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007ff811ca0c30 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007ff811ca0c3b (__TEXT,__text) external _KClientGetNthServerDeprecated
00007ff811ca0c5c (__TEXT,__text) external _KClientGetNthServerMapDeprecated
00007ff811ca0c67 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
00007ff811ca0c88 (__TEXT,__text) external _KClientGetNthSessionDeprecated
00007ff811ca0cbf (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
00007ff811ca0c7d (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00007ff811ca0f70 (__TEXT,__text) external _KClientGetProtectedServiceReply
00007ff811ca0c0f (__TEXT,__text) external _KClientGetRealmDeprecated
00007ff811ca0eb5 (__TEXT,__text) external _KClientGetRemoteAddress
00007ff811ca0e89 (__TEXT,__text) external _KClientGetServerPrincipal
00007ff811ca0f18 (__TEXT,__text) external _KClientGetServiceKey
00007ff811ca0ecb (__TEXT,__text) external _KClientGetSessionKey
00007ff811ca0da2 (__TEXT,__text) external _KClientGetSessionKeyCompat
00007ff811ca0e1b (__TEXT,__text) external _KClientGetSessionUserNameCompat
00007ff811ca0f2e (__TEXT,__text) external _KClientGetTicketForService
00007ff811ca0d60 (__TEXT,__text) external _KClientGetTicketForServiceCompat
00007ff811ca0d6b (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
00007ff811ca0cd5 (__TEXT,__text) external _KClientGetUserNameDeprecated
00007ff811ca0e47 (__TEXT,__text) external _KClientGetVersion
00007ff811ca0f02 (__TEXT,__text) external _KClientKeyFileLogin
00007ff811ca0eec (__TEXT,__text) external _KClientLogin
00007ff811ca0d76 (__TEXT,__text) external _KClientLoginCompat
00007ff811ca0f0d (__TEXT,__text) external _KClientLogout
00007ff811ca0d8c (__TEXT,__text) external _KClientLogoutCompat
00007ff811ca0e26 (__TEXT,__text) external _KClientMakeSendAuthCompat
00007ff811ca0e52 (__TEXT,__text) external _KClientNewClientSession
00007ff811ca0e5d (__TEXT,__text) external _KClientNewServerSession
00007ff811ca0d4a (__TEXT,__text) external _KClientNewSessionCompat
00007ff811ca0ef7 (__TEXT,__text) external _KClientPasswordLogin
00007ff811ca0d81 (__TEXT,__text) external _KClientPasswordLoginCompat
00007ff811ca0fbd (__TEXT,__text) external _KClientPrincipalToV4String
00007ff811ca0fc8 (__TEXT,__text) external _KClientPrincipalToV4Triplet
