00007ffd44b5f900 (__DATA,__bss) non-external _A
00007ffd44b5f7d0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffd44b5f6b0 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffd43488900 (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_BLOCK
00007ffd434888fc (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_INLINE
00007ffd43488920 (__DATA_DIRTY,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffd4348891c (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE
00007ffd43488918 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_CELL
00007ffd43488914 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_ROW
00007ffd43488912 (__DATA_DIRTY,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffd1e9f8350 (__TEXT,__const) non-external _HREF_SAFE
00007ffd1e9f66b0 (__TEXT,__const) non-external _HTML_ESCAPES.rel
00007ffd1e9f66d0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffd1e9f8250 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffd1e9ec7f2 (__TEXT,__text) non-external _S_advance_offset
00007ffd1e9ddf24 (__TEXT,__text) non-external _S_blankline
00007ffd1e9ed25e (__TEXT,__text) non-external _S_can_contain
00007ffd1e9ddf11 (__TEXT,__text) non-external _S_cr
00007ffd1e9ec899 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffd1e9dfe88 (__TEXT,__text) non-external _S_get_enumlevel
00007ffd1e9ed1ad (__TEXT,__text) non-external _S_node_unlink
00007ffd1e9ddf37 (__TEXT,__text) non-external _S_out
00007ffd1e9dc57a (__TEXT,__text) non-external _S_outc
00007ffd1e9eae82 (__TEXT,__text) non-external _S_parser_feed
00007ffd1e9f8210 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffd1e9ee6b0 (__TEXT,__text) non-external _S_print_error
00007ffd1e9eb5ad (__TEXT,__text) non-external _S_process_line
00007ffd1e9f5ad9 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffd1e9f5afc (__TEXT,__text) non-external _S_process_line.cold.2
00007ffd1e9f5b1f (__TEXT,__text) non-external _S_process_line.cold.3
00007ffd1e9dbe80 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffd1e9da1b4 (__TEXT,__text) non-external _S_render_node
00007ffd1e9dc664 (__TEXT,__text) non-external _S_render_node
00007ffd1e9df7f8 (__TEXT,__text) non-external _S_render_node
00007ffd1e9f3003 (__TEXT,__text) non-external _S_render_node
00007ffd1e9f578c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd1e9f5914 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd1e9f59c3 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd1e9f63ae (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
