
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000003f1c0 (__DATA,__data) external _NDR_record
0000000000019c23 (__TEXT,__text) non-external __Xexception_raise
0000000000019ccb (__TEXT,__text) non-external __Xexception_raise_state
0000000000019dbd (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000b420 (__TEXT,__text) external _____sigwait_nocancel
000000000002a948 (__TEXT,__const) external ____kernelVersionNumber
000000000002a910 (__TEXT,__const) external ____kernelVersionString
000000000000b438 (__TEXT,__text) external ___abort_with_payload
0000000000007bdc (__TEXT,__text) external ___accept
000000000000b450 (__TEXT,__text) external ___accept_nocancel
000000000000b468 (__TEXT,__text) external ___access_extended
000000000000b480 (__TEXT,__text) external ___aio_suspend_nocancel
00000000000070d0 (__TEXT,__text) external ___bind
0000000000003e00 (__TEXT,__text) external ___bsdthread_create
0000000000002598 (__TEXT,__text) external ___bsdthread_ctl
0000000000005904 (__TEXT,__text) external ___bsdthread_register
0000000000003240 (__TEXT,__text) external ___bsdthread_terminate
000000000000c9ae (__TEXT,__text) non-external ___bzero
000000000000adce (__TEXT,__text) external ___carbon_delete
000000000000b498 (__TEXT,__text) external ___channel_get_info
000000000000b4b0 (__TEXT,__text) external ___channel_get_opt
000000000000b4c8 (__TEXT,__text) external ___channel_open
000000000000b4e0 (__TEXT,__text) external ___channel_set_opt
000000000000b4f8 (__TEXT,__text) external ___channel_sync
0000000000003d8c (__TEXT,__text) external ___chmod
0000000000005480 (__TEXT,__text) external ___chmod_extended
000000000000224c (__TEXT,__text) external ___close_nocancel
000000000000b510 (__TEXT,__text) external ___coalition
000000000000b528 (__TEXT,__text) external ___coalition_info
000000000000b540 (__TEXT,__text) external ___coalition_ledger
0000000000002663 (__TEXT,__text) external ___commpage_gettimeofday
000000000000266a (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000000000044e8 (__TEXT,__text) external ___connect
0000000000004370 (__TEXT,__text) external ___connect_nocancel
000000000000b558 (__TEXT,__text) external ___copyfile
000000000000b570 (__TEXT,__text) external ___crossarch_trap
0000000000001624 (__TEXT,__text) external ___csrctl
0000000000012f97 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000b588 (__TEXT,__text) external ___debug_syscall_reject
000000000000b5a0 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000ade8 (__TEXT,__text) external ___delete
0000000000003228 (__TEXT,__text) external ___disable_threadsignal
000000000000158a (__TEXT,__text) external ___error
000000000000b5b8 (__TEXT,__text) external ___execve
0000000000006c58 (__TEXT,__text) external ___exit
00000000000046fc (__TEXT,__text) external ___fchmod
00000000000055b0 (__TEXT,__text) external ___fchmod_extended
0000000000001840 (__TEXT,__text) external ___fcntl
0000000000004340 (__TEXT,__text) external ___fcntl_nocancel
0000000000006f38 (__TEXT,__text) external ___fork
000000000000b5d0 (__TEXT,__text) external ___fs_snapshot
0000000000005598 (__TEXT,__text) external ___fstat64_extended
000000000000b5e8 (__TEXT,__text) external ___fstat_extended
000000000000b600 (__TEXT,__text) external ___fsync_nocancel
0000000000008760 (__TEXT,__text) external ___get_remove_counter
00000000000015a4 (__TEXT,__text) external ___getattrlist
0000000000002520 (__TEXT,__text) external ___getdirentries64
0000000000005450 (__TEXT,__text) external ___gethostuuid
000000000000a8d0 (__TEXT,__text) external ___getlogin
00000000000045ec (__TEXT,__text) external ___getpeername
00000000000011e0 (__TEXT,__text) external ___getpid
0000000000002a34 (__TEXT,__text) external ___getrlimit
000000000000b618 (__TEXT,__text) external ___getsgroups
0000000000006fdc (__TEXT,__text) external ___getsockname
000000000000242c (__TEXT,__text) external ___gettid
0000000000003e45 (__TEXT,__text) external ___gettimeofday
0000000000003e30 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000b630 (__TEXT,__text) external ___getwgroups
000000000000b648 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000003a78 (__TEXT,__text) external ___guarded_open_np
000000000000b660 (__TEXT,__text) external ___identitysvc
0000000000003c53 (__TEXT,__text) external ___inc_remove_counter
000000000000a8b8 (__TEXT,__text) external ___initgroups
00000000000044d0 (__TEXT,__text) external ___ioctl
0000000000004760 (__TEXT,__text) external ___iopolicysys
000000000000b678 (__TEXT,__text) external ___kdebug_trace
00000000000030b0 (__TEXT,__text) external ___kdebug_trace64
000000000000b690 (__TEXT,__text) external ___kdebug_trace_string
0000000000005684 (__TEXT,__text) external ___kdebug_typefilter
000000000002a9b8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000000002a980 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
000000000000767c (__TEXT,__text) external ___kill
0000000000005e30 (__TEXT,__text) external ___kqueue_workloop_ctl
0000000000005610 (__TEXT,__text) external ___lchown
000000000000569b (__TEXT,__text) external ___libkernel_init
000000000000cb58 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000caa8 (__TEXT,__text) external ___libkernel_init_late
00000000000058f3 (__TEXT,__text) external ___libkernel_platform_init
00000000000011d3 (__TEXT,__text) external ___libkernel_voucher_init
0000000000007bc4 (__TEXT,__text) external ___listen
000000000000b6a8 (__TEXT,__text) external ___log_data
00000000000022ac (__TEXT,__text) external ___lseek
0000000000005498 (__TEXT,__text) external ___lstat64_extended
000000000000b6c0 (__TEXT,__text) external ___lstat_extended
000000000000b6d8 (__TEXT,__text) external ___mac_execve
000000000000b6f0 (__TEXT,__text) external ___mac_get_fd
000000000000b708 (__TEXT,__text) external ___mac_get_file
000000000000b720 (__TEXT,__text) external ___mac_get_link
000000000000b738 (__TEXT,__text) external ___mac_get_mount
000000000000b750 (__TEXT,__text) external ___mac_get_pid
000000000000b768 (__TEXT,__text) external ___mac_get_proc
000000000000b780 (__TEXT,__text) external ___mac_getfsstat
000000000000b798 (__TEXT,__text) external ___mac_mount
000000000000b7b0 (__TEXT,__text) external ___mac_set_fd
000000000000b7c8 (__TEXT,__text) external ___mac_set_file
000000000000b7e0 (__TEXT,__text) external ___mac_set_link
0000000000007b78 (__TEXT,__text) external ___mac_set_proc
0000000000002348 (__TEXT,__text) external ___mac_syscall
000000000000b7f8 (__TEXT,__text) external ___mach_bridge_remote_time
000000000000b810 (__TEXT,__text) external ___mach_eventlink_signal
000000000000b828 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000000b840 (__TEXT,__text) external ___mach_eventlink_wait_until
000000000000b858 (__TEXT,__text) external ___map_with_linking_np
000000000000b870 (__TEXT,__text) external ___memorystatus_available_memory
000000000000b888 (__TEXT,__text) external ___microstackshot
000000000000b8a0 (__TEXT,__text) external ___mkdir_extended
000000000000b8b8 (__TEXT,__text) external ___mkfifo_extended
0000000000001938 (__TEXT,__text) external ___mmap
0000000000003e18 (__TEXT,__text) external ___mprotect
000000000000b8d0 (__TEXT,__text) external ___msgctl
000000000000b8e8 (__TEXT,__text) external ___msgrcv_nocancel
000000000000b900 (__TEXT,__text) external ___msgsnd_nocancel
000000000000b918 (__TEXT,__text) external ___msgsys
0000000000005de4 (__TEXT,__text) external ___msync
000000000000b930 (__TEXT,__text) external ___msync_nocancel
0000000000003b64 (__TEXT,__text) external ___munmap
000000000000b948 (__TEXT,__text) external ___nexus_create
000000000000b960 (__TEXT,__text) external ___nexus_deregister
000000000000b978 (__TEXT,__text) external ___nexus_destroy
000000000000b990 (__TEXT,__text) external ___nexus_get_opt
