00000001d920b008 (__DATA,__data) non-external _C
00000001d920c230 (__DATA,__bss) non-external _CF6464
0000000180307d68 (__TEXT,__const) non-external _CIFP
00000001d920cf34 (__DATA,__bss) non-external _EMSG
00000001d920cf35 (__DATA,__bss) non-external _EMSG
0000000180307d38 (__TEXT,__const) non-external _ExpandTr
00000001d920c220 (__DATA,__bss) non-external _IE3264
0000000180307cf8 (__TEXT,__const) non-external _IP
00000001d920c190 (__DATA,__bss) non-external _KS
00000001db73b3e0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001db73b3d8 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00000001802c6b60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802d0090 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802db848 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802dbcc8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802f76f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802d00b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802dbce4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802d01b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001802d01cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001802d01e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001802d01fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001802d0210 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001802d0224 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001802d023c (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001802d0248 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
00000001802d00d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001802dbcfc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001802d0104 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001802d011c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001802d0134 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001802d014c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001802d0168 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001802d0184 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001802d019c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000180307da8 (__TEXT,__const) non-external _P32Tr
0000000180307cc0 (__TEXT,__const) non-external _PC1
00000001d920c188 (__DATA,__bss) non-external _PC1ROT
0000000180307c80 (__TEXT,__const) non-external _PC2
00000001d920c210 (__DATA,__bss) non-external _PC2ROT
0000000180307c70 (__TEXT,__const) non-external _Rotates
0000000180307dc8 (__TEXT,__const) non-external _S
00000001d920c228 (__DATA,__bss) non-external _SPE
00000001802e277c (__TEXT,__text) non-external (was a private external) __BIG5_init
00000001802e27c0 (__TEXT,__text) non-external __BIG5_mbrtowc
00000001802e28e4 (__TEXT,__text) non-external __BIG5_mbsinit
00000001802e2890 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d920b120 (__DATA,__data) non-external __C_lconv
00000001d420ab90 (__DATA_CONST,__const) non-external __C_messages_locale
00000001d420abb0 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001d420ac58 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001d420ae38 (__DATA_CONST,__const) non-external __C_time_locale
00000001d920b270 (__DATA,__data) external __CurrentRuneLocale
00000001d920b4c0 (__DATA,__constrw) external __DefaultRuneLocale
00000001dbc49368 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
00000001802e3f4c (__TEXT,__text) non-external __EUC_free_extra
00000001802e3a18 (__TEXT,__text) non-external (was a private external) __EUC_init
00000001802e3bc8 (__TEXT,__text) non-external __EUC_mbrtowc
00000001802e3f30 (__TEXT,__text) non-external __EUC_mbsinit
00000001802e3d58 (__TEXT,__text) non-external __EUC_wcrtomb
00000001802f7df0 (__TEXT,__text) external __Exit
00000001802e3f74 (__TEXT,__text) non-external (was a private external) __GB18030_init
00000001802e3fb8 (__TEXT,__text) non-external __GB18030_mbrtowc
00000001802e4238 (__TEXT,__text) non-external __GB18030_mbsinit
00000001802e412c (__TEXT,__text) non-external __GB18030_wcrtomb
00000001802e4254 (__TEXT,__text) non-external (was a private external) __GB2312_init
00000001802e4298 (__TEXT,__text) non-external __GB2312_mbrtowc
00000001802e4400 (__TEXT,__text) non-external __GB2312_mbsinit
00000001802e43ac (__TEXT,__text) non-external __GB2312_wcrtomb
00000001802e441c (__TEXT,__text) non-external (was a private external) __GBK_init
00000001802e4460 (__TEXT,__text) non-external __GBK_mbrtowc
00000001802e4584 (__TEXT,__text) non-external __GBK_mbsinit
00000001802e4530 (__TEXT,__text) non-external __GBK_wcrtomb
00000001802e49c0 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00000001802e4a04 (__TEXT,__text) non-external __MSKanji_mbrtowc
00000001802e4b4c (__TEXT,__text) non-external __MSKanji_mbsinit
00000001802e4ae4 (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180293380 (__TEXT,__text) external __NSGetArgc
0000000180293374 (__TEXT,__text) external __NSGetArgv
000000018028e208 (__TEXT,__text) external __NSGetEnviron
000000018028e2b0 (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180292690 (__TEXT,__text) external __NSGetProgname
00000001d920d020 (__DATA,__common) external __PathLocale
00000001802b225c (__TEXT,__text) external __Read_RuneMagi
00000001802f7720 (__TEXT,__text) non-external (was a private external) __UTF2_init
00000001802f7784 (__TEXT,__text) non-external __UTF2_mbrtowc
00000001802f7978 (__TEXT,__text) non-external __UTF2_mbsinit
00000001802f7994 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00000001802f78d0 (__TEXT,__text) non-external __UTF2_wcrtomb
00000001802f7b40 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00000001802b2788 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001802b4138 (__TEXT,__text) non-external __UTF8_mbrtowc
00000001802e5384 (__TEXT,__text) non-external __UTF8_mbsinit
00000001802b43dc (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001802b4bdc (__TEXT,__text) non-external __UTF8_wcrtomb
00000001802e53a0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
000000018029d6d8 (__TEXT,__text) external ___Balloc_D2A
000000018029d8f4 (__TEXT,__text) external ___Bfree_D2A
00000001802db788 (__TEXT,__text) external ___ULtod_D2A
00000001802cbfc8 (__TEXT,__text) external ____mb_cur_max
00000001802cbff4 (__TEXT,__text) external ____mb_cur_max_l
00000001802a47f0 (__TEXT,__text) external ____runetype
00000001802a4814 (__TEXT,__text) external ____runetype_l
00000001802e5298 (__TEXT,__text) external ____tolower
00000001802e51f4 (__TEXT,__text) external ____tolower_l
00000001802e5360 (__TEXT,__text) external ____toupper
00000001802e52bc (__TEXT,__text) external ____toupper_l
00000001803062d4 (__TEXT,__text) non-external (was a private external) ___abort
00000001802d72b0 (__TEXT,__text) external ___add_ovflpage
00000001802d7024 (__TEXT,__text) external ___addel
00000001802a35f0 (__TEXT,__text) external ___any_on_D2A
0000000180305510 (__TEXT,__text) external ___assert_rtn
00000001db73cc60 (__DATA_DIRTY,__bss) non-external ___atexit
00000001802af2b8 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001db73cc68 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00000001802b5ecc (__TEXT,__text) external ___b2d_D2A
00000001802d57a8 (__TEXT,__text) external ___big_delete
00000001802d54f4 (__TEXT,__text) external ___big_insert
00000001802d5e68 (__TEXT,__text) external ___big_keydata
00000001802d5af4 (__TEXT,__text) external ___big_return
00000001802d5fe8 (__TEXT,__text) external ___big_split
00000001803083e0 (__TEXT,__const) external ___bigtens_D2A
00000001802d03ac (__TEXT,__text) external ___bt_close
00000001802d405c (__TEXT,__text) external ___bt_cmp
00000001802d4120 (__TEXT,__text) external ___bt_defcmp
00000001802d4164 (__TEXT,__text) external ___bt_defpfx
00000001802d0854 (__TEXT,__text) external ___bt_delete
00000001802d0e4c (__TEXT,__text) external ___bt_dleaf
00000001802d1cc0 (__TEXT,__text) external ___bt_fd
00000001802d2c34 (__TEXT,__text) non-external ___bt_first
00000001802d1fcc (__TEXT,__text) external ___bt_free
00000001802d14e4 (__TEXT,__text) external ___bt_get
00000001802d1ff4 (__TEXT,__text) external ___bt_new
00000001802d15d8 (__TEXT,__text) external ___bt_open
00000001802d122c (__TEXT,__text) non-external ___bt_pdelete
00000001802d0548 (__TEXT,__text) external ___bt_pgin
00000001802d06e0 (__TEXT,__text) external ___bt_pgout
00000001802d2070 (__TEXT,__text) external ___bt_put
00000001802d1454 (__TEXT,__text) non-external ___bt_relink
00000001802d3ec8 (__TEXT,__text) external ___bt_ret
00000001802d2590 (__TEXT,__text) external ___bt_search
00000001802d27d8 (__TEXT,__text) external ___bt_seq
