                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80cd8062f (__TEXT,__text) external __cg_jcopy_block_row
00007ff80cd805d7 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff80cd9fdff (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff80cd771bb (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff80cd7f54b (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff80cd80649 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff80cd8bb50 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff80cd8081d (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff80cd76224 (__TEXT,__text) external __cg_jinit_color_converter
00007ff80cd7ea38 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff80cd7610b (__TEXT,__text) external __cg_jinit_compress_master
00007ff80cd8a9c4 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff80cd8d4f8 (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff80cd8e124 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff80cd97b53 (__TEXT,__text) external __cg_jinit_downsampler
00007ff80cd7e095 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff80cd98f1d (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff80cd9ceba (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff80cd817b1 (__TEXT,__text) external __cg_jinit_input_controller
00007ff80cd76b0e (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff80cd788e4 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff80cd9bc16 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff80cd8cf24 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff80cda113a (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff80cd98882 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff80cd8dc10 (__TEXT,__text) external __cg_jinit_upsampler
00007ff80cd97783 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff80cd80f08 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff80cd7af19 (__TEXT,__text) external __cg_jpeg_abort
00007ff80cd978b2 (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff80cd80ff3 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff80cd89e4c (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff80cd7afa6 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff80cd7af89 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff80cd8cbee (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff80cd8106c (__TEXT,__text) external __cg_jpeg_consume_input
00007ff80cd9b5cc (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff80cd8a1f0 (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff80cd7af5b (__TEXT,__text) external __cg_jpeg_destroy
00007ff80cd978a8 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff80cd80fe9 (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff80cda0bc9 (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff80cd9b146 (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff80cd8ea4f (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff80cd9790f (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff80cd81356 (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff80cd9ce30 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff80cd7c572 (__TEXT,__text) external __cg_jpeg_free_large
00007ff80cd7c558 (__TEXT,__text) external __cg_jpeg_free_small
00007ff80cd7c565 (__TEXT,__text) external __cg_jpeg_get_large
00007ff80cd7c54b (__TEXT,__text) external __cg_jpeg_get_small
00007ff80cd81319 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff80cd8340f (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff80cd8335e (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff80cd83070 (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff80cd8e65c (__TEXT,__text) external __cg_jpeg_idct_float
00007ff80cd7dc24 (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff80cd822ab (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff80cd812dc (__TEXT,__text) external __cg_jpeg_input_complete
00007ff80cd7c57f (__TEXT,__text) external __cg_jpeg_mem_available
00007ff80cd7c6ec (__TEXT,__text) external __cg_jpeg_mem_init
00007ff80cd7c6f7 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff80cda2970 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff80cd8ceaa (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff80cd7c590 (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff80cd89fda (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff80cd8e4c8 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff80cd80ffd (__TEXT,__text) external __cg_jpeg_read_header
00007ff80cd9cd0a (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff80cd9cc5b (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff80cd78668 (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff80cd7a40f (__TEXT,__text) external __cg_jpeg_save_markers
00007ff80cd8a26c (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff80cd8a08b (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff80cd89f8f (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff80cd7a7cd (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff80cd8a011 (__TEXT,__text) external __cg_jpeg_set_quality
00007ff80cd8a63c (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff80cd89c3c (__TEXT,__text) external __cg_jpeg_start_compress
00007ff80cd9ca6e (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff80cd9cdc7 (__TEXT,__text) external __cg_jpeg_start_output
00007ff80cd98643 (__TEXT,__text) external __cg_jpeg_std_error
00007ff84087b5c0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff80cda0e32 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff80cd7c6fd (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff80cd978bc (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff80cd9b46b (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff80cd97ae3 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff80cd97a87 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff80cd979f8 (__TEXT,__text) external __cg_jpeg_write_marker
00007ff80cd89d81 (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff80cd89cbd (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff80cd97af5 (__TEXT,__text) external __cg_jpeg_write_tables
00007ff80cd805bc (__TEXT,__text) external __cg_jround_up
00007ff80cd7f528 (__TEXT,__text) external __cg_switch_color_deconverter
