                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
000000023fc9b104 (__TEXT,__text) external _DRBufferAsResource
000000023fc9b320 (__TEXT,__text) external _DRBufferCopyDescriptor
000000023fc9b248 (__TEXT,__text) external _DRBufferCreateUnmanaged
000000023fc9b1d4 (__TEXT,__text) external _DRBufferDescriptorCreate
000000023fc9b228 (__TEXT,__text) external _DRBufferDescriptorGetCapacity
000000023fc9b238 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
000000023fc9b230 (__TEXT,__text) external _DRBufferDescriptorSetCapacity
000000023fc9b240 (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
000000023fc9b390 (__TEXT,__text) external _DRBufferGetBytesUsed
000000023fc9b3a8 (__TEXT,__text) external _DRBufferRead
000000023fc9b3d8 (__TEXT,__text) external _DRBufferReadUsing
000000023fc9b3b8 (__TEXT,__text) external _DRBufferReplace
000000023fc9b43c (__TEXT,__text) external _DRBufferReplaceUsing
000000023fc9b398 (__TEXT,__text) external _DRBufferSetBytesUsed
000000023fc9b3c8 (__TEXT,__text) external _DRBufferUpdate
000000023fc9b720 (__TEXT,__text) external _DRClientConnectionConfigCreate
000000023fc9b778 (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
000000023fc9b770 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
000000023fc9b8d0 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
000000023fc9b8d8 (__TEXT,__text) external _DRClientConnectionReceive
000000023fc9b8e4 (__TEXT,__text) external _DRClientConnectionTearDown
000000023fc9bb90 (__TEXT,__text) external _DRCommitQueueApplyAll
000000023fc9bad0 (__TEXT,__text) external _DRCommitQueueApplyThrough
000000023fc9bbec (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
000000023fc9bbf4 (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
000000023fc9b9d8 (__TEXT,__text) external _DRCommitQueueEnumerate
000000023fc9bb9c (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
000000023fc9bba4 (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
000000023fc9bbb4 (__TEXT,__text) external _DRCommitQueueTakeFrom
000000023fc9bbd0 (__TEXT,__text) external _DRCommitQueueTakeThrough
000000023fc9a458 (__TEXT,__text) external _DRContextCommit
000000023fc9a638 (__TEXT,__text) external _DRContextCommitAddCommandBuffer
000000023fc9a5b8 (__TEXT,__text) external _DRContextCommitAddFence
000000023fc99e9c (__TEXT,__text) external _DRContextConfigCreate
000000023fc99f60 (__TEXT,__text) external _DRContextConfigGetMode
000000023fc99f80 (__TEXT,__text) external _DRContextConfigSetDevice
000000023fc99f08 (__TEXT,__text) external _DRContextConfigSetDispatchQueue
000000023fc99f70 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
000000023fc99f58 (__TEXT,__text) external _DRContextConfigSetMode
000000023fc99f68 (__TEXT,__text) external _DRContextConfigSetReuseStrategy
000000023fc99f78 (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
000000023fc99ffc (__TEXT,__text) external _DRContextCreate
000000023fc9a360 (__TEXT,__text) external _DRContextCreateBuffer
000000023fc9b7c8 (__TEXT,__text) external _DRContextCreateClient
000000023fc9b980 (__TEXT,__text) external _DRContextCreateCommitQueue
000000023fc9a088 (__TEXT,__text) external _DRContextCreateMesh
000000023fc9a13c (__TEXT,__text) external _DRContextCreateTexture
000000023fc9a1f0 (__TEXT,__text) external _DRContextCreateTextureFromResource
000000023fc9a54c (__TEXT,__text) external _DRContextGetCommitUserPayload
000000023fc9a414 (__TEXT,__text) external _DRContextHasOpenCommit
000000023fc9aa4c (__TEXT,__text) external _DRContextSetChangeObserver
000000023fc9a4b8 (__TEXT,__text) external _DRContextSetCommitUserPayload
000000023fc9a6c4 (__TEXT,__text) external _DRContextSetOnCommitBegan
000000023fc9a89c (__TEXT,__text) external _DRContextSetOnCommitComplete
000000023fc99908 (__TEXT,__text) external _DRFenceCreate
000000023fc99968 (__TEXT,__text) external _DRFenceGetLabel
000000023fc99958 (__TEXT,__text) external _DRFenceInvalidate
000000023fc9b1a0 (__TEXT,__text) external _DRMaterialAsResource
000000023fc9d220 (__TEXT,__const) external _DRMaxVertexBuffers
000000023fc9b510 (__TEXT,__text) external _DRMemoryResourceCopyBuffer
000000023fc9b544 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
000000023fc9b4dc (__TEXT,__text) external _DRMemoryResourceCreate
000000023fc9b644 (__TEXT,__text) external _DRMemoryResourceCreateFromSharedTextureHandle
000000023fc9b570 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
000000023fc9b5e0 (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
000000023fc9b5d0 (__TEXT,__text) external _DRMemoryResourceGetBytes
000000023fc9b5c8 (__TEXT,__text) external _DRMemoryResourceGetLength
000000023fc9b5c0 (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
000000023fc9afa0 (__TEXT,__text) external _DRMeshAsResource
000000023fc98a80 (__TEXT,__text) external _DRMeshCopyDescriptor
000000023fc989a8 (__TEXT,__text) external _DRMeshCreateUnmanaged
000000023fc990f4 (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
000000023fc9851c (__TEXT,__text) external _DRMeshDescriptorCreate
000000023fc98570 (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
000000023fc98580 (__TEXT,__text) external _DRMeshDescriptorGetIndexType
000000023fc98590 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
000000023fc9872c (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
000000023fc98550 (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
000000023fc98560 (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
000000023fc98928 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
000000023fc98790 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
000000023fc98578 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
000000023fc98588 (__TEXT,__text) external _DRMeshDescriptorSetIndexType
000000023fc985a0 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
000000023fc9876c (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
000000023fc98558 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
000000023fc98568 (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
000000023fc98974 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
000000023fc987ac (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
000000023fc98d2c (__TEXT,__text) external _DRMeshGetIndexCapacity
000000023fc98eac (__TEXT,__text) external _DRMeshGetPartAt
000000023fc98d34 (__TEXT,__text) external _DRMeshGetPartCount
000000023fc98f8c (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
000000023fc98d24 (__TEXT,__text) external _DRMeshGetVertexCapacity
000000023fc99400 (__TEXT,__text) external _DRMeshReadIndices
000000023fc99664 (__TEXT,__text) external _DRMeshReadIndicesUsing
000000023fc99184 (__TEXT,__text) external _DRMeshReadVertices
000000023fc99634 (__TEXT,__text) external _DRMeshReadVerticesUsing
000000023fc994bc (__TEXT,__text) external _DRMeshReplaceIndices
