000000018439eb20 (__DATA,__data) external _NDR_record
00000001802c5fec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802ced50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802c6018 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802ced7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001802ceda8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001802cedd4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001802cedf8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001802cee1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001802d3dc4 (__TEXT,__text) non-external __Xexception_raise
00000001802d3e94 (__TEXT,__text) non-external __Xexception_raise_state
00000001802d3fb4 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001802eb988 (__TEXT,__text) external _____old_semwait_signal_nocancel
00000001802eb9b4 (__TEXT,__text) external _____sigwait_nocancel
00000001802f1378 (__TEXT,__const) external ____kernelVersionNumber
00000001802f1340 (__TEXT,__const) external ____kernelVersionString
00000001802eb9e0 (__TEXT,__text) external ___abort_with_payload
00000001802eba0c (__TEXT,__text) external ___accept
00000001802eba38 (__TEXT,__text) external ___accept_nocancel
00000001802eba64 (__TEXT,__text) external ___access_extended
00000001802eba90 (__TEXT,__text) external ___aio_suspend_nocancel
00000001802ebabc (__TEXT,__text) external ___bind
00000001802ebae8 (__TEXT,__text) external ___bsdthread_create
00000001802ebb14 (__TEXT,__text) external ___bsdthread_ctl
00000001802ebb40 (__TEXT,__text) external ___bsdthread_register
00000001802ebb6c (__TEXT,__text) external ___bsdthread_terminate
00000001802d302c (__TEXT,__text) external ___carbon_delete
00000001802ebb98 (__TEXT,__text) external ___channel_get_info
00000001802ebbc4 (__TEXT,__text) external ___channel_get_opt
00000001802ebbf0 (__TEXT,__text) external ___channel_open
00000001802ebc1c (__TEXT,__text) external ___channel_set_opt
00000001802ebc48 (__TEXT,__text) external ___channel_sync
00000001802ebc74 (__TEXT,__text) external ___chmod
00000001802ebca0 (__TEXT,__text) external ___chmod_extended
00000001802ebccc (__TEXT,__text) external ___close_nocancel
00000001802ebcf8 (__TEXT,__text) external ___coalition
00000001802ebd24 (__TEXT,__text) external ___coalition_info
00000001802ebd50 (__TEXT,__text) external ___coalition_ledger
00000001802c7e88 (__TEXT,__text) external ___commpage_gettimeofday
00000001802c7e90 (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00000001802ebd7c (__TEXT,__text) external ___connect
00000001802ebda8 (__TEXT,__text) external ___connect_nocancel
00000001802ebdd4 (__TEXT,__text) external ___copyfile
00000001802ebe00 (__TEXT,__text) external ___csrctl
00000001802cc20c (__TEXT,__text) external ___darwin_check_fd_set_overflow
