00007ffb0e534a52 (__TEXT,__text) non-external _DiToMD5
00007ffb0e534cd2 (__TEXT,__text) non-external _DiToSHA1
00007ffb0e51d60e (__TEXT,__text) external _DriverExecutableMain
00007ffb41b0b1c0 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb0e51cf7b (__TEXT,__text) external _IOCallOnce
00007ffb41b0b480 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb41b0b388 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb41b0b578 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb41b0b728 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb0e519fee (__TEXT,__text) external _IODelay
00007ffb41b0b8d8 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb41b0ba88 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb0e51dbfc (__TEXT,__text) external _IODriverKitTest
00007ffb0e545fe9 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb0e54600c (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb0e54602f (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb0e546052 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb0e546075 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb0e546098 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb0e5460c3 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb0e5460e6 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb41b0bc38 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb41b0bde8 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb0e519f9a (__TEXT,__text) external _IOFree
00007ffb0e519fd4 (__TEXT,__text) external _IOFreeData
00007ffb0e51dbd5 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb41b0c6b8 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb41b0bfc8 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb0e545481 (__TEXT,__text) external _IOKernelPanic
00007ffb0e51a001 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb0e51cc7e (__TEXT,__text) external _IOLockAlloc
00007ffb0e51ccd7 (__TEXT,__text) external _IOLockAssert
00007ffb0e545a2a (__TEXT,__text) non-external _IOLockAssert.cold.1
