                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
000000018f57e308 (__TEXT,__text) external __cg_jcopy_block_row
000000018f57e2b0 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018f598e1c (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018f5753ac (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018f57d864 (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018f57e31c (__TEXT,__text) external __cg_jinit_c_main_controller
000000018f5885e0 (__TEXT,__text) external __cg_jinit_c_master_control
000000018f57e560 (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018f574324 (__TEXT,__text) external __cg_jinit_color_converter
000000018f57cda4 (__TEXT,__text) external __cg_jinit_color_deconverter
000000018f5741ac (__TEXT,__text) external __cg_jinit_compress_master
000000018f5875f8 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018f589fe0 (__TEXT,__text) external __cg_jinit_d_main_controller
000000018f58ac1c (__TEXT,__text) external __cg_jinit_d_post_controller
000000018f59133c (__TEXT,__text) external __cg_jinit_downsampler
000000018f57c21c (__TEXT,__text) external __cg_jinit_forward_dct
000000018f5927e8 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018f5965a0 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018f57f628 (__TEXT,__text) external __cg_jinit_input_controller
000000018f574c34 (__TEXT,__text) external __cg_jinit_inverse_dct
000000018f576a38 (__TEXT,__text) external __cg_jinit_marker_reader
000000018f595114 (__TEXT,__text) external __cg_jinit_marker_writer
000000018f5899e4 (__TEXT,__text) external __cg_jinit_master_decompress
000000018f59a050 (__TEXT,__text) external __cg_jinit_memory_mgr
000000018f59213c (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018f58a6ac (__TEXT,__text) external __cg_jinit_upsampler
000000018f590e80 (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018f57ecdc (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018f578e00 (__TEXT,__text) external __cg_jpeg_abort
000000018f590fac (__TEXT,__text) external __cg_jpeg_abort_compress
000000018f57ede4 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018f586840 (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018f578ebc (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000018f578e90 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
000000018f589630 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000018f57ee80 (__TEXT,__text) external __cg_jpeg_consume_input
000000018f594b84 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
000000018f586e70 (__TEXT,__text) external __cg_jpeg_default_colorspace
000000018f578e54 (__TEXT,__text) external __cg_jpeg_destroy
000000018f590fa8 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000018f57ede0 (__TEXT,__text) external __cg_jpeg_destroy_decompress
000000018f599a7c (__TEXT,__text) external __cg_jpeg_fdct_float
000000018f594790 (__TEXT,__text) external __cg_jpeg_fdct_ifast
000000018f58b5dc (__TEXT,__text) external __cg_jpeg_fdct_islow
000000018f591000 (__TEXT,__text) external __cg_jpeg_finish_compress
000000018f57f208 (__TEXT,__text) external __cg_jpeg_finish_decompress
000000018f5964e8 (__TEXT,__text) external __cg_jpeg_finish_output
000000018f57a5cc (__TEXT,__text) external __cg_jpeg_free_large
000000018f57a5bc (__TEXT,__text) external __cg_jpeg_free_small
000000018f57a5c4 (__TEXT,__text) external __cg_jpeg_get_large
000000018f57a5b4 (__TEXT,__text) external __cg_jpeg_get_small
000000018f57f1b0 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000018f580fcc (__TEXT,__text) external __cg_jpeg_idct_1x1
000000018f580f30 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000018f580c18 (__TEXT,__text) external __cg_jpeg_idct_4x4
000000018f58b234 (__TEXT,__text) external __cg_jpeg_idct_float
000000018f57be04 (__TEXT,__text) external __cg_jpeg_idct_ifast
000000018f57ff94 (__TEXT,__text) external __cg_jpeg_idct_islow
000000018f57f158 (__TEXT,__text) external __cg_jpeg_input_complete
000000018f57a5d4 (__TEXT,__text) external __cg_jpeg_mem_available
000000018f57a89c (__TEXT,__text) external __cg_jpeg_mem_init
000000018f57a8a8 (__TEXT,__text) external __cg_jpeg_mem_term
000000018f59ba10 (__TEXT,__const) external __cg_jpeg_natural_order
000000018f589934 (__TEXT,__text) external __cg_jpeg_new_colormap
000000018f57a5e4 (__TEXT,__text) external __cg_jpeg_open_backing_store
000000018f586bf8 (__TEXT,__text) external __cg_jpeg_quality_scaling
000000018f58b064 (__TEXT,__text) external __cg_jpeg_read_coefficients
000000018f57ede8 (__TEXT,__text) external __cg_jpeg_read_header
000000018f59635c (__TEXT,__text) external __cg_jpeg_read_raw_data
000000018f59627c (__TEXT,__text) external __cg_jpeg_read_scanlines
000000018f5767ac (__TEXT,__text) external __cg_jpeg_resync_to_restart
000000018f57833c (__TEXT,__text) external __cg_jpeg_save_markers
000000018f586f08 (__TEXT,__text) external __cg_jpeg_set_colorspace
000000018f586cd4 (__TEXT,__text) external __cg_jpeg_set_defaults
000000018f586b88 (__TEXT,__text) external __cg_jpeg_set_linear_quality
000000018f578684 (__TEXT,__text) external __cg_jpeg_set_marker_processor
000000018f586c30 (__TEXT,__text) external __cg_jpeg_set_quality
000000018f5872b4 (__TEXT,__text) external __cg_jpeg_simple_progression
000000018f586574 (__TEXT,__text) external __cg_jpeg_start_compress
000000018f59604c (__TEXT,__text) external __cg_jpeg_start_decompress
000000018f596458 (__TEXT,__text) external __cg_jpeg_start_output
000000018f591e9c (__TEXT,__text) external __cg_jpeg_std_error
000000018f578ee8 (__TEXT,__text) external __cg_jpeg_std_huff_table
000000018f59b84d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
000000018f59b79a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
000000018f59b77d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
000000018f59b760 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
000000018f59b85e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
