000000018042eb5c (__TEXT,__text) external _OSAtomicAdd32
000000018042ec18 (__TEXT,__text) external _OSAtomicAdd32Barrier
000000018042ed14 (__TEXT,__text) external _OSAtomicAdd64
000000018042ee94 (__TEXT,__text) external _OSAtomicAdd64Barrier
000000018042ee20 (__TEXT,__text) external _OSAtomicAnd32
000000018042f8b0 (__TEXT,__text) external _OSAtomicAnd32Barrier
000000018042f81c (__TEXT,__text) external _OSAtomicAnd32Orig
000000018042ed38 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
000000018042eb48 (__TEXT,__text) external _OSAtomicCompareAndSwap32
000000018042ebd8 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
000000018042dbd4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
000000018042ebc4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
000000018042edd8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
000000018042eec4 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
000000018042edf8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
000000018042ed44 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
000000018042ee0c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
000000018042ebec (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
000000018042e114 (__TEXT,__text) external _OSAtomicDecrement32
000000018042ec8c (__TEXT,__text) external _OSAtomicDecrement32Barrier
000000018042ee84 (__TEXT,__text) external _OSAtomicDecrement64
000000018042ee30 (__TEXT,__text) external _OSAtomicDecrement64Barrier
000000018042c330 (__TEXT,__text) external _OSAtomicDequeue
000000018042c5f0 (__TEXT,__text) external _OSAtomicEnqueue
0000000180430798 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180430780 (__TEXT,__text) external _OSAtomicFifoEnqueue
000000018042e104 (__TEXT,__text) external _OSAtomicIncrement32
000000018042ec7c (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000018042e9dc (__TEXT,__text) external _OSAtomicIncrement64
000000018042edc8 (__TEXT,__text) external _OSAtomicIncrement64Barrier
000000018042edec (__TEXT,__text) external _OSAtomicOr32
000000018042ec00 (__TEXT,__text) external _OSAtomicOr32Barrier
000000018042eebc (__TEXT,__text) external _OSAtomicOr32Orig
0000000180430b2c (__TEXT,__text) external _OSAtomicOr32OrigBarrier
000000018042ee40 (__TEXT,__text) external _OSAtomicTestAndClear
000000018042f86c (__TEXT,__text) external _OSAtomicTestAndClearBarrier
000000018042f828 (__TEXT,__text) external _OSAtomicTestAndSet
000000018042ed58 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180430b34 (__TEXT,__text) external _OSAtomicXor32
000000018042ec0c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180430b40 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180430b48 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
000000018042ebbc (__TEXT,__text) external _OSMemoryBarrier
000000018042e9b8 (__TEXT,__text) external _OSSpinLockLock
000000018042ed20 (__TEXT,__text) external _OSSpinLockTry
000000018042e9d4 (__TEXT,__text) external _OSSpinLockUnlock
00000001804316a0 (__TEXT,__const) non-external _UUID_NULL
00000001804316b0 (__TEXT,__const) non-external __0x
00000001804317ad (__TEXT,__cstring) non-external __H
0000000180430b78 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180430b50 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
000000018042ec9c (__TEXT,__text) external __OSSpinLockLockSlow
00000001804308e0 (__TEXT,__text) non-external __OSSpinLockLockYield
000000018042e310 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001db495868 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
000000018042e124 (__TEXT,__text) external ___libplatform_init
000000018042f8e8 (__TEXT,__text) external ___os_log_simple_offset
0000000180430b10 (__TEXT,__text) external ___os_once_reset
000000018042e174 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180431690 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180431650 (__TEXT,__const) non-external (was a private external) ___platformVersionString
000000018042dcac (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
